Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",9500000,4,3,144,136,14.5823408,121.1180438
"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",4400000,3,2,63.2,80,14.8077154,121.0024016
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000,5,3,100,110,,
"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Gabon, Abucay",,3,2,67,88,14.7178136,120.531325
Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000,2,1,40.32,78.4,6.9483885,122.1148889
"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300,,,39.64,100,,
"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000,2,2,52,40,,
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000,5,3,142,121,14.9131781,120.2282421
2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000,2,1,46,63,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28650000,3,3,219.3,90,14.4270005,121.0452782
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",3500000,3,2,102.39,154,15.0941848,120.6701583
"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.27,67,7.1035383,125.4948467
"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46,41,14.9717467,120.9434431
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000,4,3,85,99,15.4710779,120.9821312
Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",45001005,6,5,337,350,14.4888415,121.0325173
3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka II, Pavia",4080345,3,2,52,80,10.7529006,122.5376029
"4-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ADELLE Model","Alapan II-A, Imus",3336800,4,2,70,60,14.4084522,120.8964956
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",10082000,5,3,142,176,14.9131781,120.2282421
"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46,41,14.9717467,120.9434431
"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",7500000,4,3,119,150,13.9984308,121.1674592
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",2292960,3,1,40,40,14.3723207,120.8976745
For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000,2,2,53,88,,
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000,5,3,166,176,,
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45,62,14.366749,120.8184475
"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40,40,15.1987752,120.6026101
"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.27,67,7.1035383,125.4948467
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000,3,3,219.3,91,14.4270005,121.0452782
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000,3,3,247.4,93,14.4378843,121.0503212
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000,3,1,50,50,14.3723207,120.8976745
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104,14.1839549,121.1072903
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104,14.1839549,121.1072903
"BIG DISCOUNT (up to 500k)! For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75,112,14.4289186,120.928888
"Residential House and Lot near Ayala for Sale in San Antonio, Makati","San Antonio, Makati",,12,8,500,1032,14.5621561,121.0086091
"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Freya","Longos, Malolos",12069000,5,3,142,176,14.87426,120.7915336
"2BR 2-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aguinaldo Highway San Agustin I, Dasmarinas",3267000,2,2,76.18,66,14.3214271,120.94188
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ALICE Model","Alapan II-A, Imus",2292960,3,1,40,40,14.4084522,120.8964956
"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Greta","Longos, Malolos",12902000,5,3,166,176,14.87426,120.7915336
4-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | AMANDA Model,"Ungka II, Pavia",6379520,4,3,100,120,10.7529006,122.5376029
"Tierra Vista | Crissa 2BR House - Inner Unit for Sale in San Rafael, Bulacan | Futura by Filinvest","San Rafael Estates San Roque, San Rafael",1979000,2,1,38.88,41.4,,
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Corner Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44,40,,
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey End Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44,40,,
"3BR House and Lot for Sale in San Jose, Batangas at PHINMA Maayo San Jose | Salva Premier, 500K Discount Promo + Appliance Bundle!","President Jose P. Laurel Hwy Banaybanay II, San Jose",7400000,3,3,125,,13.9184235,121.1054948
"RFO 2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Angeli SF","Aningway Sacatihan, Subic",2605000,2,1,42,54,14.9131781,120.2282421
"4BR 2-Storey Single Attached House and Lot for Sale in Compostela, Cebu at Amoa | Asta Model","Tamiao, Compostela",7021000,4,2,82,120,10.4382884,123.9947249
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Como Model","Km.71, North Luzon Expressway Panipuan, Mexico",2747500,3,2,78.54,154,15.0941848,120.6701583
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit","Km. 19 West Service Rd. Cupang, Muntinlupa",32184000,3,3,247.4,92,14.4270005,121.0452782
"4BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Dana w/ CB","Longos, Malolos",7798000,4,3,85,110,14.87426,120.7915336
"Ready For You: 2BR 2-Storey SD House and Lot (Asha) for Sale in Compostela, Cebu at Amoa","Tamiao, Compostela",6130000,2,1,,,10.4382884,123.9947249
"4-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | BRIANA Model","San Sebastian, Kawit",6756360,4,3,110,100,14.4129793,120.8886677
RUSH SALE - RFO Lipa Batangas Pag-ibig Financing 2 Bedroom Townhouse for sale,"San Jose, Lipa",,2,2,48,50,13.937769,121.1860925
"3-Bedroom 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | AGOHO","Sapang Biabas, Mabalacat",2706500,3,2,62,65,15.1987752,120.6026101
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ANICA Model","Alapan II-A, Imus",2389000,3,1,50,50,14.4084522,120.8964956
"Single Detached House for Sale near EVIA and MCX, Muntinlupa","Victoria South Alabang Tunasan, Muntinlupa",13500000,3,2,140,240,,
"4-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | ALEXANDRA Model","Pasong Camachile I, General Trias",7410000,4,3,100,120,14.3723207,120.8976745
[05422-T-259] House & Lot for sale in Northfields Executive Village at Malolos Bulacan,"Lot 14 Block 26 J Abad Santos Street Northfields Executive Village Phase 1 Barangay Longos Malolos Bulacan Longos, Malolos",5900000,3,6,232.89,200,,
"3BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",4113000,3,2,72,88,15.1262529,120.6580131
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse","Km. 19 West Service Rd. Cupang, Muntinlupa",31706000,3,3,247.4,92,14.4270005,121.0452782
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Inner Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44,40,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28804000,3,3,219.3,91,14.4270005,121.0452782
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | GABRIELLE Model","Alapan II-A, Imus",6650000,3,2,84,120,14.4084522,120.8964956
"Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46,41,14.9717467,120.9434431
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28678000,3,3,219.3,91,14.4270005,121.0452782
"2-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Imperial Model","Km.71, North Luzon Expressway Panipuan, Mexico",1837500,2,2,52.5,154,15.0941848,120.6701583
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",27676000,3,3,219.3,91,14.4270005,121.0452782
"2BR Townhouse for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village, TH53","Bugtong Na Pulo, Lipa",4000000,2,1,53,52,13.9984308,121.1674592
"Ready For You: 1BR SA House and Lot (Ananda) for Sale in Compostela, Cebu at Amoa at Php 90,416 monthly amortization","Tamiao, Compostela",5580000,1,1,,,10.4382884,123.9947249
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | THEA Model","Alapan II-A, Imus",2632250,3,2,60,50,14.4084522,120.8964956
"4-Bedroom House and Lot for Sale in Pavia, Iloilo at Parc Regency Residences | OLIVE Model","Ungka II, Pavia",5337920,4,2,80,120,10.7529006,122.5376029
"3-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ALICE Model","San Sebastian, Kawit",2292960,3,1,40,40,14.4129793,120.8886677
"3BR 2-Storey Single Attached House and Lot for Sale in Tanza, Cavite | Las Brisas at Tierra del Sol","Governor's Dr. Tanauan, Tanza",4337472,3,2,112.5,72,,
"For Sale 3BR 2-Storey Single Attached House and Lot in Tanza, Cavite | Las Brisas at Tierra del Sol","Governor's Dr. Tanauan, Tanza",4337472,3,2,112.5,72,,
"2BR 2-Storey Townhouse for Sale in Brgy. Caypombo, Santa Maria, Bulacan at Las Palmas","Cay Pombo, Santa Maria",2178000,2,1,44,36,14.85169485,120.9793768
"2BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Tugbok, Davao",3600000,2,2,48.26,50,7.1035383,125.4948467
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical Corner Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2839149,3,1,45,62,14.366749,120.8184475
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | THEA Model","Pasong Camachile I, General Trias",2632250,3,2,60,50,14.3723207,120.8976745
"2BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Imperial","San Rafael, Mexico",1837500,2,2,52.5,,15.0874959,120.6742393
"4-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ADELLE Model","San Sebastian, Kawit",3336800,4,2,70,60,14.4129793,120.8886677
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Hyde Model","Km.71, North Luzon Expressway Panipuan, Mexico",2705850,3,2,77.31,154,15.0941848,120.6701583
"For Sale 2-Bedroom 2-Storey Townhouse in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40,40,15.1987752,120.6026101
02376 Brand New Ponte Verde House for Sale in Davao City,"Buhangin, Davao",21500000,5,4,300,200,7.1469686,125.5940509
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | AIRA Model","Alapan II-A, Imus",5282600,3,2,80,92,14.4084522,120.8964956
"Ready For You: Townhouse for Sale in Capas, Tarlac at Ajoya Capas","Talaga, Capas",2351000,,2,49,50,15.38374425,120.5870832
"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan at Php 43,175 monthly amortization","Valle Cruz, Cabanatuan",5381000,3,2,80,203,15.4799841,120.9920413
"For Sale 3-Bedroom Townhouse in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45,62,14.366749,120.8184475
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5991000,3,2,66,99,15.4710779,120.9821312
"Townhouse with 2 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model","Tugbok, Davao",3600000,2,2,48.26,50,7.1035383,125.4948467
"For Sale RFO 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Reana IU 36sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2972000,2,1,40,36,15.4710779,120.9821312
"2BR 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40,40,15.1987752,120.6026101
"For Sale 4BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7315000,4,3,83,99,15.4710779,120.9821312
"4BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",5278000,4,3,91,143,15.1262529,120.6580131
"2BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",3970000,2,2,59,88,15.1262529,120.6580131
"Austine Homes | Amber 2BR Townhouse for Sale in Mabalacat, Pampanga | Futura by Filinvest","Santa Maria, Mabalacat",1979000,2,1,40.39,43.2,15.2270079,120.5922007
"New Leaf | Diana 2BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest","The Wood Estates, Brgy. Hugo Perez, Trece Martires",3148800,2,1,37.3,70,,
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ella w/ CB 158sqm","Aningway Sacatihan, Subic",8434000,5,3,100,158,14.9131781,120.2282421
"Ready For You: 2BR SA House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga at Php 31,975 monthly amortization","Eden, Mexico",3979000,2,2,59,88,15.1262529,120.6580131
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | CHESSA Model","Alapan II-A, Imus",5978000,3,3,90,100,14.4084522,120.8964956
"For Sale 3-Bedroom 2-Storey House and Lot in Mabalacat, Pampanga at Talanai Homes | AGOHO","Sapang Biabas, Mabalacat",2706500,3,2,62,65,15.1987752,120.6026101
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 217sqm","Aningway Sacatihan, Subic",10501000,4,3,83,217,14.9131781,120.2282421
"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | GABRIELLE Model","Pasong Camachile I, General Trias",6650000,3,2,84,120,14.3723207,120.8976745
"3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | CHESSA Model","Pasong Camachile I, General Trias",5978000,3,3,90,100,14.3723207,120.8976745
"3BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Hyde","San Rafael, Mexico",2705850,3,2,77.31,,15.0874959,120.6742393
"BIG DISCOUNT (up to 500k)! For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75,112,14.4289186,120.928888
RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 143sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",10748000,5,3,166,143,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26365000,3,3,219.3,90,14.4270005,121.0452782
"2BR 2-Storey Townhouse for Sale in Malolos, Bulacan at Camella Provence | Arielle IU","Longos, Malolos",3025000,2,1,36,42,14.87426,120.7915336
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28348000,3,3,219.3,105,14.4270005,121.0452782
"For Sale 4BR 3-Storey Townhouse in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aguinaldo Highway San Agustin I, Dasmarinas",9500000,4,4,132,66,14.3214271,120.94188
2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Bella 99sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5705000,2,2,53,99,,
RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle Combo Lot 96sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5174000,2,1,46,96,,
"RFO 2-Storey House and Lot w/ 1BR Provision for Sale in Subic, Zambales at Camella Subic | Aleah","Aningway Sacatihan, Subic",2341000,1,1,33,70,14.9131781,120.2282421
"RFO 3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Jade","Longos, Malolos",10413000,3,2,76,128,14.87426,120.7915336
"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Mika","Longos, Malolos",5179000,2,1,46,60,14.87426,120.7915336
"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Bella 88sqm","Longos, Malolos",6005000,2,2,53,88,14.87426,120.7915336
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6200000,3,2,66,99,15.4710779,120.9821312
"For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4454000,2,1,40,63,15.4710779,120.9821312
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4458000,2,1,46,63,15.4710779,120.9821312
"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Carmela","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8915000,3,2,66,121,15.4710779,120.9821312
2BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija | Ezabelle 63sqm,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4270000,2,1,46,63,15.4710779,120.9821312
"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4263000,2,1,40,63,15.468244,120.9764138
"RFO 4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7503000,4,3,83,99,15.468244,120.9764138
"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Carmela","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8915000,3,2,66,121,15.468244,120.9764138
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4458000,2,1,46,63,15.468244,120.9764138
"For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4454000,2,1,40,63,15.468244,120.9764138
RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle Combo Lot 96sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5174000,2,1,46,96,,
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Mika 60sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4633000,2,1,46,60,15.468244,120.9764138
