State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Odisha,336,240,367,214,384,410,482,582,602,629,861,1005,866,973,947,865,1193,1318,1823,1661,2219,2187,3252,4704,3513,2143,3574,5121,5482.74,5249.05,6683.37,7444.87,9018.07,10513.17,15854.91,18648.78
Punjab,267,376,438,614,785,800,627,990,798,866,880,816,785,1177,1463,1369,622,1636,2578,1784,2398,2982,2511,4633,3796,2244,7753,3458,4216.72,3900.01,4162.85,3765,5049.34,6015.7,7448.21,9190.66
Rajasthan,432,537,464,487,535,609,691,845,845,868,1248,1729,1350,1529,1675,2576,2539,3699,2739,2827,2459,3046,4526,7021,9001,5721,6902,8630,8672.64,8617.61,8829.97,11718.77,17802.12,18591.49,24923.69,26908.54
Sikkim,13,13,11,18,18,26,34,40,51,52,55,73,70,74,75,111,122,136,126,110,184,245,249,296,438,378,366,471,688.3,771.79,530.05,713.59,918.57,1011.08,1820.85,1267.22
Tamil Nadu,534,646,716,841,740,859,836,821,854,931,980,920,1206,1304,1797,1621,2337,2383,2182,1899,2685,3261,4469,8494,12625,6736,12882,12773,14132.83,13354.98,17965.44,25627.23,24328.46,24367.71,24698.71,35041.23
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,20148.21,21458.98
Tripura,56,33,36,47,57,69,68,98,112,105,116,129,107,142,175,203,272,290,355,312,401,653,576,702,802,910,819,1041,1381.59,1543.72,1264.99,1628.67,1814.61,1876.42,4096.38,5823.37
Uttar Pradesh,952,1036,1127,1355,1894,1629,1876,1821,1822,1983,2702,2847,3445,2995,5666,3231,3809,4431,5388,5868,5649,6324,9148,19220,14514,13222,19284,22081,28429.22,31741.7,26910.22,29827.14,32996.57,42573.18,70712.59,76931.14
Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,197,465,1173,1845,1330,2053,2039,2720,2493.43,2639.66,2388.89,3257.03,5256.19,5306.82,7103.32,6154.31
West Bengal,437,527,451,441,588,714,810,913,804,912,900,867,983,1067,1652,1883,2670,2235,2910,3179,4637,4684,4555,12664,5348,9471,7042,8330,9319.79,9634.16,8423.98,10504.51,13246.62,16716.12,22819.48,25273.78
Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,292,976,1074,1484,1889,2103,2389,3666,3587,5615,6633,7047,4626,5211,8389,8598.75,11025.04,11142.59,8437.57,9199.45,11685.08,8752.22,10726.91
Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,379,460,387,386.13,502.35,520.81,533.78,504.98,567.59,862.77,832.67
