State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7934,9809,9738,11635,13417,15726,18360,20641.47,22712.77,26502.04,26007.07,30399.82,30063.74,50839.55,55492.95
Karnataka,1302,1409,1739,2002,2615,2894,3069,3437,3778,4401,4979,6248,7100,8089,8859,10406,11981,12601,14886,17818,19664,21938,24074,29267,34246,34973,44085,48031,54038.82,62963.51,71934.09,85756.16,96601.17,110648.7,132835.44,140534.43
Kerala,855,1086,996,1322,1572,1969,2162,2251,2521,2889,3376,4005,4363,5138,5959,6922,7943,9818,10611,12900,13149,13132,16967,19769,20276,21115,23159,28692,32553.5,35833.48,40765.26,53789.14,62032.26,69369.89,82947.71,99277.74
Madhya Pradesh,1590,1677,1938,2324,2522,2916,3349,3932,4596,4823,5899,6637,7663,8878,9315,10582,13093,14225,15968,17957,16924,16960,18989,23923,29413,28975,30217,35265,40030.26,50032.45,60055.18,80658.96,83497.32,89764.16,123389.57,135972.07
Maharashtra,2613,3088,3585,4244,5063,5732,6412,6929,8102,9737,10772,12052,14014,15983,20026,21377,25005,27675,30317,38244,42208,42480,47217,61034,72668,68677,75841,80240,99068.48,117431.1,130155.42,148728.37,164202.42,186829.82,227932.63,240026.09
Manipur,159,128,137,158,223,247,299,319,393,423,453,533,824,637,675,811,1014,1133,1116,1780,1381,2117,2157,2320,2600,2743,3626,3720,4403.77,4725.83,6114.87,6862.64,6993.2,7172.92,11177.67,9652.41
Meghalaya,102,101,117,139,161,188,230,264,318,351,406,492,543,682,587,779,785,851,1008,1195,1424,1395,1589,1770,2070,2008,2320,2771,3432.71,3833.36,4770.19,5945.06,6123.4,6811.01,11893.17,9583.25
Mizoram,–,–,–,–,–,177,55,306,287,303,502,414,490,522,592,715,810,870,893,1161,1288,1334,1405,1826,1817,2172,2295,2559,2868.54,3529.02,4139.5,5638.11,5335.5,5635.93,7523.22,7576.53
Nagaland,164,132,166,215,202,272,344,436,457,515,552,648,857,932,906,1040,1096,1230,1491,1495,1835,2019,1917,2384,2276,2809,3085,3563,3949.46,4520.1,5576.04,6448.47,7194.14,7227.16,9241.4,10582.2
Odisha,877,814,1191,997,1281,1410,1730,1990,2261,2475,3051,3640,3915,4456,4982,5563,6310,6854,8642,10120,11047,12065,13267,15565,15886,15746,19346,22844,30051.73,30540.64,36051.31,42105.1,47255.62,56130.92,76127.06,84487.77
Punjab,817,996,1122,1434,1726,1963,1829,2623,2666,2887,3400,5012,4208,5221,7505,7004,7547,9472,10963,11980,14111,15692,17337,20335,20994,20453,26297,26519,28785.71,31307.95,37060.03,36810.32,44507.28,47656.37,56430.95,61813.86
Rajasthan,1120,1360,1419,1585,1838,2116,2557,3384,3415,3565,4728,5810,6347,7427,8421,10907,10964,12685,14314,16256,17494,18995,21542,25869,28907,27220,31856,37757,42968.24,48749.81,53703.32,65372.08,81263.91,94101.08,125811.63,137713.39
Sikkim,43,45,47,67,76,104,115,139,164,167,183,228,250,263,601,993,1241,1394,1621,1620,947,1909,2132,1477,2161,2146,2253,2820,2981.91,3509.84,3437.58,3943.73,3930.92,4469.04,6716.29,5525.73
Tamil Nadu,1686,2006,2292,2752,2950,3309,3612,4196,4617,5662,6621,9600,9748,10062,11432,12532,15402,17333,19880,22627,24437,24818,30156,33765,41780,38744,51147,55748,67723.09,72730.33,90881.74,109465.27,121395.9,134192.38,161424.09,182338.58
Telangana,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,99957.97,115059.19
Tripura,143,124,145,188,204,259,300,393,492,525,613,677,657,785,880,990,1179,1350,1531,1773,2135,2466,2537,2764,2984,3301,3301,3835,4511.04,5757.51,5624.33,6437.75,7027.49,7825.38,12399.45,14948.92
Uttar Pradesh,2668,2942,3490,4116,5186,5331,6225,6901,8079,9637,12240,13246,16135,16275,21062,20787,23017,26626,31462,34615,36681,38104,42086,69441,59124,59839,74983,87304,104398.11,121115.3,134585.83,153712.31,173720.21,200720.05,262302.82,292687.32
Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1110,3298,4848,6206,6366,7664,8516,9975,10888.79,13297.14,14009.97,16232.36,19216.41,21523.23,31455.8,31893.64
West Bengal,1552,1838,2072,2181,2738,2974,3508,3941,4279,4883,6028,6191,6646,7973,9283,10509,13032,13557,17153,22677,26741,28079,27716,38421,33494,40587,41203,46644,60933.12,68134.03,72962.17,83830.88,95357.5,108513.39,129647.46,138374
Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,800,2407,2952,3515,4211,4943,5912,7362,8631,10214,11720,12875,11142,12966,18160,20361.3,24925.92,25524.32,26402.43,29858.81,34051.6,34790,41129
Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2173,2387,2588,2956.6,3585.83,4060.98,3756.01,3556.17,5050.33,5917.99,6431
