Symbol,Name,Sector,industry
CPTA,Capitala Finance Corp.,n/a,n/a
CPTAG,Capitala Finance Corp.,n/a,n/a
CPTAL,Capitala Finance Corp.,n/a,n/a
CPTI,"ConversionPoint Holdings, Inc.",n/a,n/a
CPZ,Calamos Long/Short Equity & Dynamic Income Trust,n/a,n/a
CQP,"Cheniere Energy Partners, LP",Public Utilities,Oil/Gas Transmission
CR,Crane Co.,Capital Goods,Metal Fabrications
CRAI,"CRA International,Inc.",Miscellaneous,Other Consumer Services
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Health Care,Major Pharmaceuticals
CRC,California Resources Corporation,Energy,Oil & Gas Production
CRD.A,Crawford & Company,n/a,n/a
CRD.B,Crawford & Company,n/a,n/a
CRDF,"Cardiff Oncology, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CREE,"Cree, Inc.",Technology,Semiconductors
CREG,China Recycling Energy Corporation,Miscellaneous,Business Services
CRESY,Cresud S.A.C.I.F. y A.,Finance,Real Estate
CREX,"Creative Realities, Inc.",Technology,EDP Services
CREXW,"Creative Realities, Inc.",Technology,EDP Services
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",n/a,n/a
CRH,CRH PLC,Capital Goods,Building Materials
CRHM,CRH Medical Corporation,Health Care,Medical/Nursing Services
CRI,"Carter&#39;s, Inc.",Consumer Non-Durables,Apparel
CRIS,"Curis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Production
CRL,"Charles River Laboratories International, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Salesforce.com Inc,Technology,Computer Software: Prepackaged Software
CRMD,CorMedix Inc.,Health Care,Major Pharmaceuticals
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
CRNC,Cerence Inc.,Technology,Computer Software: Prepackaged Software
CRNT,Ceragon Networks Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment
CRNX,"Crinetics Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CRON,Cronos Group Inc.,Consumer Durables,Specialty Chemicals
CROX,"Crocs, Inc.",Consumer Non-Durables,Shoe Manufacturing
CRS,Carpenter Technology Corporation,Basic Industries,Steel/Iron Ore
CRSA,Crescent Acquisition Corp,Finance,Business Services
CRSAU,Crescent Acquisition Corp,Finance,Business Services
CRSAW,Crescent Acquisition Corp,Finance,Business Services
CRSP,CRISPR Therapeutics AG,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas Production
CRTO,Criteo S.A.,Technology,Advertising
CRTX,"Cortexyme, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors
CRVL,CorVel Corp.,Finance,Specialty Insurers
CRVS,"Corvus Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CRWD,"CrowdStrike Holdings, Inc.",Technology,Computer Software: Prepackaged Software
CRWS,"Crown Crafts, Inc.",Basic Industries,Textiles
CRY,"CryoLife, Inc.",Health Care,Medical/Dental Instruments
CS,Credit Suisse Group,Finance,Investment Bankers/Brokers/Service
CSA,VictoryShares US Small Cap Volatility Wtd ETF,n/a,n/a
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,n/a,n/a
CSBR,"Champions Oncology, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,n/a,n/a
CSGP,"CoStar Group, Inc.",Miscellaneous,Business Services
CSGS,"CSG Systems International, Inc.",Technology,EDP Services
CSII,"Cardiovascular Systems, Inc.",Health Care,Medical/Dental Instruments
CSIQ,Canadian Solar Inc.,Technology,Semiconductors
CSL,Carlisle Companies Incorporated,Basic Industries,Specialty Chemicals
CSLT,"Castlight Health, inc.",Technology,EDP Services
CSML,IQ Chaikin U.S. Small Cap ETF,n/a,n/a
CSOD,"Cornerstone OnDemand, Inc.",Technology,Computer Software: Prepackaged Software
CSPI,CSP Inc.,Technology,EDP Services
CSPR,Casper Sleep Inc.,Consumer Durables,Home Furnishings
CSQ,Calamos Strategic Total Return Fund,n/a,n/a
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Consumer Services,Movies/Entertainment
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",Consumer Services,Movies/Entertainment
CSTE,Caesarstone Ltd.,Capital Goods,Building Materials
CSTL,"Castle Biosciences, Inc.",Health Care,Medical Specialities
CSTM,Constellium SE,Basic Industries,Metal Fabrications
CSTR,"CapStar Financial Holdings, Inc.",Finance,Major Banks
CSU,Capital Senior Living Corporation,Health Care,Hospital/Nursing Management
CSV,"Carriage Services, Inc.",Consumer Services,Other Consumer Services
CSWC,Capital Southwest Corporation,Consumer Non-Durables,Textiles
CSWCL,Capital Southwest Corporation,Consumer Non-Durables,Textiles
CSWI,"CSW Industrials, Inc.",Basic Industries,Home Furnishings
CSX,CSX Corporation,Transportation,Railroads
CTA^A,E.I. du Pont de Nemours and Company,n/a,n/a
CTA^B,E.I. du Pont de Nemours and Company,n/a,n/a
CTAA,Qwest Corporation,Public Utilities,Telecommunications Equipment
CTAS,Cintas Corporation,Consumer Non-Durables,Apparel
CTB,Cooper Tire & Rubber Company,Consumer Durables,Automotive Aftermarket
CTBB,Qwest Corporation,Public Utilities,Telecommunications Equipment
CTBI,"Community Trust Bancorp, Inc.",Finance,Major Banks
CTDD,Qwest Corporation,Public Utilities,Telecommunications Equipment
CTEK,"CynergisTek, Inc.",Miscellaneous,Business Services
CTEST,NYSE Test One,n/a,n/a
CTEST.E,NYSE Test One,n/a,n/a
CTEST.G,NYSE Test One,n/a,n/a
CTEST.L,NYSE Test One,n/a,n/a
CTEST.O,NYSE Test One,n/a,n/a
CTEST.S,NYSE Test One,n/a,n/a
CTEST.V,NYSE Test One,n/a,n/a
CTG,"Computer Task Group, Incorporated",Technology,EDP Services
CTHR,Charles & Colvard Ltd.,Consumer Durables,Consumer Specialties
CTIB,Yunhong CTI Ltd.,Basic Industries,Specialty Chemicals
CTIC,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals
CTK,CooTek (Cayman) Inc.,Technology,EDP Services
CTL,"CenturyLink, Inc.",Public Utilities,Telecommunications Equipment
CTLT,"Catalent, Inc.",Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",Health Care,Major Pharmaceuticals
CTO,"CTO Realty Growth, Inc.",Finance,Real Estate
CTR,ClearBridge MLP and Midstream Total Return Fund In,n/a,n/a
CTRA,"Contura Energy, Inc.",Energy,Coal Mining
CTRE,"CareTrust REIT, Inc.",Consumer Services,Real Estate Investment Trusts
CTRM,Castor Maritime Inc.,Transportation,Marine Transportation
CTRN,"Citi Trends, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
CTS,CTS Corporation,Technology,Electrical Products
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services
CTSO,Cytosorbents Corporation,Health Care,Medical/Dental Instruments
CTT           ,"CatchMark Timber Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CTV,Qwest Corporation,Public Utilities,Telecommunications Equipment
CTVA,"Corteva, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
CTXR,"Citius Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CTXRW,"Citius Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CTXS,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software
CTY,Qwest Corporation,Public Utilities,Telecommunications Equipment
CTZ,Qwest Corporation,Public Utilities,Telecommunications Equipment
CUB,Cubic Corporation,Capital Goods,Industrial Machinery/Components
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",n/a,n/a
CUBB,"Customers Bancorp, Inc",Finance,Major Banks
CUBE,CubeSmart,Consumer Services,Real Estate Investment Trusts
CUBI,"Customers Bancorp, Inc",Finance,Major Banks
CUBI^C,"Customers Bancorp, Inc",n/a,n/a
CUBI^D,"Customers Bancorp, Inc",n/a,n/a
CUBI^E,"Customers Bancorp, Inc",n/a,n/a
CUBI^F,"Customers Bancorp, Inc",n/a,n/a
CUE,"Cue Biopharma, Inc.",Health Care,Major Pharmaceuticals
CUK,Carnival Corporation,Consumer Services,Marine Transportation
CULP,"Culp, Inc.",Basic Industries,Textiles
CURO,CURO Group Holdings Corp.,Finance,Finance: Consumer Services
CUTR,"Cutera, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CUZ,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts
CVA,Covanta Holding Corporation,Basic Industries,Electric Utilities: Central
CVBF,CVB Financial Corporation,Finance,Major Banks
CVCO,"Cavco Industries, Inc.",Basic Industries,Homebuilding
CVCY,Central Valley Community Bancorp,Finance,Major Banks
CVE,Cenovus Energy Inc,Energy,Oil & Gas Production
CVEO,Civeo Corporation,Consumer Services,Hotels/Resorts
CVET,"Covetrus, Inc.",Health Care,Medical/Nursing Services
CVGI,"Commercial Vehicle Group, Inc.",Capital Goods,Auto Parts:O.E.M.
CVGW,"Calavo Growers, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
CVI,CVR Energy Inc.,Energy,Integrated oil Companies
CVIA,Covia Holdings Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CVLT,"Commvault Systems, Inc.",Technology,Computer Software: Prepackaged Software
CVLY,"Codorus Valley Bancorp, Inc",Finance,Savings Institutions
CVM,Cel-Sci Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVNA,Carvana Co.,Consumer Durables,Automotive Aftermarket
CVR,Chicago Rivet & Machine Co.,Technology,Industrial Machinery/Components
CVS,CVS Health Corporation,Health Care,Medical/Nursing Services
CVTI,"Covenant Transportation Group, Inc.",Transportation,Trucking Freight/Courier Services
CVU,"CPI Aerostructures, Inc.",Capital Goods,Military/Government/Technical
CVV,CVD Equipment Corporation,Technology,Industrial Machinery/Components
CVX,Chevron Corporation,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation,Technology,Industrial Machinery/Components
CWBC,Community West Bancshares,Finance,Major Banks
CWBR,"CohBar, Inc.",Health Care,Major Pharmaceuticals
CWCO,Consolidated Water Co. Ltd.,Public Utilities,Water Supply
CWEN,"Clearway Energy, Inc.",Public Utilities,Electric Utilities: Central
CWEN.A,"Clearway Energy, Inc.",n/a,n/a
CWH,"Camping World Holdings, Inc.",Consumer Durables,Automotive Aftermarket
CWK,Cushman & Wakefield plc,Finance,Real Estate
CWST,"Casella Waste Systems, Inc.",Public Utilities,Environmental Services
CWT,California Water  Service Group Holding,Public Utilities,Water Supply
CX,Cemex S.A.B. de C.V.,Capital Goods,Building Materials
CXDC,China XD Plastics Company Limited,Capital Goods,Containers/Packaging
CXE,Colonial High Income Municipal Trust,n/a,n/a
CXH,Colonial Investment Grade Municipal Trust,n/a,n/a
CXO,Concho Resources Inc.,Energy,Oil & Gas Production
CXP,"Columbia Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,n/a,n/a
CXW,"CoreCivic, Inc.",Consumer Services,Real Estate Investment Trusts
CYAD,Celyad SA,Health Care,Major Pharmaceuticals
CYAN,Cyanotech Corporation,Consumer Durables,Specialty Chemicals
CYBE,CyberOptics Corporation,Capital Goods,Electronic Components
CYBR,CyberArk Software Ltd.,Technology,Computer Software: Prepackaged Software
CYCC,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYCN,"Cyclerion Therapeutics, Inc.",Health Care,Major Pharmaceuticals
CYD,China Yuchai International Limited,Energy,Industrial Machinery/Components
CYH,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management
CYRN,CYREN Ltd.,Technology,Computer Software: Prepackaged Software
CYRX,"CryoPort, Inc.",Health Care,Major Pharmaceuticals
CYRXW,"CryoPort, Inc.",Health Care,Major Pharmaceuticals
CYTK,"Cytokinetics, Incorporated",Health Care,Major Pharmaceuticals
CZNC,Citizens & Northern Corp,Finance,Major Banks
CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts
CZWI,"Citizens Community Bancorp, Inc.",Finance,Savings Institutions
CZZ,Cosan Limited,Consumer Non-Durables,Specialty Foods
D,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central
DAC,Danaos Corporation,Transportation,Marine Transportation
DADA,Dada Nexus Limited,Technology,"Computer Software: Programming, Data Processing"
DAIO,Data I/O Corporation,Capital Goods,Electrical Products
DAKT,"Daktronics, Inc.",Consumer Durables,Miscellaneous manufacturing industries
DAL,"Delta Air Lines, Inc.",Transportation,Air Freight/Delivery Services
DALI,First Trust DorseyWright DALI 1 ETF,n/a,n/a
DAN,Dana Incorporated,Capital Goods,Auto Parts:O.E.M.
DAO,"Youdao, Inc.",Consumer Services,Other Consumer Services
DAR,Darling Ingredients Inc.,Consumer Non-Durables,Packaged Foods
DARE,"Dare Bioscience, Inc.",Health Care,Major Pharmaceuticals
DAVA,Endava plc,Technology,EDP Services
DAX,Global X DAX Germany ETF,n/a,n/a
DB,Deutsche Bank AG,Finance,Major Banks
DBCP,Delmar Bancorp,Finance,Major Banks
DBD,Diebold Nixdorf Incorporated,Miscellaneous,Office Equipment/Supplies/Services
DBI,Designer Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund,n/a,n/a
DBVT,DBV Technologies S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,"Dropbox, Inc.",Technology,Computer Software: Prepackaged Software
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,n/a,n/a
DCI,"Donaldson Company, Inc.",Capital Goods,Pollution Control Equipment
DCO,Ducommun Incorporated,Capital Goods,Military/Government/Technical
DCOM,"Dime Community Bancshares, Inc.",Finance,Savings Institutions
DCOMP,"Dime Community Bancshares, Inc.",Finance,Savings Institutions
DCP,DCP Midstream LP,Public Utilities,Natural Gas Distribution
DCP^B,DCP Midstream LP,n/a,n/a
DCP^C,DCP Midstream LP,n/a,n/a
DCPH,"Deciphera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DCTH,"Delcath Systems, Inc.",Health Care,Medical/Dental Instruments
DCUE,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central
DD,"DuPont de Nemours, Inc.",Basic Industries,Major Chemicals
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software
DDF,"Delaware Investments Dividend & Income Fund, Inc.",n/a,n/a
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,n/a,n/a
DDOG,"Datadog, Inc.",Technology,Computer Software: Prepackaged Software
DDS,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
DDT,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
DE,Deere & Company,Capital Goods,Industrial Machinery/Components
DEA,"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts
DECK,Deckers Outdoor Corporation,Consumer Non-Durables,Shoe Manufacturing
DEI,"Douglas Emmett, Inc.",Consumer Services,Real Estate Investment Trusts
DELL,Dell Technologies Inc.,Technology,Computer Manufacturing
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants
DEO,Diageo plc,Consumer Non-Durables,Beverages (Production/Distribution)
DESP,"Despegar.com, Corp.",Consumer Services,Transportation Services
DEX,Delaware Enhanced Global Dividend,n/a,n/a
DFFN,Diffusion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DFIN,"Donnelley Financial Solutions, Inc.",Consumer Services,Other Consumer Services
DFNL,Davis Select Financial ETF,n/a,n/a
DFNS,LGL Systems Acquisition Corp.,Finance,Business Services
DFNS.U,LGL Systems Acquisition Corp.,n/a,n/a
DFNS.WS,LGL Systems Acquisition Corp.,n/a,n/a
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,n/a,n/a
DFPH,DFP Healthcare Acquisitions Corp.,Finance,Business Services
DFPHU,DFP Healthcare Acquisitions Corp.,Finance,Business Services
DFPHW,DFP Healthcare Acquisitions Corp.,Finance,Business Services
DFS,Discover Financial Services,Finance,Finance: Consumer Services
DFVL,Barclays PLC,n/a,n/a
DFVS,Barclays PLC,n/a,n/a
DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores
DGICA,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",Finance,Property-Casualty Insurers
DGII,Digi International Inc.,Technology,Computer Communications Equipment
DGLD,Credit Suisse AG,Finance,Investment Bankers/Brokers/Service
DGLY,"Digital Ally, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,n/a,n/a
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,n/a,n/a
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,n/a,n/a
DGX,Quest Diagnostics Incorporated,Health Care,Medical Specialities
DHC,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust ,Consumer Services,Real Estate Investment Trusts
DHF,BNY Mellon High Yield Strategies Fund,n/a,n/a
DHI,"D.R. Horton, Inc.",Capital Goods,Homebuilding
DHIL,"Diamond Hill Investment Group, Inc.",Finance,Investment Managers
DHR,Danaher Corporation,Capital Goods,Industrial Machinery/Components
DHR^A,Danaher Corporation,n/a,n/a
DHR^B,Danaher Corporation,n/a,n/a
DHT,"DHT Holdings, Inc.",Transportation,Marine Transportation
DHX,"DHI Group, Inc.",Miscellaneous,Business Services
DHY,Credit Suisse High Yield Bond Fund,n/a,n/a
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,n/a,n/a
DIN,"Dine Brands Global, Inc.",Consumer Services,Restaurants
DINT,Davis Select International ETF,n/a,n/a
DIOD,Diodes Incorporated,Technology,Semiconductors
DIS,Walt Disney Company (The),Consumer Services,Services-Misc. Amusement & Recreation
DISCA,"Discovery, Inc.",Consumer Services,Television Services
DISCB,"Discovery, Inc.",Consumer Services,Television Services
DISCK,"Discovery, Inc.",Consumer Services,Television Services
DISH,DISH Network Corporation,Consumer Services,Television Services
DIT,AMCON Distributing Company,Consumer Non-Durables,Food Distributors
DJCO,Daily Journal Corp. (S.C.),Consumer Services,Newspapers/Magazines
DK,"Delek US Holdings, Inc.",Energy,Integrated oil Companies
DKL,"Delek Logistics Partners, L.P.",Energy,Natural Gas Distribution
DKNG,DraftKings Inc.,Consumer Services,Services-Misc. Amusement & Recreation
DKNGW,DraftKings Inc.,Consumer Services,Services-Misc. Amusement & Recreation
DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores
DL,China Distance Education Holdings Limited,Consumer Services,Other Consumer Services
DLA,"Delta Apparel, Inc.",Consumer Non-Durables,Apparel
DLB,Dolby Laboratories,Miscellaneous,Multi-Sector Companies
DLHC,DLH Holdings Corp.,Technology,Professional Services
DLNG,Dynagas LNG Partners LP,Consumer Services,Marine Transportation
DLNG^A,Dynagas LNG Partners LP,n/a,n/a
DLNG^B,Dynagas LNG Partners LP,n/a,n/a
DLPH,Delphi Technologies PLC,Capital Goods,Auto Parts:O.E.M.
DLPN,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DLPNW,"Dolphin Entertainment, Inc.",Consumer Services,Other Consumer Services
DLR,"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
DLR^C,"Digital Realty Trust, Inc.",n/a,n/a
DLR^G,"Digital Realty Trust, Inc.",n/a,n/a
DLR^I,"Digital Realty Trust, Inc.",n/a,n/a
DLR^J,"Digital Realty Trust, Inc.",n/a,n/a
DLR^K,"Digital Realty Trust, Inc.",n/a,n/a
DLR^L,"Digital Realty Trust, Inc.",n/a,n/a
DLTH,Duluth Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores
DLX,Deluxe Corporation,Consumer Durables,Publishing
DLY,DoubleLine Yield Opportunities Fund,n/a,n/a
DMAC,DiaMedica Therapeutics Inc.,Health Care,Major Pharmaceuticals
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",n/a,n/a
DMF,BNY Mellon Municipal Income Inc.,n/a,n/a
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas Production
DMO,Western Asset Mortgage Opportunity Fund Inc.,n/a,n/a
DMPI,"DelMar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DMRC,Digimarc Corporation,Technology,EDP Services
DMTK,"DermTech, Inc.",Health Care,Medical Specialities
DMXF,iShares ESG Advanced MSCI EAFE ETF,n/a,n/a
DMYT,"dMY Technology Group, Inc.",Finance,Business Services
DMYT.U,"dMY Technology Group, Inc.",n/a,n/a
DMYT.WS,"dMY Technology Group, Inc.",n/a,n/a
DNI,Dividend and Income Fund,n/a,n/a
DNJR,GOLDEN BULL LIMITED,Finance,Finance: Consumer Services
DNK,Phoenix Tree Holdings Limited,Consumer Services,Building operators
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants
DNLI,Denali Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNN,Denison Mine Corp,Basic Industries,Precious Metals
DNOW,NOW Inc.,Energy,Metal Fabrications
DNP,"Duff & Phelps Utilities Income, Inc.",n/a,n/a
DNR,Denbury Resources Inc.,Energy,Oil & Gas Production
DOC,Physicians Realty Trust,Consumer Services,Real Estate Investment Trusts
DOCU,"DocuSign, Inc.",Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation,Consumer Durables,Miscellaneous manufacturing industries
DOMO,"Domo, Inc.",Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc.,Capital Goods,Industrial Specialties
DOOR,Masonite International Corporation,Basic Industries,Forest Products
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.
DOV,Dover Corporation,Technology,Industrial Machinery/Components
DOW,Dow Inc.,Basic Industries,Major Chemicals
DOX,Amdocs Limited,Technology,EDP Services
DOYU,DouYu International Holdings Limited,Technology,"Computer Software: Programming, Data Processing"
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,n/a,n/a
DPHC,DiamondPeak Holdings Corp.,Finance,Business Services
DPHCU,DiamondPeak Holdings Corp.,Finance,Business Services
DPHCW,DiamondPeak Holdings Corp.,Finance,Business Services
DPW,"DPW Holdings, Inc.",Capital Goods,Industrial Machinery/Components
DPZ,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors
DQ,DAQO New Energy Corp.,Technology,Semiconductors
DRAD,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DRADP,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DRD,DRDGOLD Limited,Basic Industries,Precious Metals
DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts
DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants
DRIO,DarioHealth Corp.,Health Care,Medical/Dental Instruments
DRIOW,DarioHealth Corp.,Health Care,Medical/Dental Instruments
DRIV,Global X Autonomous & Electric Vehicles ETF,n/a,n/a
DRMT,Dermavant Sciences Ltd.,n/a,n/a
DRNA,"Dicerna Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DRQ,"Dril-Quip, Inc.",Energy,Metal Fabrications
DRRX,DURECT Corporation,Health Care,Major Pharmaceuticals
DRTT,DIRTT Environmental Solutions Ltd.,Technology,Computer Software: Prepackaged Software
DRUA,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central
DS,Drive Shack Inc.,Consumer Services,Restaurants
DS^B,Drive Shack Inc.,n/a,n/a
DS^C,Drive Shack Inc.,n/a,n/a
DS^D,Drive Shack Inc.,n/a,n/a
DSE,Duff & Phelps Select MLP and Midstream Energy Fund,n/a,n/a
DSGX,The Descartes Systems Group Inc.,Technology,Computer Software: Prepackaged Software
DSKE,"Daseke, Inc.",Consumer Services,Transportation Services
DSKEW,"Daseke, Inc.",Consumer Services,Transportation Services
DSL,DoubleLine Income Solutions Fund,n/a,n/a
DSLV,Credit Suisse AG,Finance,Investment Bankers/Brokers/Service
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc.",n/a,n/a
DSPG,"DSP Group, Inc.",Technology,Semiconductors
DSS,"Document Security Systems, Inc.",Consumer Durables,Containers/Packaging
DSSI,Diamond S Shipping Inc.,Consumer Services,Transportation Services
DSU,"Blackrock Debt Strategies Fund, Inc.",n/a,n/a
DSWL,"Deswell Industries, Inc.",Consumer Non-Durables,Plastic Products
DSX,Diana Shipping inc.,Transportation,Marine Transportation
DSX^B,Diana Shipping inc.,n/a,n/a
DT,"Dynatrace, Inc.",Technology,Computer Software: Prepackaged Software
DTE,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTEA,DAVIDsTEA Inc.,Consumer Non-Durables,Food Chains
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",n/a,n/a
DTIL,"Precision BioSciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTJ,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTLA^,Brookfield DTLA Inc.,n/a,n/a
DTP,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTQ,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTSS,Datasea Inc.,Technology,Computer Software: Prepackaged Software
DTUL,Barclays PLC,n/a,n/a
DTUS,Barclays PLC,n/a,n/a
DTW,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTY,DTE Energy Company,Public Utilities,Electric Utilities: Central
DTYL,Barclays PLC,n/a,n/a
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",n/a,n/a
DUK,Duke Energy Corporation,Public Utilities,Power Generation
DUK^A,Duke Energy Corporation,Public Utilities,Power Generation
DUKB,Duke Energy Corporation,Public Utilities,Power Generation
DUKH,Duke Energy Corporation,Public Utilities,Power Generation
DUO,Fangdd Network Group Ltd.,Finance,Real Estate
DUOT,"Duos Technologies Group, Inc.",Technology,Computer Software: Prepackaged Software
DUSA,Davis Select U.S. Equity ETF,n/a,n/a
DVA,DaVita Inc.,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals
DVD,"Dover Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
DVLU,First Trust Dorsey Wright Momentum & Value ETF,n/a,n/a
DVN,Devon Energy Corporation,Energy,Oil & Gas Production
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,n/a,n/a
DVY,iShares Select Dividend ETF,n/a,n/a
DWAS,Invesco DWA SmallCap Momentum ETF,n/a,n/a
DWAT,Arrow DWA Tactical ETF,n/a,n/a
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,n/a,n/a
DWCR,Arrow DWA Country Rotation ETF,n/a,n/a
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,n/a,n/a
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,n/a,n/a
DWLD,Davis Select Worldwide ETF,n/a,n/a
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,n/a,n/a
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,n/a,n/a
DWSH,AdvisorShares Dorsey Wright Short ETF,n/a,n/a
