Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,4/21/2015,Capital Goods,1.502132268,1.155080214,0.471062073,72.08356076,0.105170446,0.144345755,0.281570982,0.144345755,0.093265275,0.189647304,0.240074758,0.88680117,7.487646294,1.574106587,0.611515698,0.255929873,0.782245223,5.010198878,11.6063233,2.574106587,0.144345755,10.84723821,6.404895461,0.124646455,5.397390494
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,6/1/2015,Consumer Non-Durables,1.529885086,0.872729375,0.094569824,26.66848519,0.020025771,0.031722448,0.175873028,0.034119393,0.070742447,0.167678448,0.176872403,3.532570522,11.67114159,1.50023022,0.600036832,0.368719267,0.649517187,1.654656513,0.704870988,2.50023022,0.031722448,11.07454219,2.547517673,0.032092015,13.54125674
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,6/5/2014,Consumer Non-Durables,1.655630865,0.958956675,0.109963721,26.16087263,0.022346306,0.034843775,0.177153177,0.03734366,0.078366326,0.173585323,0.191152411,3.506902943,11.16401216,1.439216189,0.590032239,0.358671496,0.661376004,1.696192263,0.699502094,2.439216189,0.034843775,10.61808439,2.564641371,0.034036299,14.83406982
BBB,Sysco Corporation,SYY,Egan-Jones Ratings Company,11/3/2015,Consumer Non-Durables,1.222848383,0.902528987,0.545771715,25.14308047,0.014107691,0.020709356,0.17566524,0.025253554,0.03817679,0.117367427,0.130559649,2.706097703,12.2247624,2.419869762,0.707591204,0.318776924,0.651021804,1.710355283,8.66455656,3.419869762,0.020709356,12.87360905,2.627185867,0.031952752,13.92432007
A,Sysco Corporation,SYY,Egan-Jones Ratings Company,5/7/2013,Consumer Non-Durables,1.777323672,1.067739637,0.201212532,25.54964061,0.026464374,0.042094443,0.181132773,0.044610432,0.092731509,0.205734188,0.239397102,3.50401299,10.91237567,1.581615525,0.612645651,0.371309561,0.441310231,1.054366556,1.17208801,2.581615525,0.042094443,8.484768281,2.389173153,0.033132348,15.70710519
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,3/21/2016,Consumer Non-Durables,1.027167555,0.434355908,0.222085012,13.71935379,0.092993993,0.130094171,0.235820209,0.143732749,0.202409,0.517770598,-0.518951978,2.176581458,12.9187205,-3.563877982,1.390034162,0.279563183,0.877940242,4.457714655,2.520981278,-2.563877982,0.130094171,14.38546981,5.077469335,0.106416085,7.265321955
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,7/4/2013,Consumer Non-Durables,0.987460448,0.381401617,0.126215868,17.57294231,0.107161154,0.103150108,0.259993252,0.168876282,0.22469084,0.391195147,-1.104300798,2.096756445,11.84737232,-5.914756631,1.203468874,0.444579043,0.881598421,5.508631319,1.637484587,-4.914756631,0.103150108,10.51663402,6.248458693,0.126641592,8.1711146
A,Philip Morris International Inc,PM,Standard & Poor's Ratings Services,2/12/2013,Consumer Non-Durables,0.974964739,0.412670428,0.175305595,16.92640161,0.113705374,0.167805874,0.271394054,0.178905069,0.233607645,0.628788612,-2.53164557,2.054499602,11.64680211,-11.83716916,1.09227502,0.295141295,0.887909988,4.943853428,2.028959811,-10.83716916,0.167805874,11.24123711,5.567966903,0.121729355,9.404351768
A,Philip Morris International Inc,PM,Egan-Jones Ratings Company,10/17/2014,Consumer Non-Durables,1.024616199,0.411527263,0.111302276,18.2440766,0.093538561,0.132948843,0.241317754,0.146081442,0.212947964,0.530510585,-0.593316969,2.276579419,13.19486081,-3.78620635,1.358910961,0.290798122,0.851014343,4.205619413,1.414431673,-2.78620635,0.132948843,12.08965452,4.941890166,0.096609492,8.40257649
A,Philip Morris International Inc,PM,Moody's Investors Service,6/15/2012,Consumer Non-Durables,1.004393673,0.415573881,0.172367176,15.30355225,0.112527179,0.164147434,0.267453436,0.174626045,0.24208183,0.60558616,37.51528384,2.151318756,12.21536,153.9694323,0.993547115,0.291493776,0.914806724,5.469619534,1.673480977,154.9694323,0.164147434,10.21870157,5.978989211,0.137911613,10.35693501
A,AT&T Inc.,T,Egan-Jones Ratings Company,10/28/2014,Public Utilities,0.859074084,0.627112279,0.230754788,40.0337871,0.046992382,0.075199891,0.542375441,0.08868453,0.021254725,0.038975218,0.071602779,0.452301514,1.1731563,2.368793429,0.703157816,0.345582329,0.32353692,1.947934678,1.700864553,3.368793429,0.075199891,8.155255005,6.02074928,0.236607851,2.569133605
A,AT&T Inc.,T,Moody's Investors Service,6/15/2012,Public Utilities,0.747775541,0.666006365,0.103429239,39.18933422,0.031123001,0.052997483,0.547248724,0.072741333,0.01458882,0.028035901,0.03727894,0.468747226,1.183364928,1.555308752,0.608657858,0.377010125,0.419591318,2.45242915,1.164473684,2.555308752,0.052997483,8.53399239,5.844804318,0.273415244,2.889213415
BBB,AT&T Inc.,T,Standard & Poor's Ratings Services,10/24/2016,Public Utilities,0.758640462,0.479595065,0.114441632,37.42572625,0.076947969,0.12096272,0.885478612,0.148651289,0.031209372,0.05608572,0.101547015,0.405590596,1.311347569,2.25373459,0.692660857,0.327024026,0.453131354,2.890402075,1.209792477,3.25373459,0.12096272,7.484375822,6.378728923,0.240215891,0.60238294
A,AT&T Inc.,T,Moody's Investors Service,11/28/2012,Public Utilities,0.714317174,0.695441533,0.153144367,36.25253072,0.057002056,0.081916914,0.566716889,0.10199005,0.02667499,0.043400353,0.078364529,0.467965408,1.160950012,1.937752845,0.659603768,0.277804387,0.503139677,3.397862438,1.628857094,2.937752845,0.081916914,8.509777778,6.753318393,0.307421881,2.640476304
A,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,9/27/2013,Public Utilities,1.216566404,0.389287367,0.17364646,1.691600943,0.108342142,0.15936255,1,0.202536792,0.023218533,0.036934093,0.064481007,0.214307495,0.35397899,1.777135253,0.63991671,0.321683673,0.134127233,1.212464589,4.604815864,2.777135253,0.15936255,10.72918524,9.039660057,0.259451988,0
AA,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,5/26/2015,Public Utilities,1.030446007,0.36775572,0.181251669,1.388296761,0.078704284,0.172789969,1,0.219770115,0.0155995,0.037761701,0.046067278,0.198203945,0.34156126,1.953125382,0.661375705,0.403725206,0.182508351,1.700141443,5.714285714,2.953125382,0.172789969,11.36246207,9.315417256,0.275276907,3.619110524
AA,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,9/22/2015,Public Utilities,0.73,0.282894737,0.075175439,0.731275843,0.120039217,0.176350228,1,0.228782131,0.023242761,0.0376927,0.070883782,0.193626399,0.309857481,2.0497143,0.672100433,0.320522117,-0.013481126,-0.129682997,4.57925072,3.0497143,0.176350228,10.1303118,9.619596542,0.28458161,3.1925
A,Duke Energy Corporation,DUK,Egan-Jones Ratings Company,6/10/2013,Public Utilities,1.009273108,0.184863895,0.141988234,1.804168365,0.090093763,0.124898084,1,0.159294741,0.015528387,0.023606576,0.043266525,0.172358066,0.286239389,1.786285882,0.641099283,0.287637699,-0.049008391,-0.447735192,3.06097561,2.786285882,0.124898084,13.23460713,9.135888502,0.267223808,0
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,6/15/2012,Public Utilities,1.244573082,0.439399421,0.381693198,3.24075986,0.117420332,0.169660679,1,0.191134971,0.02728465,0.043247131,0.074916564,0.232367335,0.340568669,1.745740383,0.635799507,0.305070994,-0.188180828,-0.518768769,1.726726727,2.745740383,0.169660679,21.22620862,2.756756757,0.252735907,0.242847174
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,8/10/2016,Public Utilities,0.69595706,0.290104753,0.033936456,12.05271952,0.094622521,0.164182386,1,0.23484149,0.01620958,0.030806039,0.052445593,0.171307839,0.275605914,2.235469013,0.690925799,0.309587574,-0.162253604,-1.596237337,3.762662808,3.235469013,0.164182386,10.93080143,9.837916064,0.298905158,2.212758851
AA,Danaher Corporation,DHR,Egan-Jones Ratings Company,4/28/2014,Capital Goods,2.013009674,1.450457216,0.688077042,65.89779266,0.140966628,0.186525787,0.520849461,0.171299299,0.077727978,0.118295693,0.120391507,0.551392758,8.64559309,0.548882526,0.354373244,0.244251262,0.846177447,4.358908046,4.475862069,1.548882526,0.186525787,9.620959735,5.151293103,0.187535307,5.151501518
AA,Danaher Corporation,DHR,Egan-Jones Ratings Company,7/18/2014,Capital Goods,1.747702172,1.230338744,0.556963902,66.60391286,0.130482379,0.174843576,0.5243851,0.172307646,0.070242784,0.110199935,0.111146757,0.538331572,9.039400817,0.582322772,0.36801769,0.253719341,0.841022776,4.501424096,4.280262034,1.582322772,0.174843576,10.14399103,5.352321276,0.188733441,5.05136
A,Danaher Corporation,DHR,Egan-Jones Ratings Company,10/27/2015,Capital Goods,1.270047323,0.77059834,0.128160249,70.36373407,0.163273047,0.161648779,0.523388983,0.168705108,0.069623534,0.079045368,0.141720451,0.426423929,7.277427803,1.035525088,0.508726271,0.218200963,0.833499921,4.539177768,1.132788999,2.035525088,0.161648779,12.81696067,5.445924653,0.184884575,4.783113714
A,Danaher Corporation,DHR,Moody's Investors Service,6/15/2012,Capital Goods,1.503431185,125.950472,0.12871462,69.18423341,0.135002554,0.152129699,0.508165916,0.162656194,0.072531022,0.094960981,0.128499964,0.537256665,7.658551445,0.771655217,0.435556089,0.209392818,0.872643947,3.389383423,772.6160191,1.771655217,0.152129699,9.730735496,3.884039345,0.163218077,5.56359996
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,4/19/2016,Technology,1.692499769,1.580057596,0.088480563,61.04440742,0.037961466,0.061506856,0.072211677,0.072211677,0.041544729,0.076727905,0.091421267,1.094392094,55.96825197,1.200550354,0.545568227,0.380058838,0.923083119,7.82636903,1.509411413,2.200550354,0.061506856,9.090784028,8.478509539,0.055727183,58.18365588
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,11/26/2014,Technology,1.741295875,1.609233128,0.152539004,61.02316954,0.041197559,0.066546351,0.07355832,0.07355832,0.045157121,0.083439041,0.111792247,1.096111562,53.76345185,1.475628333,0.596062145,0.376891149,0.938078298,10.16479791,2.801434159,2.475628333,0.066546351,8.629256679,10.83576706,0.067716371,61.11965383
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,10/25/2013,Technology,0.980445633,0.914422204,0.086649858,60.92760708,0.041197559,0.066546351,0.07355832,0.07355832,0.060644914,0.139314897,0.125893122,1.472051142,56.20500687,1.075905695,0.518282549,0.376891149,0.938078298,10.16479791,2.796045198,2.075905695,0.066546351,6.354931925,10.83576706,0.067716371,25.63366724
BB,"CACI International, Inc.",CACI,Standard & Poor's Ratings Services,9/29/2016,Technology,1.631063598,1.509085665,0.086843744,88.54608577,0.038085658,0.060849833,0.071339799,0.071339799,0.031648911,0.058916797,0.078519616,0.830992885,40.72481011,1.480957927,0.596929884,0.37360321,0.92310744,8.744696843,2.049523969,2.480957927,0.060849833,12.09403002,9.473108402,0.068466964,32.29842553
A,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,9/4/2014,Public Utilities,1.29034049,0.685384702,0.085908402,48.48254731,0.066515311,0.103453964,0.253338468,0.134082133,0.027096381,0.061535864,0.094809418,0.407370586,0.579957593,2.500486052,0.714634937,0.357054018,-0.145703374,-1.085050901,0.868191198,3.498969784,0.137421425,7.917552738,7.446985402,0.163275608,9.430417649
BBB,"Southwest Gas Holdings, Inc.",SWX,Moody's Investors Service,6/15/2012,Public Utilities,0.544654824,0.287844751,0.040966625,40.47015454,0.059499636,0.093043194,0.23874092,0.13251462,0.026259779,0.071517096,0.091586597,0.441343524,0.586275499,2.488520579,0.713510525,0.360515975,-0.511617111,-2.808650606,0.756283231,3.487713904,0.129924523,6.872967958,5.489751112,0.133554262,7.69264009
AA,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,4/2/2014,Public Utilities,1.139366691,0.600109636,0.094611714,41.0636273,0.074493203,0.114447437,0.261962639,0.140566706,0.031832303,0.069465337,0.102734279,0.427318214,0.559587368,2.228863723,0.690615297,0.349105535,-0.052185241,-0.38978778,0.886218667,3.227359329,0.147101009,7.216166957,7.469310766,0.177471906,7.845578739
BBB,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,4/27/2011,Public Utilities,0.746939917,0.505027967,0.257767258,29.43437423,0.056751883,0.08675946,0.230871228,0.126814181,0.026072281,0.069788842,0.088976848,0.459408216,0.595739342,2.413097311,0.707093507,0.345870959,0.41929093,3.415148723,3.378330612,3.412699011,0.129149227,6.241508397,8.145057473,0.202687324,8.504440122
A,"Southwest Gas Holdings, Inc.",SWX,Fitch Ratings,5/28/2013,Public Utilities,0.856647649,0.415681079,0.047708123,37.282947,0.069163047,0.108211111,0.256744293,0.140848168,0.029707956,0.069980278,0.101765484,0.429535097,0.576524152,2.426812672,0.70844889,0.360850786,-0.024300846,-0.203464232,0.553306545,3.425529641,0.143495257,6.4648439,8.3727222,0.200398594,9.204468513
AA,"Southwest Gas Holdings, Inc.",SWX,Standard & Poor's Ratings Services,1/21/2016,Public Utilities,1.04322814,0.655101907,0.067278453,46.59673449,0.056143691,0.088576386,0.226675326,0.117035669,0.025811743,0.060140889,0.086751321,0.459744322,0.633146025,2.362230997,0.702851539,0.366155101,0.116038112,1.352178614,0.759824751,3.360924556,0.117752499,7.509075713,11.65288363,0.224084428,11.55657327
A,"America Movil, S.A.B. de C.V.",AMOV,Fitch Ratings,6/15/2012,Public Utilities,0.937713857,0.725698995,0.228819471,67.91831161,0.120361236,0.177966754,0.580278037,0.228425795,0.088383308,0.21077418,0.361114892,0.734317051,1.480338752,3.057552606,0.748339709,0.323686964,0.378211529,84.59014236,68.43055093,4.085781591,0.208100988,1.438815511,223.6582859,0.280072745,2.022110779
B,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,11/20/2015,Health Care,5.715491624,5.369999673,0.90732456,31.54748596,-0.351744488,-0.349551962,0.852234124,-0.127266188,-0.161687524,-0.183004208,-12.62669155,0.459673227,3.235168779,77.09317157,0.987194783,-0.00627239,1.153181999,-636.2620604,2332.392154,78.09317157,-0.349551962,2.902293102,-551.744704,-0.316672733,14.43165468
B,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,4/1/2015,Health Care,4.499820444,3.769591082,0.193061346,6.55958686,-0.268630392,-0.271181374,0.857837544,-0.082134654,-0.122086586,-0.144151875,-1.483981064,0.454477935,2.852248181,11.15515248,0.917730362,0.009406923,1.070250553,-1197.906568,1874.504426,12.15515248,-0.271181374,0.521804182,-1119.276757,-0.707528885,10.55604883
B,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,4/14/2014,Health Care,2.625528146,2.435884383,0.3977459,5.463198609,-1.087912383,-1.072837276,0.741413233,-0.806669308,-0.372849098,-0.475067349,1.802086693,0.342719785,2.223564368,-5.833286987,1.206898536,-0.014051625,1.106185273,-368.24733,2048.059309,-4.833286987,-1.072837276,0.144309757,-332.8984205,-0.258707637,4.224794295
CCC,Nektar Therapeutics,NKTR,Egan-Jones Ratings Company,6/17/2013,Health Care,4.006149968,3.603384392,0.323885557,26.09679644,-2.116675494,-2.111674939,0.625229397,-1.739121331,-0.345235943,-0.408939232,-3.65508954,0.163102915,1.124295506,9.587221915,0.905546516,-0.002368051,1.081560776,-1222.252221,2414.161296,10.58722192,-2.111674939,0.003473199,-1130.081867,-1.598157431,10.62801257
A,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,5/15/2015,Public Utilities,0.920117457,0.656918559,0.037094744,7386.005747,33.81034483,54.59770115,1,63.9137931,0.038797367,0.070398008,0.052071624,0.0011475,0.001545609,0.34214323,0.254923038,0.380736842,0.38540536,2.046099291,3.298315603,1.34214323,54.59770115,11.18531636,5.308953901,68.83333333,2.851637765
BBB,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,12/5/2013,Public Utilities,1.036554397,0.8078054,0.017375033,3087.291667,12.02916667,19.06875,1,22.50208333,0.039094344,0.068959542,0.05455559,0.003249963,0.004401005,0.395485511,0.283403524,0.369168579,0.441592201,2.388400703,3.527240773,1.395485511,19.06875,9.661776667,5.408611599,25.64583333,1.967308815
A,"WEC Energy Group, Inc.",WEC,Egan-Jones Ratings Company,9/14/2015,Public Utilities,0.81461794,0.5393134,0.018383167,63.35347024,0.10774371,0.181249051,0.621994229,0.211015676,0.021750831,0.040309688,0.056762115,0.201875647,0.308816709,1.609652671,0.616807244,0.40387301,0.0211812,0.101069716,1.594983401,2.609652671,0.181249051,13.19784787,4.77167097,0.218288588,2.747240618
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,8/14/2015,Public Utilities,0.542663335,0.303998572,0.023384506,34.37208838,0.038466658,0.059430321,1,0.152535605,0.011075555,0.01916926,0.046534095,0.287926112,0.403772774,3.201513566,0.761990534,0.352743561,0.215549753,1.760663507,0.682464455,4.201513566,0.059430321,8.184463602,8.168246445,0.229402369,0.810232558
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,6/13/2014,Public Utilities,0.508969491,0.275500851,0.02854524,42.08621036,0.026278742,0.038211437,1,0.107729436,0.007774076,0.013321803,0.030885597,0.29583135,0.448604595,2.972896313,0.748294463,0.342105263,0.009015778,0.057416268,0.918660287,3.972896313,0.038211437,8.448940118,6.368421053,0.178454113,1.9968
BB,FirstEnergy Corp.,FE,Egan-Jones Ratings Company,8/29/2014,Public Utilities,0.696996943,0.323323143,0.015285021,37.69087647,0.01986843,0.011362881,1,0.070569473,0.005731703,0.003669134,0.024074074,0.28848292,0.420562837,3.200161031,0.76191389,-0.245614035,-0.220788795,-1.426190476,0.580952381,4.200161031,0.011362881,14.04790236,6.45952381,0.180277759,0.979671618
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,6/15/2012,Public Utilities,0.691040165,0.404119464,0.041606591,34.23699102,0.05443474,0.088756305,0.857485546,0.104440891,0.01870008,0.033976125,0.066641566,0.343532097,0.535913241,2.563704819,0.719393145,0.397782398,0.255305256,1.959899749,1.095238095,3.563704819,0.088756305,10.16552395,7.676691729,0.188399557,1.973594549
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,3/1/2013,Public Utilities,0.495463511,0.260092045,0.0226167,38.49637326,0.050316931,0.086518983,1,0.142194341,0.015275959,0.030933857,0.058850504,0.30359481,0.465094368,2.852491593,0.740427727,0.417673716,-0.155172414,-0.861244019,0.870813397,3.852491593,0.086518983,8.880766807,5.550239234,0.151604261,1.545340838
B,Vector Group Ltd.,VGR,Egan-Jones Ratings Company,12/11/2013,Consumer Non-Durables,1.45260182,1.034947717,0.578921248,4.201888847,0.036633213,0.060108881,0.292571483,0.106074607,0.030704062,0.074240429,-0.40712993,0.838148202,13.32609957,-14.25980681,1.07541588,0.390552397,0.744839119,0.42347729,4.447762818,-13.25980681,0.060108881,14.08104546,0.568548669,0.049257716,27.99078445
B,Vector Group Ltd.,VGR,Egan-Jones Ratings Company,8/28/2015,Consumer Non-Durables,2.698846929,2.063104507,1.111312485,5.261586281,0.035721764,0.064992273,0.330359034,0.120637438,0.045163249,0.098408902,-0.287303382,1.264306248,21.91132061,-7.361441807,1.157197068,0.382832738,0.924023561,1.133673489,3.586464593,-6.361441807,0.064992273,13.4168709,1.226888077,0.087182755,56.50628851
BBB,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/13/2011,Consumer Non-Durables,1.617208866,1.085914251,0.764354469,8.008951102,0.066191392,0.108663467,0.212194498,0.126454499,0.080860732,0.201049676,-0.842637313,1.22162006,20.03996039,-11.42084691,1.09596149,0.390858822,0.671540745,0.30763536,4.034468125,-10.42084691,0.108663467,8.456252317,0.458103789,0.031799573,93.67215695
BB,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,11/29/2016,Consumer Non-Durables,3.596585232,2.902063748,2.006291168,4.058292119,0.042063362,0.074768074,0.351048435,0.137790673,0.050658994,0.104669559,-0.214237952,1.204349607,21.01915523,-5.229021084,1.236461342,0.388858569,0.726627473,0.571990473,4.437838217,-4.229021084,0.074768074,12.8667562,0.787185311,0.057740358,103.787383
B,Vector Group Ltd.,VGR,Standard & Poor's Ratings Services,1/30/2013,Consumer Non-Durables,3.274540247,2.495841852,2.079612009,3.785136822,0.028234856,0.049529481,0.240740365,0.142855167,0.028178086,0.060249761,-0.386387725,0.997989383,18.97618673,-14.71234795,1.072926971,0.429938381,0.866030017,0.860640009,5.623736026,-13.71234795,0.049529481,7.209406902,0.993776188,0.077531059,135.0142646
BBB,CMS Energy Corporation,CMS,Egan-Jones Ratings Company,11/4/2013,Public Utilities,1.298714653,1.199485861,0.088431877,50.80871154,0.068839476,0.115138593,1,0.173926287,0.025953147,0.04886562,0.130862768,0.377009646,0.405709343,4.042269832,0.801676619,0.399470899,0.067558058,0.36294896,5.364839319,5.042269832,0.115138593,8.079850282,5.372400756,0.21641791,2.099145299
BBB,CMS Energy Corporation,CMS,Egan-Jones Ratings Company,11/12/2015,Public Utilities,1.007819288,0.9196351,0.115551694,43.75929368,0.081009913,0.123296159,1,0.180142503,0.025712881,0.044129061,0.132808532,0.31740413,0.439034342,4.165058405,0.806391347,0.340452261,0.046341463,0.275761974,4.873004354,5.165058405,0.123296159,10.00487611,5.95065312,0.254027261,1.518167457
BBB,CMS Energy Corporation,CMS,Egan-Jones Ratings Company,2/9/2015,Public Utilities,1.289473684,1.195630586,0.102780536,44.7924502,0.066443794,0.101546176,1,0.160468032,0.024863174,0.042455303,0.129972752,0.374198593,0.535266925,4.227520436,0.808704717,0.342935528,-0.08984105,-0.480413895,5.643015521,5.227520436,0.101546176,9.841446924,5.347376201,0.201560106,2.202064897
BB,CMS Energy Corporation,CMS,Moody's Investors Service,6/15/2012,Public Utilities,1.097091531,1.03635586,0.068862275,48.77518069,0.0638167,0.093187759,1,0.154236506,0.025224897,0.042936092,0.137054161,0.395271092,0.440851468,4.4332893,0.815949429,0.315181518,0.245508982,1.144338118,6.196172249,5.4332893,0.093187759,8.005766301,4.66108453,0.179763186,2.629565217
BBB,CMS Energy Corporation,CMS,Moody's Investors Service,3/15/2013,Public Utilities,1.347801892,1.264885921,0.051752922,49.90804414,0.061090676,0.099472253,1,0.160403007,0.022298757,0.040563454,0.119599249,0.365010799,0.401038994,4.363494051,0.813554375,0.393890675,0.011281225,0.053701573,5.439202148,5.363494051,0.099472253,8.380113679,4.760260836,0.198464737,2.24609375
BBB,CMS Energy Corporation,CMS,Fitch Ratings,10/31/2016,Public Utilities,0.858757062,0.783427495,0.088512241,46.82997343,0.086107204,0.129082669,1,0.20268792,0.025483304,0.043549323,0.129555608,0.295948571,0.407190582,4.083940748,0.803302192,0.330508475,-0.026396562,-0.154731918,4.530406621,5.083940748,0.129082669,9.718176471,5.861820799,0.254571027,1.18729097
