DATE,TATASTEEL,WIPRO,TITAN,ULTRACEMO,TECHM,RELIANCE,SHREECEM,SUNPHARMA,TATAMOTORS,TCS,SBIN,NESTLEIND,NTPC,M&M,MARUTI,ONGC,POWERGRID,JSWSTEEL,KOTAKBANK,LT,ICICIBANK,INDUSBANK,INFY,IOC,ITC,HEROMOTOCO,HINDALCO,HINDUNILVR,HCLTECH,HDFCBANK,HDFC,DRREDDYS,EICHERMOTOR,GRASIM,CIPLA,COALINDIA,BPCL,BRITANNIA,ADANIPORTS,BAJAJFINSERV,BAJAJFINANCE,BHARTIARTL,AXISBANK,BAJAJ-AUTO,ASIANPAINT,UPL
2010-08-11,633.2,431.2,3817.65,6639.95,748.85,1111.85,2255.15,2294.95,1269.25,1068.15,3425.15,3732.0,193.0,776.85,1488.6,1350.65,224.45,1339.15,491.95,2160.55,1255.3,280.9,,408.9,175.65,,230.25,306.65,405.65,2335.4,726.2,1760.05,1424.35,2425.85,348.9,330.75,741.05,418.75,,481.8,809.15,328.05,1555.9,1600.45,2740.85,
2010-08-12,624.25,435.3,3572.7,5650.75,663.85,1020.55,2014.6,458.4,1336.1,1079.15,2805.0,3741.5,190.95,789.3,1417.15,1345.3,205.0,1144.4,466.45,1994.15,1104.4,277.6,,372.15,166.75,,222.0,296.4,433.05,2280.45,684.75,1842.35,1222.6,2363.05,368.65,318.85,677.7,411.15,,459.4,670.05,347.65,1251.5,1565.7,2658.05,
2010-09-11,641.3,431.65,3822.3,6638.15,753.75,1108.55,2228.45,2321.65,1269.9,1091.1,3272.55,4002.35,193.9,781.05,1471.95,1337.45,220.05,1337.55,492.4,2172.85,1269.15,288.05,,412.4,177.8,,230.75,319.0,404.85,2398.5,725.45,1757.15,1384.65,2455.65,349.95,326.05,744.05,440.35,,475.3,815.8,334.55,1562.3,1610.0,2755.4,
2010-09-12,604.55,437.1,3352.7,5623.7,640.65,984.5,1961.0,449.1,1273.85,1072.6,2686.9,3718.3,187.9,760.35,1391.15,1321.6,203.55,1066.3,452.75,1940.35,1058.3,256.9,,356.75,167.3,,209.75,289.1,425.4,2232.0,671.95,1812.5,1210.05,2328.3,349.9,313.2,673.3,400.05,,459.0,661.0,338.45,1245.75,1532.65,2643.6,
2010-10-11,637.4,436.55,4146.75,6697.4,754.5,1102.2,2227.35,2322.1,1302.5,1092.3,3214.6,3858.6,194.1,806.35,1475.1,1348.05,216.0,1336.95,486.3,2163.45,1255.2,285.55,,413.1,177.0,,228.1,314.75,405.0,2395.85,725.35,1744.0,1347.75,2458.5,342.7,322.8,755.75,438.65,,471.95,809.9,327.05,1543.4,1574.6,2747.45,
2010-10-12,619.0,450.95,3447.0,5397.95,642.0,1023.9,1990.5,449.0,1247.6,1074.9,2732.45,3785.8,192.4,780.75,1413.25,1322.0,197.05,1040.55,472.2,1943.75,1117.1,260.1,,366.6,170.3,,215.3,296.0,431.8,2222.35,668.6,1808.35,1194.35,2319.15,347.45,317.3,680.7,402.35,,458.45,687.45,331.0,1323.55,1490.55,2664.65,
2010-10-19,633.15,464.5,3186.6,6382.45,761.25,1044.4,2065.05,2047.85,1174.15,967.75,3116.6,3314.55,204.25,701.5,1494.85,1350.6,220.15,1291.0,504.95,1995.8,1119.55,265.1,,403.35,170.5,,206.35,297.0,439.25,2368.85,720.65,1628.6,1272.0,2273.45,331.95,,707.75,424.35,,500.25,751.2,327.2,1468.5,1514.45,2635.7,
2010-10-20,615.7,464.0,3171.75,6326.8,753.5,1049.45,2040.1,2037.7,1157.65,963.25,3094.35,3312.1,205.4,699.1,1490.7,1350.45,216.65,1259.65,501.6,2005.0,1113.9,263.1,,409.2,168.0,,203.15,293.4,426.1,2335.55,697.9,1584.5,1243.45,2224.6,333.0,,714.25,426.1,,488.3,765.8,321.25,1455.2,1487.15,2604.4,
2010-10-21,628.4,470.15,3214.5,6067.9,756.9,1081.65,2048.2,2120.9,1167.1,986.2,3195.1,3405.25,205.7,712.8,1513.65,1360.1,211.15,1271.1,503.0,2043.2,1129.6,264.8,,414.8,174.35,,213.35,306.45,423.6,2365.1,704.75,1615.95,1249.35,2250.6,345.25,,720.95,430.45,,491.0,771.6,337.1,1506.3,1490.2,2635.35,
2010-10-22,617.5,448.9,3205.1,6200.85,760.3,1081.8,2028.15,2139.8,1148.85,1040.2,3206.2,3403.85,204.0,701.6,1503.3,1343.85,203.7,1255.1,494.45,2019.35,1131.85,274.5,,428.1,171.2,,211.9,301.25,416.85,2326.65,691.95,1609.5,1243.35,2256.7,344.35,,719.5,425.8,,483.2,772.9,333.45,1464.0,1486.55,2623.6,
2010-10-25,620.25,430.35,3289.9,6715.2,764.65,1090.35,2060.1,2137.75,1185.65,1066.95,3239.2,3442.7,207.55,714.7,1507.0,1346.85,209.85,1239.25,502.05,2034.65,1142.1,274.8,,430.5,169.15,,221.2,306.3,424.55,2304.7,706.5,1638.6,1253.15,2273.9,352.8,,723.3,425.05,,485.8,791.2,337.2,1464.55,1490.1,2620.7,
2010-10-26,605.65,430.4,3491.05,6604.45,786.35,1098.85,2070.15,2128.45,1194.75,1062.6,3180.8,3449.3,205.25,716.95,1566.8,1324.2,208.75,1225.75,492.1,2040.55,1131.15,270.65,,424.7,171.75,,217.75,298.25,423.05,2301.4,696.35,1651.6,1293.15,2268.8,355.45,,709.5,419.45,,478.2,783.95,328.8,1459.5,1498.8,2591.95,
2010-10-27,614.9,430.75,3587.95,6825.85,770.75,1092.75,2075.75,2099.1,1196.05,1048.2,3187.9,3398.65,198.25,728.95,1525.6,1298.5,208.3,1277.35,480.1,2013.4,1106.75,270.85,,419.9,167.85,,219.45,293.0,417.3,2254.3,678.05,1651.3,1284.3,2255.1,350.55,,702.1,415.9,,473.75,777.35,321.95,1447.05,1479.1,2502.6,
2010-10-28,603.85,427.05,3480.7,6760.05,747.3,1082.0,2068.0,2118.0,1192.6,1052.9,3188.35,3463.15,194.05,733.05,1534.8,1303.85,210.55,1319.7,477.9,2000.55,1089.05,270.45,,420.95,167.05,,216.3,291.3,410.4,2266.7,692.2,1645.9,1274.55,2278.9,350.15,,720.2,421.15,,466.2,770.6,330.65,1444.8,1488.95,2648.45,
2010-10-29,589.4,419.75,3552.15,6795.8,729.25,1096.25,2085.4,2110.05,1159.0,1052.9,3150.6,3484.45,195.3,733.7,1551.6,1304.05,214.15,1341.95,464.25,2027.8,1163.0,263.6,,418.05,171.2,,210.5,294.7,403.8,2279.9,687.7,1659.6,1280.95,2240.5,352.95,,730.05,413.65,,470.2,774.45,325.65,1471.05,1510.95,2687.75,
2010-11-11,631.05,428.65,4124.8,6810.3,739.3,1079.9,2242.6,2328.0,1275.95,1064.75,3175.95,3800.2,192.45,813.65,1470.4,1317.7,220.25,1330.55,488.65,2128.4,1237.1,295.45,,407.8,175.35,,233.95,309.2,402.65,2353.3,712.1,1736.3,1317.0,2424.95,331.85,328.55,747.1,431.65,,465.4,795.9,316.75,1522.4,1567.8,2650.85,
2010-11-15,618.3,433.2,3907.0,6365.05,723.5,1054.7,2197.7,2306.35,1252.2,1066.0,3163.5,3901.6,189.5,799.95,1436.9,1314.45,227.25,1294.7,482.45,2084.8,1223.2,293.3,,398.95,175.15,,224.05,303.7,404.35,2385.85,710.2,1762.4,1235.2,2283.15,343.85,317.2,737.3,413.95,,465.9,781.55,309.65,1521.7,1590.85,2663.6,
2010-11-16,605.95,421.75,3790.65,6383.3,691.7,1030.5,2196.05,2303.9,1205.55,1048.9,3080.6,3896.6,187.1,778.3,1400.65,1293.4,227.55,1233.4,482.45,2005.55,1202.3,283.0,,389.9,169.95,,211.9,298.45,392.35,2372.6,698.4,1751.7,1279.35,2250.3,339.25,318.05,725.45,410.45,,465.4,778.6,313.45,1469.15,1560.1,2658.45,
2010-11-18,623.45,418.4,3719.15,6268.45,684.95,1032.95,2117.45,2289.0,1230.75,1042.8,3065.05,3762.3,187.85,780.4,1430.35,1282.25,226.1,1277.55,482.25,2038.35,1164.4,274.3,,397.95,171.95,,222.2,299.55,393.45,2340.35,700.35,1767.85,1275.9,2266.7,353.95,326.9,738.95,410.1,,462.6,772.3,324.95,1426.0,1561.2,2652.3,
2010-11-19,606.05,400.85,3672.75,6208.5,679.45,996.25,2168.05,2214.85,1189.0,1015.4,2990.95,3624.85,184.15,753.0,1405.4,1263.6,232.2,1234.55,461.7,2048.6,1148.7,265.15,,392.8,170.95,,212.6,299.0,377.0,2303.6,695.35,1770.5,1212.7,2212.45,342.8,333.55,712.65,406.15,,457.0,761.6,328.45,1384.7,1562.45,2636.6,
2010-11-22,624.85,418.3,3811.8,6419.2,683.0,1012.25,2117.85,2230.85,1227.7,1039.1,3039.85,3707.9,183.25,766.55,1420.95,1296.75,230.05,1251.35,481.45,2044.35,1180.05,279.65,,385.7,175.9,,214.8,299.65,390.25,2379.9,719.1,1762.7,1204.6,2253.4,348.1,333.35,717.1,405.4,,462.7,763.85,336.95,1430.6,1598.1,2659.35,
2010-11-23,612.15,417.05,3756.6,6407.75,673.6,995.6,2095.1,2276.1,1213.5,1030.05,2953.4,3690.95,180.0,762.15,1441.5,1272.65,212.45,1226.7,479.2,2049.0,1156.95,288.85,,366.4,172.5,,210.8,300.3,396.0,2371.8,699.65,1760.2,1182.4,2234.75,346.15,320.15,705.4,398.5,,460.0,764.2,329.15,1421.7,1638.45,2639.35,
2010-11-24,616.6,409.7,3720.05,6427.15,666.6,996.05,2060.0,2273.35,1218.85,1004.75,2851.0,3792.8,178.15,784.65,1416.05,1247.45,213.75,1202.7,475.8,2016.9,1125.1,280.85,,362.15,173.7,,207.6,299.8,390.5,2311.4,688.3,1781.25,1153.25,2208.75,340.7,310.8,700.55,398.25,,457.95,758.55,331.8,1384.8,1611.15,2604.1,
2010-11-25,602.7,406.25,3673.95,6420.4,623.65,979.5,2030.25,454.0,1205.8,1021.8,2821.9,3761.15,176.95,780.55,1380.1,1226.8,210.75,1190.25,458.8,1934.15,1116.25,287.1,,337.3,169.7,,202.8,297.2,385.75,2323.05,695.95,1770.15,1157.15,2164.4,333.9,313.2,672.7,393.0,,460.05,734.65,335.0,1342.9,1633.75,2520.4,
2010-11-26,598.8,407.5,3573.5,6352.1,624.8,962.35,1960.2,446.25,1166.45,1047.25,2862.75,3561.5,177.0,757.45,1367.0,1240.95,207.1,1107.7,461.0,1937.15,1124.15,284.7,,344.2,167.65,,200.05,293.1,392.0,2297.9,684.95,1787.15,1101.4,2249.0,340.1,312.7,667.7,392.6,,461.65,730.15,333.8,1330.9,1613.25,2547.7,
2010-11-29,591.85,417.75,3683.7,6074.7,631.7,998.4,2026.0,449.8,1186.0,1071.3,2879.75,3566.25,179.4,770.45,1406.05,1243.05,206.5,1132.15,466.05,1964.9,1154.3,294.35,,344.55,168.6,,201.75,297.8,393.55,2297.9,694.85,1796.85,1147.65,2249.75,338.1,317.45,680.3,402.85,,460.45,713.6,338.7,1329.1,1592.7,2585.75,
2010-11-30,584.8,419.6,3693.0,5744.15,639.3,985.6,2057.7,447.55,1234.95,1076.0,2992.2,3625.35,184.0,765.3,1422.0,1245.3,188.9,1127.9,476.7,1950.05,1142.1,292.35,,346.65,171.9,,206.55,298.25,403.75,2285.4,686.65,1786.7,1186.7,2275.35,343.3,317.25,675.05,402.45,,472.1,707.35,360.15,1366.85,1576.6,2648.9,
2010-12-11,606.95,425.2,3955.55,6500.5,728.3,1061.85,2247.95,2321.6,1246.25,1055.9,3026.8,3830.15,192.2,773.15,1454.5,1304.7,227.5,1279.05,478.05,2080.25,1200.45,284.05,,402.55,173.85,,223.1,301.8,402.45,2314.9,716.05,1742.95,1276.15,2295.15,329.65,320.15,730.45,423.9,,455.15,782.75,305.55,1492.0,1581.45,2639.3,
2010-12-13,631.0,448.15,3488.1,5341.2,648.4,1041.75,2017.4,451.5,1277.2,1076.1,2744.85,3885.75,196.45,768.4,1421.85,1328.1,188.0,1130.25,469.2,1962.35,1120.4,264.85,,366.65,167.15,,221.6,301.0,437.65,2239.0,693.75,1822.1,1171.75,2332.25,355.4,323.15,678.8,405.6,,459.2,698.65,332.05,1320.65,1496.85,2697.25,
2010-12-14,646.6,454.4,3585.05,5290.8,673.85,1055.25,2083.85,452.45,1305.95,1080.95,2792.7,3779.9,199.5,757.85,1413.85,1331.9,189.5,1166.15,467.55,1999.85,1119.5,268.2,,375.5,168.4,,224.75,298.25,443.5,2238.25,692.75,1828.7,1192.1,2362.25,359.0,325.3,675.8,405.3,,457.8,705.5,335.15,1303.35,1493.45,2740.95,
2010-12-15,642.75,458.4,3417.15,5354.75,666.7,1053.9,2031.5,446.45,1322.9,1103.65,2698.05,3614.85,196.95,752.9,1395.0,1323.75,190.2,1160.15,449.85,1999.35,1078.7,255.65,,380.5,167.0,,222.05,298.75,448.4,2162.9,685.45,1791.1,1175.5,2270.0,354.5,327.85,703.35,405.75,,458.9,690.5,339.7,1297.6,1470.15,2711.2,
2010-12-16,660.4,470.05,3406.75,5142.15,669.45,1056.85,1986.3,450.0,1347.0,1140.7,2762.95,3566.6,197.95,732.95,1378.0,1329.95,191.55,1164.75,464.25,1983.3,1105.75,250.5,,379.35,168.05,,224.15,294.0,449.0,2200.8,688.5,1788.8,1179.95,2251.8,356.7,320.7,699.5,404.55,,459.55,688.05,344.3,1309.35,1454.35,2706.15,
2010-12-20,666.4,477.6,3379.7,5033.95,662.9,1056.75,1971.75,443.25,1351.0,1166.7,2700.45,3567.85,192.9,745.8,1414.85,1304.45,189.95,1187.35,449.9,1978.25,1100.05,244.45,,367.65,166.95,,223.95,295.15,449.15,2172.5,692.3,1704.2,1178.7,2275.7,365.75,316.0,691.4,399.5,,453.4,688.0,335.0,1270.9,1451.5,2764.8,
2010-12-21,676.2,485.5,3413.15,5007.85,699.15,1073.15,1987.75,428.15,1350.0,1160.8,2743.75,3610.65,191.85,754.1,1423.3,1301.0,185.5,1211.8,454.75,1975.3,1138.35,248.0,,363.95,167.15,,233.6,293.75,452.9,2214.1,699.1,1686.7,1170.8,2318.2,366.6,313.3,683.4,404.0,,456.4,684.25,332.85,1318.35,1452.1,2916.2,
2010-12-22,672.9,477.3,3392.4,5171.8,698.35,1056.05,1983.3,431.2,1365.15,1149.75,2744.95,3668.65,192.8,756.2,1394.1,1305.2,193.3,1199.7,454.45,1955.2,1131.75,250.6,,366.45,167.4,,238.1,293.5,451.55,2178.8,697.75,1676.85,1166.9,2300.65,361.8,314.05,696.0,401.1,,444.2,681.7,343.25,1311.65,1444.9,2941.5,
2010-12-23,661.35,479.5,3336.6,5156.85,685.25,1059.4,2022.0,452.95,1352.75,1140.0,2746.25,3679.8,195.75,751.35,1392.35,1300.25,192.8,1155.65,449.1,1935.15,1129.65,249.3,,362.55,166.9,,233.75,291.1,457.6,2190.95,701.8,1683.05,1181.4,2319.55,359.7,312.95,688.35,397.85,,450.0,701.4,343.3,1314.1,1445.1,2963.9,
2010-12-24,672.85,483.45,3475.95,5015.0,689.45,1059.7,1992.65,473.3,1306.15,1141.1,2755.35,3676.35,198.25,761.8,1391.5,1294.75,193.1,1170.25,450.95,1960.2,1118.15,250.5,,354.8,169.9,,239.6,295.0,455.05,2218.4,698.9,1683.85,1183.95,2284.5,363.7,312.15,672.45,396.75,,451.3,693.0,348.6,1322.0,1444.9,2887.75,
2010-12-27,662.55,485.1,3478.55,5144.8,694.05,1055.25,2022.8,478.35,1301.1,1141.2,2751.2,3686.4,197.0,760.15,1394.35,1299.55,192.7,1156.2,447.45,1950.0,1125.55,251.95,,354.3,169.75,,237.65,296.25,452.6,2213.7,696.05,1694.15,1197.55,2297.65,370.1,307.3,666.4,395.35,,454.75,689.05,341.9,1316.6,1456.75,2839.7,
2010-12-28,665.0,491.35,3468.85,5056.5,693.85,1047.9,2011.95,483.25,1268.9,1146.35,2728.5,3663.95,196.5,764.35,1395.2,1289.9,193.5,1141.35,449.15,1939.75,1111.85,251.85,,347.65,171.2,,237.5,294.4,459.5,2256.15,700.4,1689.75,1193.7,2320.6,371.15,303.75,664.0,398.9,,472.9,699.95,342.35,1288.9,1467.0,2812.5,
2010-12-29,668.05,488.5,3516.0,4893.5,694.95,1048.6,2004.0,480.3,1273.85,1156.95,2755.2,3663.7,197.9,773.15,1417.9,1303.35,193.45,1151.55,448.9,1956.7,1129.45,253.15,,348.45,174.2,,241.55,304.7,457.3,2327.8,717.4,1693.6,1196.9,2313.15,366.65,310.25,669.1,399.8,,470.75,699.1,354.0,1312.4,1484.3,2817.75,
2010-12-30,672.75,489.95,3536.1,4910.5,700.1,1051.2,2009.4,482.45,1300.15,1170.2,2749.65,3741.55,202.25,776.1,1420.45,1294.6,192.35,1177.05,444.95,1975.45,1136.85,262.45,,337.3,174.55,,244.65,309.3,459.45,2305.5,729.2,1685.0,1218.8,2316.9,369.05,308.05,659.2,401.4,,465.75,703.85,357.45,1333.8,1480.15,2822.9,
2010-12-31,680.4,491.25,3594.95,4834.15,702.4,1058.7,2020.65,484.95,1308.35,1165.65,2811.9,3813.75,200.65,778.2,1421.6,1288.2,197.65,1177.05,453.65,1979.25,1145.1,264.85,,342.4,174.65,,247.0,312.9,456.25,2346.35,728.35,1662.85,1235.25,2342.7,369.8,314.75,658.4,413.5,,462.85,703.6,358.8,1350.1,1541.0,2878.7,
2011-01-02,631.75,429.35,3597.2,3922.0,634.25,895.5,1636.55,433.1,1069.05,1150.15,2594.05,3240.85,185.25,705.8,1242.4,1176.75,168.15,899.35,376.75,1578.5,994.8,218.65,,324.8,159.6,,229.9,269.65,484.55,2039.6,633.25,1609.35,1004.15,2258.25,329.0,308.3,580.5,376.15,,414.0,561.4,317.1,1242.65,1246.1,2487.9,
2011-01-03,634.45,443.45,3402.3,4045.55,675.95,988.85,1728.35,446.2,1141.85,1124.5,2705.35,3572.7,181.35,664.3,1290.75,274.0,178.55,944.2,414.4,1611.25,1026.2,232.7,,310.9,173.6,,212.45,287.45,468.75,2139.0,650.75,1582.25,1096.85,2293.5,305.9,338.6,584.35,343.1,,441.85,617.7,337.6,1288.8,1335.5,2532.8,
2011-01-04,626.6,476.05,3858.3,3834.25,693.55,1036.4,2040.1,445.3,1241.8,1180.15,2719.55,3679.6,188.85,711.05,1271.1,293.05,165.05,949.6,451.0,1647.05,1102.9,265.55,,332.85,182.5,,214.25,283.95,467.15,2333.75,708.2,1617.9,1336.5,2530.9,319.85,346.9,605.9,372.1,,523.7,699.4,355.3,1407.75,1458.95,2520.55,
2011-01-06,582.3,448.3,4309.55,4416.1,699.9,946.8,1803.25,469.95,1079.9,1175.4,2329.2,4104.45,175.05,675.85,1250.1,281.6,186.85,964.7,441.1,1684.95,1084.7,264.7,,328.3,193.85,,197.3,310.45,514.4,2398.2,689.1,1610.45,1352.4,2329.5,327.25,414.45,632.55,421.15,,521.05,631.85,381.6,1278.25,1335.6,3169.35,
2011-01-07,602.3,423.15,213.6,4259.1,718.2,861.95,1726.55,498.0,994.7,1191.9,2420.3,4305.4,186.8,691.8,1143.15,276.35,193.3,882.55,473.4,1807.5,1094.85,275.0,2934.15,337.9,201.55,,187.0,336.75,496.2,2501.25,703.3,1526.9,1302.4,2127.5,326.9,384.25,645.15,487.6,,515.25,620.8,383.45,1309.15,1423.15,3313.95,
2011-01-08,573.8,391.9,228.05,4395.6,780.85,830.85,1796.55,523.2,961.5,1135.25,2345.1,4239.35,176.85,730.95,1209.6,273.4,199.25,694.95,454.2,1764.0,1045.35,272.55,2815.1,311.6,208.9,,168.25,322.95,486.05,488.0,694.6,1600.5,1357.15,2197.8,306.9,391.75,655.3,478.2,,526.05,710.15,441.35,1353.0,1486.4,3067.85,
2011-01-11,472.0,372.05,215.05,3901.95,591.6,860.6,1921.55,505.95,193.45,1108.45,1901.4,4359.8,177.35,834.05,1133.5,277.75,200.2,636.75,504.65,1390.05,895.0,279.5,2836.6,295.0,208.3,2137.35,135.85,388.1,429.9,482.3,684.35,1610.0,1688.0,2491.05,289.0,329.5,629.0,474.7,,539.35,691.0,394.55,1135.95,1713.5,3133.15,
2011-01-12,402.65,386.45,186.0,3374.45,568.9,799.0,2078.95,522.7,183.0,1134.8,1824.15,4206.55,166.55,729.9,962.25,266.35,187.8,619.5,478.8,1294.6,762.15,260.75,2655.35,258.65,203.65,2088.3,131.25,390.6,400.55,453.5,656.1,1546.05,1590.85,2429.35,329.9,330.5,526.15,468.5,,435.75,637.2,379.1,972.6,1703.85,2796.05,
2011-01-13,637.55,453.55,3414.3,4550.8,686.5,1015.35,1830.35,483.1,1236.7,1124.25,2560.7,3762.4,189.0,737.7,1315.55,1201.5,173.05,1002.7,406.65,1748.25,1026.0,234.0,,310.35,173.15,,234.25,302.2,464.75,2143.0,667.35,1642.2,1169.05,2464.0,344.5,310.45,597.9,372.0,,432.75,640.1,346.65,1265.45,1286.55,2713.75,
2011-01-14,622.45,463.1,3409.65,4576.8,677.65,1001.5,1813.95,474.8,1182.4,1120.15,2500.8,3725.5,186.45,739.55,1269.7,1179.05,171.6,969.55,397.7,1710.05,1009.2,228.7,,309.8,170.55,,230.0,302.55,470.6,2049.55,641.75,1651.45,1161.0,2457.65,339.5,310.5,593.85,368.3,,423.9,633.0,343.75,1201.6,1246.8,2725.9,
2011-01-17,625.65,466.75,3425.35,4566.95,691.6,997.9,1781.0,465.4,1178.85,1137.4,2516.2,3684.65,187.05,737.65,1269.6,1170.1,173.5,975.3,403.8,1679.7,1001.15,226.8,,314.25,171.95,,224.85,301.65,476.4,2068.1,663.65,1640.7,1148.8,2445.0,346.8,313.15,585.6,354.9,,413.45,634.05,348.5,1229.0,1268.4,2662.85,
2011-01-18,632.6,478.55,3482.15,4504.55,693.0,994.85,1779.95,484.35,1199.55,1202.55,2554.55,3649.1,188.6,746.4,1277.6,1170.45,170.15,1015.45,405.2,1684.0,1011.45,236.9,,314.0,176.15,,229.45,301.85,488.75,2109.35,658.35,1671.65,1131.05,2419.8,354.6,311.15,589.4,355.95,,433.8,651.5,344.4,1278.25,1294.7,2654.75,
2011-01-19,639.6,476.1,3454.7,4629.1,689.45,980.15,1788.7,484.45,1192.75,1193.0,2501.75,3650.65,187.15,750.85,1272.7,1158.85,163.75,1052.95,413.7,1651.5,1023.25,234.0,,313.65,175.45,,235.6,299.65,508.05,2075.45,653.1,1657.85,1118.35,2410.15,351.55,309.4,584.3,354.3,,435.45,630.95,344.45,1280.1,1321.8,2668.35,
2011-01-20,634.2,477.5,3487.15,4514.6,695.7,969.85,1774.1,488.4,1194.7,1212.2,2535.05,3683.8,188.6,760.3,1259.25,1134.3,159.75,1043.3,418.9,1656.15,1050.55,240.3,,312.95,171.65,,236.5,299.9,510.85,2117.55,660.6,1666.25,1097.65,2436.85,351.35,315.7,575.5,388.15,,429.6,622.35,340.3,1285.1,1300.2,2674.3,
2011-01-21,629.55,455.95,3506.35,4383.3,690.45,986.8,1763.5,485.35,1187.4,1211.65,2596.9,3610.35,189.95,770.2,1248.65,1105.55,155.75,1012.95,413.6,1649.45,1065.55,232.05,,327.8,168.9,,234.45,298.2,499.55,2094.15,651.2,1651.95,1085.2,2411.5,354.0,314.15,590.9,372.85,,424.7,629.35,336.05,1287.05,1313.3,2663.5,
