address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Elsham Road, Holland Park, London, W14",W14,3879,895,Short term,Ask agent,Ask agent,Flat,1,1,742 sq ft,0.4,3
"The Grange, East Finchley, London, N2",,2175,2510,Long term,Part furnished,Ask agent,Flat,2,1,696 sq ft,0.9,3
"The Grange, East Finchley, London, N2",,3900,900,Short term,Ask agent,Ask agent,Flat,2,1,696 sq ft,0.9,3
"Thornes House, London, SW11",SW11,6873,0,Long term,Furnished,Ask agent,Flat,3,2,"1,123 sq ft",0.4,3
"Thornes House, London, SW11",SW11,4290,0,Long term,Furnished,Ask agent,Flat,2,2,864 sq ft,0.4,3
"Visage Apartments, Winchester Road, Swiss Cottage, NW3",NW3,3250,0,Long term,Furnished,Ask agent,Apartment,2,2,950 sq ft,0.3,3
"Welbeck Street, London, W1G",W1G,2535,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Crawford Street, London, W1H",W1H,2297,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Marble Arch Apartments, Harrowby Street, London, W1H",W1H,2427,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Alma Square, London, NW8",NW8,2492,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Camden Road , Islington N7",,1668,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Buckingham Palace Road, London, SW1W",SW1W,7150,9900,Long term,Furnished,Ask agent,Apartment,3,2,Ask agent,0.4,3
"Forum Magnum Square, Waterloo, London, SE1",SE1,3463,3995,Long term,Part furnished,Ask agent,Flat,2,2,712 sq ft,0.3,3
"Station Road, New Barnet, Barnet, EN5",EN5,2700,700,Short term,Ask agent,Ask agent,Flat,1,1,360 sq ft,0.6,3
"Station Road, New Barnet, Barnet, EN5",EN5,1700,1962,Long term,Unfurnished,Ask agent,Flat,1,1,360 sq ft,0.6,3
"Harrowby Street, Marylebone, London, W1H",W1H,5200,6000,Long term,Unfurnished,Ask agent,Flat,3,3,"1,399 sq ft",0.3,3
"Great Cumberland Place, Marylebone, London, W1H",W1H,3502,4040,Long term,Part furnished,Ask agent,Flat,3,1,968 sq ft,0.3,3
"Jermyn Street, Piccadilly Circus, London, SW1Y",SW1Y,1950,2250,Long term,Furnished,Ask agent,Studio,,1,358 sq ft,0.3,3
"Blackfriars Road, Southwark, London, SE1",SE1,3640,4200,Long term,Furnished,Ask agent,Flat,2,2,853 sq ft,0.3,3
"Merrick Road, Southall, UB2",UB2,1550,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,1.2,3
"Clarendon Court, Maida Vale, Maida Vale, W9",,3033,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,2,Ask agent,0.4,3
"Ifield Road, Chelsea, London, SW10",SW10,4117,4750,Long term,Furnished,Ask agent,Flat,2,2,944 sq ft,0.5,3
"Clarendon Court, Maida Vale, Maida Vale, W9",,3250,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.4,3
"Lawn Gardens, Ealing, London, W7",,3700,4270,Long term,Unfurnished,Ask agent,Semi-Detached,3,1,Ask agent,0.6,3
"Lakeside Drive, Park Royal, London, NW10",NW10,2300,700,Short term,Ask agent,Ask agent,Flat,2,1,Ask agent,0.5,3
"Lakeside Drive, Park Royal, London, NW10",NW10,2300,2654,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.5,3
"Lapis Close, Ealing",,2197,0,Long term,Ask agent,Ask agent,Flat,2,1,Ask agent,0.5,3
"Duncan House, Pimlico, SW1",SW1,2403,2772,Long term,Furnished,Ask agent,Apartment,1,1,401 sq ft,0.5,3
"WAVENDON AVENUE, Chiswick, London, W4",,8502,9808,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,4,3,"2,021 sq ft",0.5,3
"New Globe Walk, South Bank",,3250,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.4,3
"Parliament View, 1 Albert Embankment",,3597,4125,Long term,Furnished,Ask agent,Flat,2,2,768 sq ft,0.5,3
"Duncan House, Pimlico, SW1",SW1,3135,3617,Long term,Furnished,Ask agent,Apartment,1,1,550 sq ft,0.5,3
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1523,1758,Long term,Furnished,Ask agent,Studio,,1,100 sq ft,0.5,3
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1472,1699,Long term,Furnished,Ask agent,Studio,,1,100 sq ft,0.5,3
"Dandi Brondesbury, Brondesbury, London, NW2",NW2,1460,1685,Long term,Furnished,Ask agent,Studio,,1,100 sq ft,0.5,3
"Ebury Square, Belgravia, London, SW1W",SW1W,2557,2950,Long term,Unfurnished,Ask agent,Flat,,1,Ask agent,0.4,3
"Duncan House, Pimlico, SW1",SW1,3135,3617,Long term,Furnished,Ask agent,Apartment,2,1,551 sq ft,0.4,3
"Prince of Wales Drive, Prince of Wales Drive, London, SW11",SW11,2200,2539,Long term,Part furnished,Ask agent,Flat,1,1,608 sq ft,0.2,3
"Waldegrave Road, Teddington",,2595,0,Long term,Unfurnished,Ask agent,Flat,3,2,"1,119 sq ft",0.5,3
"Gloucester Road, Kensington, SW7",SW7,2350,0,Long term,Furnished,Ask agent,Flat,1,1,377 sq ft,0.3,3
"Clarendon Gardens, HA9",HA9,3500,0,Long term,Part furnished,Ask agent,Semi-Detached,6,3,Ask agent,0.5,3
"Beckford Close, Kensington",,3358,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,2,Ask agent,0.4,3
"Ashwell House, Merrick Road, Southall, UB2",UB2,1900,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,2,Ask agent,1.2,3
"Elgin Avenue, Maida Vale, W9",W9,2000,0,Long term,Part furnished,Ask agent,Flat,1,1,406 sq ft,0.4,3
"Duncan House, London, SW1V",SW1V,5308,6124,Long term,Furnished,Ask agent,Apartment,3,2,880 sq ft,0.4,3
"Carlyle Court, Chelsea Harbour",,4312,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.6,3
"Curzon Street, London",,3497,4035,Long term,Furnished,Ask agent,Flat,1,1,526 sq ft,0.4,3
"Coster Avenue, London, N4",N4,3380,0,Long term,Furnished,Ask agent,Flat,2,,987 sq ft,0.4,3
"Richmond Way, Shepherds Bush",,5200,0,Long term,Ask agent,Ask agent,Flat,5,3,Ask agent,0.3,3
"Trelawney House, Union Street London SE1",SE1,2200,0,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.3,3
Crouch Hall Road London N8,,2200,2538,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.8,3
"Tabernacle Street, Old Street London EC2A",EC21,2025,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Ospringe House, Wootton Street London SE1",SE1,1950,0,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.2,3
"Hayles Street, London",,4000,4615,Long term,Part furnished,Ask agent,House,4,1,Ask agent,0.2,3
"Elgood House, 
Wellington Road, NW8",NW8,2850,3288,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,1,Ask agent,0.4,3
"Luke Street, Shoreditch, London, EC2A",EC2A,2200,2538,Long term,Unfurnished,Ask agent,Apartment,1,1,525-530 sq ft,0.3,3
"Stokenchurch Street, Fulham",,10833,12500,Long term,Ask agent,Ask agent,House,5,4,Ask agent,0.4,3
"Ashley Road, London, N17",N17,1900,2192,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"Palmer Road, London, SW11",SW11,4225,0,Long term,Furnished,Ask agent,Flat,2,2,855 sq ft,0.2,3
"Lockgate Road, Imperial Wharf, SW6",SW6,2700,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"South Western Road, Twickenham, TW1",TW1,2950,3403,Long term,Unfurnished,Ask agent,House,3,2,Ask agent,0.6,3
"Grange Grove, London",,2499,2884,,Furnished,Ask agent,Ground Flat,2,1,Ask agent,0.3,3
The Dumont,,2899,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Fulham Park Gardens, 
Parsons Green, SW6",SW6,5300,7338,Long term,Unfurnished,Ask agent,Maisonette,3,2,"1,464 sq ft",0.5,3
"Lords View, St Johns Wood Road, NW8",NW8,2200,2538,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.6,3
"Elmfield Way, London",,2300,2654,,Furnished,Ask agent,Apartment,3,1,787 sq ft,0.4,3
Station Road New Barnet,,1700,0,,Unfurnished,Ask agent,Flat,1,1,549 sq ft,0.6,3
"Wales Farm Road, London",,2900,0,Long term,Ask agent,Ask agent,House,3,2,Ask agent,0.5,3
"Glebe Road, UXBRIDGE, Greater London",,1900,2192,Long term,Furnished,Ask agent,Semi-Detached,4,1,Ask agent,1.5,3
"Maidstone Buildings Mews, Borough",,4996,0,Short term,Furnished,Ask agent,Flat,2,1,Ask agent,0.3,3
"Southwark Bridge Road, Southwark Bridge Road",,4000,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.1,3
"Double En-Suite, London, N4",,1500,1500,Long term,Furnished,Ask agent,House Share,1,20,Ask agent,0.4,3
"Hatfield Rd, St Albans, AL1",AL1,1149,1326,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1,Ask agent,1.2,3
"Southgate, London, N14",N14,1378,1590,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.7,3
"Kingsley Avenue, Hounslow",,1400,0,Long term,Ask agent,Ask agent,Flat,1,1,Ask agent,0.4,3
"Great Cambridge Road, London, N18",N18,1350,1350,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1,Ask agent,0.9,3
"Highview Gardens, London, N11",N11,2200,2538,Long term,Unfurnished,Ask agent,Maisonette,3,2,Ask agent,0.4,3
"Hounslow, Hounslow, TW3",TW3,1400,1400,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.6,3
"Northolme Road, Highbury N5",,1712,0,,Ask agent,Ask agent,Flat,1,,Ask agent,0.6,3
"Whitehall, London, SW1A",SW1A,3467,4000,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"Watford, Watford, WD19",WD19,2700,2700,Long term,Unfurnished,Ask agent,Bungalow,4,2,Ask agent,1,3
"Kingsland Road, London, E8",,1600,1800,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.4,3
"Station Road, Langley, Slough, SL3",SL3,1500,1731,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,1.3,3
"Chancery Lane, London, WC2A 1LG, UK",,4140,0,,Furnished,Ask agent,Apartment,1,1,410 sq ft,0.3,3
"Newfield Rise, London, NW2",NW2,1395,1395,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.9,3
"Emerson Apartments, New River Village, Hornsey, N8",,1475,1701,Long term,Unfurnished,Ask agent,Studio,,1,360 sq ft,0.5,3
"Petersham Road, Richmond",,1750,2019,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.7,3
Mapesbury Road NW2,,3500,4038,Long term,Unfurnished,Ask agent,Flat,3,2,"1,151 sq ft",0.4,3
Harbut Road London SW11,,4750,0,Long term,Part furnished,Ask agent,House,4,2,Ask agent,0.6,3
"Chiswick Village, London, W4",,2500,2880,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3,,Ask agent,0.5,3
"Union Street, London Bridge",,1972,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"Denbigh Street, Pimlico",,2700,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
Prince of Wales Terrace W8,,17333,0,Long term,Furnished,Ask agent,Apartment,3,3,"1,181 sq ft",0.5,3
"Jamestown Road, Camden Town",,2999,0,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Oakley Street, London, SW3",SW3,2450,2450,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.8,3
"R5 / 45 Ashford Road, Ashford, TW15",TW15,930,930,Long term,Furnished,Ask agent,House Share,1,1,Ask agent,1.2,3
"Doulton House, SW6",SW6,3033,3500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,2,Ask agent,0.5,3
be:here Hayes,,1185,0,Long term,Furnished,Ask agent,Apartment,1,1,560 sq ft,1.4,3
Methuen Park Muswell Hill N10,,2300,0,Long term,Part furnished,Ask agent,Flat,2,1,Ask agent,1.1,3
Annex Available in Slough,,1200,1625,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,1.8,3
"Keystone Crescent, King's Cross",,3150,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,1,Ask agent,0.2,3
"Southampton Row, London, WC1B",WC1B,8000,11076,Long term,Furnished,Ask agent,Apartment,3,3,Ask agent,0.3,3
"Baltic Avenue, Brentford",,2200,2538,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,1,861 sq ft,0.6,3
"Archway Road, London, N6",,2799,3230,Long term,Unfurnished,Ask agent,Terraced,2,2,Ask agent,0.7,3
"The Avenue, Hatch End",,1675,1932,Long term,Unfurnished,Ask agent,Apartment,2,2,Ask agent,0.7,3
"Lower Clapton Road, CLAPTON, E5",,1650,1903,,Unfurnished,Ask agent,Apartment,1,1,Ask agent,0.5,3
"Brecon Lodge, Porters Way, West Drayton, UB7",UB7,1450,1673,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,1.4,3
"Hamilton Terrace, London, NW8",NW8,52000,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Detached,4,2,"4,501 sq ft",0.4,3
"Alder House, 2 Electric Boulevard, Battersea, SW11",SW11,8880,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3,3,Ask agent,0.2,3
"Luke Street, London, EC2A",EC2A,2201,0,Long term,Unfurnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Park Road, Marylebone, NW1",NW1,2500,2884,Long term,Part furnished,Ask agent,Apartment,2,1,710 sq ft,0.4,3
"Pavilion Road, Knightsbridge, London",,14950,0,Long term,Unfurnished,Ask agent,Terraced,4,3,Ask agent,0.4,3
"Cornwall Gardens, London, SW7",SW7,5499,0,Long term,Unfurnished,Ask agent,Flat,3,2,Ask agent,0.4,3
"Novello Street, SW6",SW6,7000,8076,Long term,Unfurnished,Ask agent,Terraced,5,4,"1,915 sq ft",0.4,3
"Iris House, 2 Cedrus Avenue, SOUTHALL, UB1",UB1,1450,1673,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,1.3,3
"York Way, London, N1",,4465,4465,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,2,Ask agent,0.7,3
"Georges Wood Road, Brookmans Park, Hertfordshire, AL9",AL9,2350,2653,Long term,Unfurnished,Ask agent,Apartment,3,2,Ask agent,1.5,3
"Ballards Lane, London",,1400,0,Long term,Unfurnished,Ask agent,,,1,Ask agent,0.7,3
"Minories, 
Minories, EC3N",EC3N,4500,5192,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.2,3
"Affinity House, Beresford Avenue, HA0",HA0,2500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,2,Ask agent,0.6,3
"Dukes Wood Drive, Gerrards Cross, SL9",SL9,4990,0,Long term,Unfurnished,Ask agent,Detached,5,3,Ask agent,1.8,3
"New Union Square, London, SW11",SW11,4247,0,Long term,Furnished,Ask agent,Flat,2,2,947 sq ft,0.4,3
"Beech Hill Avenue, Hadley Wood, Hertfordshire, EN4",EN4,3500,0,Long term,Unfurnished,Ask agent,Apartment,3,3,Ask agent,0.9,3
"Bankside Down, Old Chorleywood Road, Rickmansworth, Hertfordshire, WD3",WD3,2500,0,Short term,Unfurnished,Ask agent,Semi-Detached,3,2,Ask agent,1.1,3
"Whitefield Close, Putney, London",,2000,2192,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.5,3
"Collingham Road, London, SW5",SW5,2652,0,,Furnished,Ask agent,Flat,1,1,35 sq ft,0.4,3
"Tantallon Road, London, SW12",SW12,3000,3461,Long term,Part furnished,Ask agent,Apartment,2,1,Ask agent,0.4,3
"St. Johns Wood Road, St. Johns Wood, NW8",NW8,2300,2653,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.5,3
"Cotswold Gardens, London",,2535,0,Long term,Unfurnished,Ask agent,Semi-Detached,4,1,Ask agent,0.8,3
"One Blackfriars, Southwark, London SE1",,4117,4750,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Halkin Street, Belgravia",,13628,18870,Long term,Furnished,Ask agent,Flat,3,2,"2,046 sq ft",0.3,3
Chesfield Road Kingston upon Thames KT2,,3790,4373,Long term,Unfurnished,Ask agent,Detached,3,2,Ask agent,0.7,3
Dorset Mews London SW1X,,23833,27500,Long term,Furnished,Ask agent,Town House,3,3,Ask agent,0.4,3
"Westbourne Park Road, 
Westbourne Park, W11",W11,2650,3058,Long term,Part furnished,Ask agent,Flat,1,1,793 sq ft,0.4,3
"Queens Gate, 
South Kensington, SW7",SW7,3000,3462,Long term,Part furnished,Ask agent,Flat,1,1,690 sq ft,0.4,3
"Legacy Building, Embassy Gardens, Nine Elms SW11",,3683,4250,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Commercial Street, Spitlafields",,4000,0,Long term,Ask agent,Ask agent,Flat,2,2,Ask agent,0.3,3
"Whippendell Road, Watford, WD18",WD18,930,1073,Long term,Furnished,Ask agent,House Share,1,1,Ask agent,0.9,3
"Redington Road, Hampstead NW3",,3878,0,Long term,Ask agent,Ask agent,Flat,3,2,Ask agent,0.4,3
"Riverside Road, St. Albans",,1350,0,Long term,Unfurnished,Ask agent,Apartment,2,1,Ask agent,0.7,3
"Westworth House, The Kingsley, Hammersmith W6",,2015,2325,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.2,3
"Gerrards Cross Road, Stoke Poges, SL2",SL2,4500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Detached,5,3,Ask agent,3,3
"Abbey Orchard Street, London, SW1P",SW1P,4745,0,Long term,Furnished,Ask agent,Flat,2,2,957 sq ft,0.3,3
"Mercantile House  38, UXBRIDGE, Middlesex",,1195,1379,Long term,Ask agent,Ask agent,Apartment,,1,Ask agent,1.2,3
"Dorset House, 
Gloucester Place, NW1",NW1,7000,9692,Long term,Furnished,Ask agent,Flat,3,2,Ask agent,0.2,3
"Parkhurst Court, London, N7",,2950,2950,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3,1,Ask agent,0.5,3
"The Tower, St George's Wharf, London, SW8",SW8,6500,0,Long term,Furnished,Ask agent,Apartment,3,2,Ask agent,0.3,3
"Acton Lane, London, W4",,1798,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.4,3
"John Archer Way, London",,2000,2307,Long term,Ask agent,Ask agent,Apartment,2,2,625 sq ft,0.7,3
DAMAC TOWER 71 Bondway,,4500,5538,Long term,Furnished,Ask agent,Flat,2,,Ask agent,0.3,3
"Mercantile House 38 Market, Uxbridge",,1176,1357,Long term,Furnished,Ask agent,Studio,,1,Ask agent,1.1,3
"Hill Rise, Greenford",,1800,1800,Long term,Unfurnished,Ask agent,Ground Flat,2,1,Ask agent,0.6,3
"Abbey Orchard Street, London, SW1P",SW1P,4550,0,Long term,Furnished,Ask agent,Flat,2,2,957 sq ft,0.3,3
"Mercantile House 38 M, UXBRIDGE, Middlesex",,1230,1347,Long term,Furnished,Ask agent,Studio,,1,Ask agent,1.2,3
"Printworks, Amelia Street, SE17",SE17,1842,2375,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Cornwall Gardens, South Kensington",,2999,0,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Mulberry Close, New Barnet, Hertfordshire, EN4",EN4,2300,0,Long term,Ask agent,Ask agent,Terraced,2,1,Ask agent,0.6,3
"Hampton House, Kings Road Park, 2 Michael Road, Fulham, SW6",SW6,2817,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Cassini Apartments, Cascade Way, W12",W12,3800,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"High Street, London, N8",,2300,2653,Long term,Unfurnished,Ask agent,Apartment,2,2,708 sq ft,0.5,3
Glenhurst Road London N12,,1900,0,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.9,3
"Speart Lane, Hounslow",,2800,2800,Long term,Ask agent,Ask agent,Detached,3,1,Ask agent,1.1,3
"Mercantile House  38, UXBRIDGE, Middlesex",,1220,1408,Long term,Furnished,Ask agent,Studio,,1,Ask agent,1.2,3
"Randolph Avenue, London",,2851,3288,Long term,Part furnished,Ask agent,Apartment,2,1,Ask agent,0.3,3
"Saxon House, 1 Thrawl Street, London, E1",,2920,3369,Long term,Part furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Kenilworth Gardens, Staines, Surrey, TW18",TW18,1650,0,Long term,Ask agent,Ask agent,End of Terrace,2,,Ask agent,1.4,3
"Moore House, Grosvenor Waterside, 2 Gatliff Road, London, SW1W",SW1W,4199,5814,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,2,871 sq ft,0.5,3
"Bracewell Road, London, UK, W10",W10,2600,0,Long term,Unfurnished,Ask agent,Apartment,2,2,Ask agent,0.6,3
"Church Lane, EN6",EN6,1495,0,,Furnished,Ask agent,Cottage,2,,Ask agent,2,3
"Grenan Square, Greenford, Middlesex, UB6",UB6,1782,0,Long term,Furnished,Ask agent,Apartment,1,1,586 sq ft,0.6,3
"Baltic Avenue, Brentford , TW8",TW8,3250,0,Long term,Unfurnished,Ask agent,Apartment,3,3,Ask agent,0.6,3
"St Johns Court Finchley Road, NW3",NW3,1950,2250,Long term,Part furnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"Newstead Court, Byron Way, Northolt, Middlesex, UB5",UB5,1695,0,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,1.7,3
"Elder House, Water Lane, Kingston upon Thames, KT1",KT1,1750,2019,Long term,Unfurnished,Ask agent,Apartment,1,1,582 sq ft,0.5,3
