"Ticker","Name","Industry","Sub-Industry","Headquarters Location","Date added"
"APH","Amphenol","Information Technology","Electronic Components","Wallingford, Connecticut","9/30/2008"
"APTV","Aptiv","Consumer Discretionary","Auto Parts & Equipment","Dublin, Ireland","12/24/2012"
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","Pasadena, California","3/20/2017"
"ATO","Atmos Energy","Utilities","Gas Utilities","Dallas, Texas","2/15/2019"
"ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment","Santa Monica, California","8/31/2015"
"AVB","AvalonBay Communities","Real Estate","Residential REITs","Arlington, Virginia","1/10/2007"
"AVGO","Broadcom Inc.","Information Technology","Semiconductors","San Jose, California","5/8/2014"
"AVY","Avery Dennison","Materials","Paper Packaging","Glendale, California","12/31/1987"
"AWK","American Water Works","Utilities","Water Utilities","Camden, New Jersey","3/4/2016"
"AXP","American Express","Financials","Consumer Finance","New York City, New York","6/30/1976"
"AZO","AutoZone","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","1/2/1997"
"BA","Boeing","Industrials","Aerospace & Defense","Chicago, Illinois","3/4/1957"
"BAC","Bank of America","Financials","Diversified Banks","Charlotte, North Carolina","6/30/1976"
"BALL","Ball Corporation","Materials","Metal & Glass Containers","Broomfield, Colorado","10/31/1984"
"BAX","Baxter International","Health Care","Health Care Equipment","Deerfield, Illinois","9/30/1972"
"BBWI","Bath & Body Works, Inc.","Consumer Discretionary","Specialty Stores","Columbus, Ohio","9/30/1983"
"BBY","Best Buy","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","6/29/1999"
"BDX","Becton Dickinson","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","9/30/1972"
"BEN","Franklin Templeton","Financials","Asset Management & Custody Banks","San Mateo, California",""
"BF.B","Brown–Forman","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","10/31/1982"
"BIIB","Biogen","Health Care","Biotechnology","Cambridge, Massachusetts","11/13/2003"
"BIO","Bio-Rad","Health Care","Life Sciences Tools & Services","Hercules, California","6/22/2020"
"BK","BNY Mellon","Financials","Asset Management & Custody Banks","New York City, New York","3/31/1995"
"BKNG","Booking Holdings","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","11/6/2009"
"BKR","Baker Hughes","Energy","Oil & Gas Equipment & Services","Houston, Texas","7/7/2017"
"BLK","BlackRock","Financials","Asset Management & Custody Banks","New York City, New York","4/4/2011"
"BMY","Bristol Myers Squibb","Health Care","Pharmaceuticals","New York City, New York","3/4/1957"
"BR","Broadridge Financial Solutions","Information Technology","Data Processing & Outsourced Services","Lake Success, New York","6/18/2018"
"BRK.B","Berkshire Hathaway","Financials","Multi-Sector Holdings","Omaha, Nebraska","2/16/2010"
"BRO","Brown & Brown","Financials","Insurance Brokers","Daytona Beach, Florida","9/20/2021"
"BSX","Boston Scientific","Health Care","Health Care Equipment","Marlborough, Massachusetts","2/24/1995"
"BWA","BorgWarner","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","12/19/2011"
"BXP","Boston Properties","Real Estate","Office REITs","Boston, Massachusetts","4/3/2006"
"C","Citigroup","Financials","Diversified Banks","New York City, New York","5/31/1988"
"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","8/31/1983"
"CAH","Cardinal Health","Health Care","Health Care Distributors","Dublin, Ohio","5/27/1997"
"CARR","Carrier Global","Industrials","Building Products","Palm Beach Gardens, Florida","4/3/2020"
"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks","Irving, Texas","3/4/1957"
"CB","Chubb Limited","Financials","Property & Casualty Insurance","Zurich, Switzerland","7/15/2010"
"CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","Chicago, Illinois","3/1/2017"
"CBRE","CBRE Group","Real Estate","Real Estate Services","Dallas, Texas","11/10/2006"
"CCI","Crown Castle","Real Estate","Specialized REITs","Houston, Texas","3/14/2012"
"CCL","Carnival","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","12/22/1998"
"CDAY","Ceridian","Information Technology","Application Software","Minneapolis, Minnesota","9/20/2021"
"CDNS","Cadence Design Systems","Information Technology","Application Software","San Jose, California","9/18/2017"
"CDW","CDW","Information Technology","Technology Distributors","Lincolnshire, Illinois","9/23/2019"
"CE","Celanese","Materials","Specialty Chemicals","Irving, Texas","12/24/2018"
"CEG","Constellation Energy","Utilities","Multi-Utilities","Baltimore, Maryland","2/2/2022"
"CF","CF Industries","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","8/27/2008"
"CFG","Citizens Financial Group","Financials","Regional Banks","Providence, Rhode Island","1/29/2016"
"CHD","Church & Dwight","Consumer Staples","Household Products","Ewing, New Jersey","12/29/2015"
"CHRW","C.H. Robinson","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","3/2/2007"
"CHTR","Charter Communications","Communication Services","Cable & Satellite","Stamford, Connecticut","9/8/2016"
"CI","Cigna","Health Care","Managed Health Care","Bloomfield, Connecticut","6/30/1976"
"CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","Fairfield, Ohio","12/18/1997"
"CL","Colgate-Palmolive","Consumer Staples","Household Products","New York City, New York","3/4/1957"
"CLX","Clorox","Consumer Staples","Household Products","Oakland, California","3/31/1969"
"CMA","Comerica","Financials","Diversified Banks","Dallas, Texas","12/1/1995"
"CMCSA","Comcast","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","11/19/2002"
"CME","CME Group","Financials","Financial Exchanges & Data","Chicago, Illinois","8/11/2006"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","Newport Beach, California","4/28/2011"
"CMI","Cummins","Industrials","Industrial Machinery","Columbus, Indiana","3/31/1965"
"CMS","CMS Energy","Utilities","Multi-Utilities","Jackson, Michigan","5/3/1999"
"CNC","Centene Corporation","Health Care","Managed Health Care","St. Louis, Missouri","3/30/2016"
"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Houston, Texas","7/31/1985"
"COF","Capital One","Financials","Consumer Finance","Tysons Corner, Virginia","7/1/1998"
"COO","CooperCompanies","Health Care","Health Care Supplies","San Ramon, California","9/23/2016"
"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston, Texas","3/4/1957"
"COST","Costco","Consumer Staples","Hypermarkets & Super Centers","Issaquah, Washington","10/1/1993"
"CPB","Campbell Soup Company","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","3/4/1957"
"CPRT","Copart","Industrials","Diversified Support Services","Dallas, Texas","7/2/2018"
"CPT","Camden Property Trust","Real Estate","Residential REITs","Houston, Texas","4/4/2022"
"CRL","Charles River Laboratories","Health Care","Life Sciences Tools & Services","Wilmington, Massachusetts","5/14/2021"
"CRM","Salesforce","Information Technology","Application Software","San Francisco, California","9/15/2008"
"CSCO","Cisco","Information Technology","Communications Equipment","San Jose, California","12/1/1993"
"CSGP","CoStar Group","Industrials","Research & Consulting Services","Washington, D.C.","9/19/2022"
"CSX","CSX","Industrials","Railroads","Jacksonville, Florida","9/30/1967"
"CTAS","Cintas","Industrials","Diversified Support Services","Mason, Ohio","3/1/2001"
"CTLT","Catalent","Health Care","Pharmaceuticals","Somerset, New Jersey","9/21/2020"
"CTRA","Coterra","Energy","Oil & Gas Exploration & Production","Houston, Texas","6/23/2008"
"CTSH","Cognizant","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","11/17/2006"
"CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals","Indianapolis, Indiana","6/3/2019"
"CVS","CVS Health","Health Care","Health Care Services","Woonsocket, Rhode Island","3/4/1957"
"CVX","Chevron Corporation","Energy","Integrated Oil & Gas","San Ramon, California","3/4/1957"
"CZR","Caesars Entertainment","Consumer Discretionary","Casinos & Gaming","Reno, Nevada","3/22/2021"
"D","Dominion Energy","Utilities","Electric Utilities","Richmond, Virginia",""
"DAL","Delta Air Lines","Industrials","Airlines","Atlanta, Georgia","9/11/2013"
"DD","DuPont","Materials","Specialty Chemicals","Wilmington, Delaware","4/2/2019"
"DE","John Deere","Industrials","Agricultural & Farm Machinery","Moline, Illinois","3/4/1957"
"DFS","Discover Financial","Financials","Consumer Finance","Riverwoods, Illinois","7/2/2007"
"DG","Dollar General","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","12/3/2012"
"DGX","Quest Diagnostics","Health Care","Health Care Services","Secaucus, New Jersey","12/12/2002"
"DHI","D.R. Horton","Consumer Discretionary","Homebuilding","Arlington, Texas","6/22/2005"
"DHR","Danaher Corporation","Health Care","Health Care Equipment","Washington, D.C.",""
"DIS","Disney","Communication Services","Movies & Entertainment","Burbank, California","6/30/1976"
"DISH","Dish Network","Communication Services","Cable & Satellite","Meridian, Colorado","3/13/2017"
"DLR","Digital Realty","Real Estate","Specialized REITs","Austin, Texas","5/18/2016"
"DLTR","Dollar Tree","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","12/19/2011"
"DOV","Dover Corporation","Industrials","Industrial Machinery","Downers Grove, Illinois","10/31/1985"
"DOW","Dow Inc.","Materials","Commodity Chemicals","Midland, Michigan","4/1/2019"
"DPZ","Domino's","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","5/12/2020"
"DRI","Darden Restaurants","Consumer Discretionary","Restaurants","Orlando, Florida",""
"DTE","DTE Energy","Utilities","Multi-Utilities","Detroit, Michigan","3/4/1957"
"DUK","Duke Energy","Utilities","Electric Utilities","Charlotte, North Carolina","6/30/1976"
"DVA","DaVita Inc.","Health Care","Health Care Facilities","Denver, Colorado","7/31/2008"
"DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","8/30/2000"
"DXC","DXC Technology","Information Technology","IT Consulting & Other Services","Tysons Corner, Virginia","4/4/2017"
"DXCM","Dexcom","Health Care","Health Care Equipment","San Diego, California","5/12/2020"
"EA","Electronic Arts","Communication Services","Interactive Home Entertainment","Redwood City, California","7/22/2002"
"EBAY","eBay","Consumer Discretionary","Internet & Direct Marketing Retail","San Jose, California","7/22/2002"
"ECL","Ecolab","Materials","Specialty Chemicals","Saint Paul, Minnesota","1/31/1989"
"ED","Consolidated Edison","Utilities","Electric Utilities","New York City, New York",""
"EFX","Equifax","Industrials","Research & Consulting Services","Atlanta, Georgia","6/19/1997"
"EIX","Edison International","Utilities","Electric Utilities","Rosemead, California","3/4/1957"
"EL","The Estée Lauder Companies","Consumer Staples","Personal Products","New York City, New York","1/5/2006"
"ELV","Elevance Health","Health Care","Managed Health Care","Indianapolis, Indiana","7/25/2002"
"EMN","Eastman Chemical Company","Materials","Diversified Chemicals","Kingsport, Tennessee","1/1/1994"
"EMR","Emerson Electric","Industrials","Electrical Components & Equipment","Ferguson, Missouri","3/31/1965"
"ENPH","Enphase","Information Technology","Electronic Components","Fremont, California","1/7/2021"
"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Houston, Texas","11/2/2000"
"EPAM","EPAM Systems","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","12/14/2021"
"EQIX","Equinix","Real Estate","Specialized REITs","Redwood City, California","3/20/2015"
"EQR","Equity Residential","Real Estate","Residential REITs","Chicago, Illinois","12/3/2001"
"EQT","EQT","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","10/3/2022"
"ES","Eversource","Utilities","Multi-Utilities","Hartford, Connecticut","2009"
"ESS","Essex Property Trust","Real Estate","Residential REITs","San Mateo, California","4/2/2014"
"ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","Dublin, Ireland",""
"ETR","Entergy","Utilities","Electric Utilities","New Orleans, Louisiana","3/4/1957"
"ETSY","Etsy","Consumer Discretionary","Internet & Direct Marketing Retail","New York City, New York","9/21/2020"
"EVRG","Evergy","Utilities","Electric Utilities","Kansas City, Missouri","6/5/2018"
"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Irvine, California","4/1/2011"
"EXC","Exelon","Utilities","Multi-Utilities","Chicago, Illinois","3/4/1957"
"EXPD","Expeditors International","Industrials","Air Freight & Logistics","Seattle, Washington","10/10/2007"
"EXPE","Expedia Group","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","10/2/2007"
"EXR","Extra Space Storage","Real Estate","Specialized REITs","Salt Lake City, Utah","1/19/2016"
"F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","3/4/1957"
"FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production","Midland, Texas","12/3/2018"
"FAST","Fastenal","Industrials","Building Products","Winona, Minnesota","9/15/2008"
"FCX","Freeport-McMoRan","Materials","Copper","Phoenix, Arizona",""
"FDS","FactSet","Financials","Financial Exchanges & Data","Norwalk, Connecticut","12/20/2021"
"FDX","FedEx","Industrials","Air Freight & Logistics","Memphis, Tennessee","12/31/1980"
"FE","FirstEnergy","Utilities","Electric Utilities","Akron, Ohio",""
"FFIV","F5, Inc.","Information Technology","Communications Equipment","Seattle, Washington","12/20/2010"
"FIS","FIS","Information Technology","Data Processing & Outsourced Services","Jacksonville, Florida","11/10/2006"
"FISV","Fiserv","Information Technology","Data Processing & Outsourced Services","Brookfield, Wisconsin","4/2/2001"
"FITB","Fifth Third Bank","Financials","Regional Banks","Cincinnati, Ohio",""
"FLT","Fleetcor","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","6/20/2018"
"FMC","FMC Corporation","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","8/19/2009"
"FOX","Fox Corporation (Class B)","Communication Services","Movies & Entertainment","New York City, New York","9/18/2015"
"FOXA","Fox Corporation (Class A)","Communication Services","Movies & Entertainment","New York City, New York","7/1/2013"
"FRC","First Republic Bank","Financials","Regional Banks","San Francisco, California","1/2/2019"
"FRT","Federal Realty","Real Estate","Retail REITs","Rockville, Maryland","2/1/2016"
"FSLR","First Solar","Information Technology","Semiconductors","Tempe, Arizona","12/19/2022"
"FTNT","Fortinet","Information Technology","Systems Software","Sunnyvale, California","10/11/2018"
"FTV","Fortive","Industrials","Industrial Machinery","Everett, Washington","7/1/2016"
"GD","General Dynamics","Industrials","Aerospace & Defense","Falls Church, Virginia","3/4/1957"
"GE","General Electric","Industrials","Industrial Conglomerates","Boston, Massachusetts",""
"GEHC","GE HealthCare","Health Care","Health Care Technology","Chicago, Illinois","1/4/2023"
"GEN","Gen Digital","Information Technology","Application Software","Tempe, Arizona","3/25/2003"
"GILD","Gilead Sciences","Health Care","Biotechnology","Foster City, California","7/1/2004"
"GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","3/31/1969"
"GL","Globe Life","Financials","Life & Health Insurance","McKinney, Texas","4/30/1989"
"GLW","Corning Inc.","Information Technology","Electronic Components","Corning, New York",""
"GM","General Motors","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","6/6/2013"
"GNRC","Generac","Industrials","Electrical Components & Equipment","Waukesha, Wisconsin","3/22/2021"
"GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","Mountain View, California","4/3/2006"
"GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Mountain View, California","4/3/2014"
"GPC","Genuine Parts Company","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","12/31/1973"
"GPN","Global Payments","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","4/25/2016"
"GRMN","Garmin","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","12/12/2012"
"GS","Goldman Sachs","Financials","Investment Banking & Brokerage","New York City, New York","7/22/2002"
"GWW","W. W. Grainger","Industrials","Industrial Machinery","Lake Forest, Illinois","6/30/1981"
"HAL","Halliburton","Energy","Oil & Gas Equipment & Services","Houston, Texas","3/4/1957"
"HAS","Hasbro","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","9/30/1984"
"HBAN","Huntington Bancshares","Financials","Regional Banks","Columbus, Ohio; Detroit, Michigan",""
"HCA","HCA Healthcare","Health Care","Health Care Facilities","Nashville, Tennessee","1/27/2015"
"HD","Home Depot (The)","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","3/31/1988"
"HES","Hess Corporation","Energy","Integrated Oil & Gas","New York City, New York","5/31/1984"
"HIG","Hartford (The)","Financials","Property & Casualty Insurance","Hartford, Connecticut","3/4/1957"
"HII","Huntington Ingalls Industries","Industrials","Aerospace & Defense","Newport News, Virginia","1/3/2018"
"HLT","Hilton Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","6/19/2017"
"HOLX","Hologic","Health Care","Health Care Equipment","Marlborough, Massachusetts","3/30/2016"
"HON","Honeywell","Industrials","Industrial Conglomerates","Charlotte, North Carolina","3/31/1964"
"HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Houston, Texas","11/2/2015"
"HPQ","HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","12/31/1974"
"HRL","Hormel Foods","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","3/4/2009"
"HSIC","Henry Schein","Health Care","Health Care Distributors","Melville, New York","3/17/2015"
"HST","Host Hotels & Resorts","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","3/20/2007"
"HSY","Hershey's","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","3/4/1957"
"HUM","Humana","Health Care","Managed Health Care","Louisville, Kentucky",""
"HWM","Howmet Aerospace","Industrials","Aerospace & Defense","Pittsburgh, Pennsylvania","3/31/1964"
"IBM","IBM","Information Technology","IT Consulting & Other Services","Armonk, New York","3/4/1957"
"ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","Atlanta, Georgia","9/26/2007"
"IDXX","Idexx Laboratories","Health Care","Health Care Equipment","Westbrook, Maine","1/5/2017"
"IEX","IDEX Corporation","Industrials","Industrial Machinery","Lake Forest, Illinois","8/9/2019"
"IFF","International Flavors & Fragrances","Materials","Specialty Chemicals","New York City, New York","3/31/1976"
"ILMN","Illumina","Health Care","Life Sciences Tools & Services","San Diego, California","11/19/2015"
"INCY","Incyte","Health Care","Biotechnology","Wilmington, Delaware","2/28/2017"
"INTC","Intel","Information Technology","Semiconductors","Santa Clara, California","12/31/1976"
"INTU","Intuit","Information Technology","Application Software","Mountain View, California","12/5/2000"
"INVH","Invitation Homes","Real Estate","Residential REITs","Dallas, Texas","9/19/2022"
"IP","International Paper","Materials","Paper Packaging","Memphis, Tennessee","3/4/1957"
"IPG","The Interpublic Group of Companies","Communication Services","Advertising","New York City, New York","10/1/1992"
"IQV","IQVIA","Health Care","Life Sciences Tools & Services","Durham, North Carolina","8/29/2017"
"IR","Ingersoll Rand","Industrials","Industrial Machinery","Davidson, North Carolina","3/3/2020"
"IRM","Iron Mountain","Real Estate","Specialized REITs","Boston, Massachusetts","1/6/2009"
"ISRG","Intuitive Surgical","Health Care","Health Care Equipment","Sunnyvale, California","6/2/2008"
"IT","Gartner","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","4/5/2017"
"ITW","Illinois Tool Works","Industrials","Industrial Machinery","Glenview, Illinois","2/28/1986"
"IVZ","Invesco","Financials","Asset Management & Custody Banks","Atlanta, Georgia","8/21/2008"
"J","Jacobs Solutions","Industrials","Construction & Engineering","Dallas, Texas","10/26/2007"
"JBHT","J.B. Hunt","Industrials","Trucking","Lowell, Arkansas","7/1/2015"
"JCI","Johnson Controls","Industrials","Building Products","Cork, Ireland","8/27/2010"
"JKHY","Jack Henry & Associates","Information Technology","Data Processing & Outsourced Services","Monett, Missouri","11/13/2018"
"JNJ","Johnson & Johnson","Health Care","Pharmaceuticals","New Brunswick, New Jersey","6/30/1973"
"JNPR","Juniper Networks","Information Technology","Communications Equipment","Sunnyvale, California","6/2/2006"
"JPM","JPMorgan Chase","Financials","Diversified Banks","New York City, New York","6/30/1975"
"K","Kellogg's","Consumer Staples","Packaged Foods & Meats","Battle Creek, Michigan","9/11/1989"
"KDP","Keurig Dr Pepper","Consumer Staples","Soft Drinks","Burlington, Massachusetts","6/21/2022"
"KEY","KeyCorp","Financials","Regional Banks","Cleveland, Ohio","3/1/1994"
"KEYS","Keysight","Information Technology","Electronic Equipment & Instruments","Santa Rosa, California","11/6/2018"
"KHC","Kraft Heinz","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois; Pittsburgh, Pennsylvania","7/6/2015"
"KIM","Kimco Realty","Real Estate","Retail REITs","New Hyde Park, New York","4/4/2006"
"KLAC","KLA Corporation","Information Technology","Semiconductor Equipment","Milpitas, California",""
"KMB","Kimberly-Clark","Consumer Staples","Household Products","Irving, Texas","3/4/1957"
"KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Houston, Texas","5/25/2012"
"KMX","CarMax","Consumer Discretionary","Automotive Retail","Richmond, Virginia","6/28/2010"
"KO","The Coca-Cola Company","Consumer Staples","Soft Drinks","Atlanta, Georgia","3/4/1957"
"KR","Kroger","Consumer Staples","Food Retail","Cincinnati, Ohio","3/4/1957"
"L","Loews Corporation","Financials","Multi-line Insurance","New York City, New York",""
"LDOS","Leidos","Industrials","Diversified Support Services","Reston, Virginia","8/9/2019"
"LEN","Lennar","Consumer Discretionary","Homebuilding","Miami, Florida","10/4/2005"
"LH","LabCorp","Health Care","Health Care Services","Burlington, North Carolina","11/1/2004"
"LHX","L3Harris","Industrials","Aerospace & Defense","Melbourne, Florida","9/22/2008"
"LIN","Linde plc","Materials","Industrial Gases","Guildford, United Kingdom","7/1/1992"
"LKQ","LKQ Corporation","Consumer Discretionary","Distributors","Chicago, Illinois","5/23/2016"
"LLY","Eli Lilly and Company","Health Care","Pharmaceuticals","Indianapolis, Indiana","12/31/1970"
"LMT","Lockheed Martin","Industrials","Aerospace & Defense","Bethesda, Maryland","7/31/1984"
"LNC","Lincoln Financial","Financials","Multi-line Insurance","Radnor, Pennsylvania","6/30/1976"
"LNT","Alliant Energy","Utilities","Electric Utilities","Madison, Wisconsin","7/1/2016"
"LOW","Lowe's","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","2/29/1984"
"LRCX","Lam Research","Information Technology","Semiconductor Equipment","Fremont, California","6/29/2012"
"LUMN","Lumen Technologies","Communication Services","Alternative Carriers","Monroe, Louisiana","3/25/1999"
"LUV","Southwest Airlines","Industrials","Airlines","Dallas, Texas","7/1/1994"
"LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming","Las Vegas, Nevada","10/3/2019"
"LW","Lamb Weston","Consumer Staples","Packaged Foods & Meats","Eagle, Idaho","12/3/2018"
"LYB","LyondellBasell","Materials","Specialty Chemicals","Rotterdam, Netherlands","9/5/2012"
"LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment","Beverly Hills, California","12/23/2019"
"MA","Mastercard","Information Technology","Data Processing & Outsourced Services","Harrison, New York","7/18/2008"
"MAA","Mid-America Apartment Communities","Real Estate","Residential REITs","Memphis, Tennessee","12/2/2016"
"MAR","Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland",""
"MAS","Masco","Industrials","Building Products","Livonia, Michigan","6/30/1981"
"MCD","McDonald's","Consumer Discretionary","Restaurants","Chicago, Illinois","6/30/1970"
"MCHP","Microchip Technology","Information Technology","Semiconductors","Chandler, Arizona","9/7/2007"
"MCK","McKesson","Health Care","Health Care Distributors","Irving, Texas",""
"MCO","Moody's Corporation","Financials","Financial Exchanges & Data","New York City, New York",""
"MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","10/2/2012"
"MDT","Medtronic","Health Care","Health Care Equipment","Dublin, Ireland","10/31/1986"
"MET","MetLife","Financials","Life & Health Insurance","New York City, New York",""
"META","Meta Platforms","Communication Services","Interactive Media & Services","Menlo Park, California","12/23/2013"
"MGM","MGM Resorts","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","7/26/2017"
"MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","Calhoun, Georgia","12/23/2013"
