Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/1957,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002,1963
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,2002
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",3/4/1957,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,1945
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2/2/2022,1999
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/1995,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/2019,2019
CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",9/19/2022,1987
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,2021 (1989)
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1994
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",3/4/1957,1980
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,1996
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005,1978
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",11/18/1998,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/1995,1938
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,1979
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,1837
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,2016 (1969)
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,2007
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",5/18/2016,2004
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1985
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1980
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,1986
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1960
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,2019
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1904
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,2017
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/1957,1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/2002,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/1989,1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/1957,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,1982
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,2014 (1946)
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,1876
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,1890
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",1/7/2021,2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/2021,1993
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/2022,1888
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,1899
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,1969
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",4/2/2014,1971
EL,Est?e Lauder Companies (The),Consumer Staples,Personal Products,"New York City, New York",1/5/2006,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",9/21/2020,2005
RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,1966
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/2007,1996
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,1999
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/2021,1978
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",9/15/2008,1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1971
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",3/29/1996,1858
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,1985
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",12/19/2022,1999
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",11/28/1997,1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",6/20/2018,2000
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,2000
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,2016
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",7/1/2013,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",9/18/2015,2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/1998,1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,1912
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,1979
GEHC,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",1/4/2023,1994
GEN,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",3/25/2003,1982
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/2021,1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",3/4/1957,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/1957,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1908
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,1987
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,2000
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/2002,1869
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,1968
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",5/31/1984,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/2015,2015
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,1985
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/4/1957,1906
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/4/1957,2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,1939 (2015)
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",8/28/1997,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,2011
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957,1911
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",3/3/2020,1859
PODD,Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts",3/15/2023,2000
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,2000
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",3/31/1976,1958 (1889)
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",3/4/1957,1898
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",10/1/1992,1961 (1930)
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",12/5/2000,1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,1935
INVH,Invitation Homes,Real Estate,Residential REITs,"Dallas, Texas",9/19/2022,2012
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/2017,1982
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1951
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,1961
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/2018,1976
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",10/26/2007,1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/1973,1886
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",8/27/2010,1885
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",6/30/1975,2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/2006,1996
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",9/11/1989,1906
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,"Burlington, Massachusetts",6/21/2022,1981
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018,2014 (1939)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",3/4/1957,1872
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,1997
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",9/30/1997,1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015,2015 (1869)
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/1957,1883
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/2008,2019 (1895)
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,1978
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/2018,2016 (1950)
