Country (or dependency),Population (2020),Yearly Change %,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share %
Chile,19116201,0.87,164163,26.0,743532.0,111708.0,1.7,35.0,85.0,0.25
Kazakhstan,18776707,1.21,225280,7.0,2699700.0,-18000.0,2.8,31.0,58.0,0.24
Zambia,18383955,2.93,522925,25.0,743390.0,-8000.0,4.7,18.0,45.0,0.24
Guatemala,17915568,1.9,334096,167.0,107160.0,-9215.0,2.9,23.0,52.0,0.23
Ecuador,17643054,1.55,269392,71.0,248360.0,36400.0,2.4,28.0,63.0,0.23
Syria,17500658,2.52,430523,95.0,183630.0,-427391.0,2.8,26.0,60.0,0.22
Netherlands,17134872,0.22,37742,508.0,33720.0,16000.0,1.7,43.0,92.0,0.22
Senegal,16743927,2.75,447563,87.0,192530.0,-20000.0,4.7,19.0,49.0,0.21
Cambodia,16718965,1.41,232423,95.0,176520.0,-30000.0,2.5,26.0,24.0,0.21
Chad,16425864,3.0,478988,13.0,1259200.0,2000.0,5.8,17.0,23.0,0.21
Somalia,15893222,2.92,450317,25.0,627340.0,-40000.0,6.1,17.0,47.0,0.2
Zimbabwe,14862924,1.48,217456,38.0,386850.0,-116858.0,3.6,19.0,38.0,0.19
Guinea,13132795,2.83,361549,53.0,245720.0,-4000.0,4.7,18.0,39.0,0.17
Rwanda,12952218,2.58,325268,525.0,24670.0,-9000.0,4.1,20.0,18.0,0.17
Benin,12123200,2.73,322049,108.0,112760.0,-2000.0,4.9,19.0,48.0,0.16
Burundi,11890784,3.12,360204,463.0,25680.0,2001.0,5.5,17.0,14.0,0.15
Tunisia,11818619,1.06,123900,76.0,155360.0,-4000.0,2.2,33.0,70.0,0.15
Bolivia,11673021,1.39,159921,11.0,1083300.0,-9504.0,2.8,26.0,69.0,0.15
Belgium,11589623,0.44,50295,383.0,30280.0,48000.0,1.7,42.0,98.0,0.15
Haiti,11402528,1.24,139451,414.0,27560.0,-35000.0,3.0,24.0,57.0,0.15
Cuba,11326616,,-6867,106.0,106440.0,-14400.0,1.6,42.0,78.0,0.15
South Sudan,11193725,1.19,131612,18.0,610952.0,-174200.0,4.7,19.0,25.0,0.14
Dominican Republic,10847910,1.01,108952,225.0,48320.0,-30000.0,2.4,28.0,85.0,0.14
Czech Republic (Czechia),10708981,0.18,19772,139.0,77240.0,22011.0,1.6,43.0,74.0,0.14
Greece,10423054,,-50401,81.0,128900.0,-16000.0,1.3,46.0,85.0,0.13
Jordan,10203134,1.0,101440,115.0,88780.0,10220.0,2.8,24.0,91.0,0.13
Portugal,10196709,,-29478,111.0,91590.0,-6000.0,1.3,46.0,66.0,0.13
Azerbaijan,10139177,0.91,91459,123.0,82658.0,1200.0,2.1,32.0,56.0,0.13
Sweden,10099265,0.63,62886,25.0,410340.0,40000.0,1.9,41.0,88.0,0.13
Honduras,9904607,1.63,158490,89.0,111890.0,-6800.0,2.5,24.0,57.0,0.13
United Arab Emirates,9890402,1.23,119873,118.0,83600.0,40000.0,1.4,33.0,86.0,0.13
Hungary,9660351,,-24328,107.0,90530.0,6000.0,1.5,43.0,72.0,0.12
Tajikistan,9537645,2.32,216627,68.0,139960.0,-20000.0,3.6,22.0,27.0,0.12
Belarus,9449323,,-3088,47.0,202910.0,8730.0,1.7,40.0,79.0,0.12
Austria,9006398,0.57,51296,109.0,82409.0,65000.0,1.5,43.0,57.0,0.12
Papua New Guinea,8947024,1.95,170915,20.0,452860.0,-800.0,3.6,22.0,13.0,0.11
Serbia,8737371,,-34864,100.0,87460.0,4000.0,1.5,42.0,56.0,0.11
Israel,8655535,1.6,136158,400.0,21640.0,10000.0,3.0,30.0,93.0,0.11
Switzerland,8654622,0.74,63257,219.0,39516.0,52000.0,1.5,43.0,74.0,0.11
Togo,8278724,2.43,196358,152.0,54390.0,-2000.0,4.4,19.0,43.0,0.11
Sierra Leone,7976983,2.1,163768,111.0,72180.0,-4200.0,4.3,19.0,43.0,0.1
Hong Kong,7496981,0.82,60827,7140.0,1050.0,29308.0,1.3,45.0,,0.1
Laos,7275560,1.48,106105,32.0,230800.0,-14704.0,2.7,24.0,36.0,0.09
Paraguay,7132538,1.25,87902,18.0,397300.0,-16556.0,2.4,26.0,62.0,0.09
Bulgaria,6948445,,-51674,64.0,108560.0,-4800.0,1.6,45.0,76.0,0.09
Libya,6871292,1.38,93840,4.0,1759540.0,-1999.0,2.3,29.0,78.0,0.09
Lebanon,6825445,,-30268,667.0,10230.0,-30012.0,2.1,30.0,78.0,0.09
Nicaragua,6624554,1.21,79052,55.0,120340.0,-21272.0,2.4,26.0,57.0,0.08
Kyrgyzstan,6524195,1.69,108345,34.0,191800.0,-4000.0,3.0,26.0,36.0,0.08
El Salvador,6486205,0.51,32652,313.0,20720.0,-40539.0,2.1,28.0,73.0,0.08
Turkmenistan,6031200,1.5,89111,13.0,469930.0,-5000.0,2.8,27.0,53.0,0.08
Singapore,5850342,0.79,46005,8358.0,700.0,27028.0,1.2,42.0,,0.08
Denmark,5792202,0.35,20326,137.0,42430.0,15200.0,1.8,42.0,88.0,0.07
Finland,5540720,0.15,8564,18.0,303890.0,14000.0,1.5,43.0,86.0,0.07
Congo,5518087,2.56,137579,16.0,341500.0,-4000.0,4.5,19.0,70.0,0.07
Slovakia,5459642,0.05,2629,114.0,48088.0,1485.0,1.5,41.0,54.0,0.07
Norway,5421241,0.79,42384,15.0,365268.0,28000.0,1.7,40.0,83.0,0.07
Oman,5106626,2.65,131640,16.0,309500.0,87400.0,2.9,31.0,87.0,0.07
State of Palestine,5101414,2.41,119994,847.0,6020.0,-10563.0,3.7,21.0,80.0,0.07
Costa Rica,5094118,0.92,46557,100.0,51060.0,4200.0,1.8,33.0,80.0,0.07
Liberia,5057681,2.44,120307,53.0,96320.0,-5000.0,4.4,19.0,53.0,0.06
Ireland,4937786,1.13,55291,72.0,68890.0,23604.0,1.8,38.0,63.0,0.06
Central African Republic,4829767,1.78,84582,8.0,622980.0,-40000.0,4.8,18.0,43.0,0.06
New Zealand,4822233,0.82,39170,18.0,263310.0,14881.0,1.9,38.0,87.0,0.06
Mauritania,4649658,2.74,123962,5.0,1030700.0,5000.0,4.6,20.0,57.0,0.06
Panama,4314767,1.61,68328,58.0,74340.0,11200.0,2.5,30.0,68.0,0.06
Kuwait,4270571,1.51,63488,240.0,17820.0,39520.0,2.1,37.0,,0.05
Croatia,4105267,,-25037,73.0,55960.0,-8001.0,1.4,44.0,58.0,0.05
Moldova,4033963,,-9300,123.0,32850.0,-1387.0,1.3,38.0,43.0,0.05
Georgia,3989167,,-7598,57.0,69490.0,-10000.0,2.1,38.0,58.0,0.05
Eritrea,3546421,1.41,49304,35.0,101000.0,-39858.0,4.1,19.0,63.0,0.05
Uruguay,3473730,0.35,11996,20.0,175020.0,-3000.0,2.0,36.0,96.0,0.04
Bosnia and Herzegovina,3280819,,-20181,64.0,51000.0,-21585.0,1.3,43.0,52.0,0.04
Mongolia,3278290,1.65,53123,2.0,1553560.0,-852.0,2.9,28.0,67.0,0.04
Armenia,2963243,0.19,5512,104.0,28470.0,-4998.0,1.8,35.0,63.0,0.04
Jamaica,2961167,0.44,12888,273.0,10830.0,-11332.0,2.0,31.0,55.0,0.04
Qatar,2881053,1.73,48986,248.0,11610.0,40000.0,1.9,32.0,96.0,0.04
Albania,2877797,,-3120,105.0,27400.0,-14000.0,1.6,36.0,63.0,0.04
Puerto Rico,2860853,,-72555,323.0,8870.0,-97986.0,1.2,44.0,,0.04
Lithuania,2722289,,-37338,43.0,62674.0,-32780.0,1.7,45.0,71.0,0.03
Namibia,2540905,1.86,46375,3.0,823290.0,-4806.0,3.4,22.0,55.0,0.03
Gambia,2416668,2.94,68962,239.0,10120.0,-3087.0,5.3,18.0,59.0,0.03
Botswana,2351627,2.08,47930,4.0,566730.0,3000.0,2.9,24.0,73.0,0.03
Gabon,2225734,2.45,53155,9.0,257670.0,3260.0,4.0,23.0,87.0,0.03
Lesotho,2142249,0.8,16981,71.0,30360.0,-10047.0,3.2,24.0,31.0,0.03
North Macedonia,2083374,0.0,-85,83.0,25220.0,-1000.0,1.5,39.0,59.0,0.03
Slovenia,2078938,0.01,284,103.0,20140.0,2000.0,1.6,45.0,55.0,0.03
Guinea-Bissau,1968001,2.45,47079,70.0,28120.0,-1399.0,4.5,19.0,45.0,0.03
Latvia,1886198,,-20545,30.0,62200.0,-14837.0,1.7,44.0,69.0,0.02
Bahrain,1701575,3.68,60403,2239.0,760.0,47800.0,2.0,32.0,89.0,0.02
Equatorial Guinea,1402985,3.47,46999,50.0,28050.0,16000.0,4.6,22.0,73.0,0.02
Trinidad and Tobago,1399488,0.32,4515,273.0,5130.0,-800.0,1.7,36.0,52.0,0.02
Estonia,1326535,0.07,887,31.0,42390.0,3911.0,1.6,42.0,68.0,0.02
Timor-Leste,1318445,1.96,25326,89.0,14870.0,-5385.0,4.1,21.0,33.0,0.02
Mauritius,1271768,0.17,2100,626.0,2030.0,0.0,1.4,37.0,41.0,0.02
Cyprus,1207359,0.73,8784,131.0,9240.0,5000.0,1.3,37.0,67.0,0.02
Eswatini,1160164,1.05,12034,67.0,17200.0,-8353.0,3.0,21.0,30.0,0.01
Djibouti,988000,1.48,14440,43.0,23180.0,900.0,2.8,27.0,79.0,0.01
Fiji,896445,0.73,6492,49.0,18270.0,-6202.0,2.8,28.0,59.0,0.01
Réunion,895312,0.72,6385,358.0,2500.0,-1256.0,2.3,36.0,100.0,0.01
Comoros,869601,2.2,18715,467.0,1861.0,-2000.0,4.2,20.0,29.0,0.01
Guyana,786552,0.48,3786,4.0,196850.0,-6000.0,2.5,27.0,27.0,0.01
Bhutan,771608,1.12,8516,20.0,38117.0,320.0,2.0,28.0,46.0,0.01
Solomon Islands,686884,2.55,17061,25.0,27990.0,-1600.0,4.4,20.0,23.0,0.01
Macao,649335,1.39,8890,21645.0,30.0,5000.0,1.2,39.0,,0.01
Montenegro,628066,0.01,79,47.0,13450.0,-480.0,1.8,39.0,68.0,0.01
Luxembourg,625978,1.66,10249,242.0,2590.0,9741.0,1.5,40.0,88.0,0.01
Western Sahara,597339,2.55,14876,2.0,266000.0,5582.0,2.4,28.0,87.0,0.01
Suriname,586632,0.9,5260,4.0,156000.0,-1000.0,2.4,29.0,65.0,0.01
Cabo Verde,555987,1.1,6052,138.0,4030.0,-1342.0,2.3,28.0,68.0,0.01
Maldives,540544,1.81,9591,1802.0,300.0,11370.0,1.9,30.0,35.0,0.01
Malta,441543,0.27,1171,1380.0,320.0,900.0,1.5,43.0,93.0,0.01
Brunei,437479,0.97,4194,83.0,5270.0,0.0,1.8,32.0,80.0,0.01
Guadeloupe,400124,0.02,68,237.0,1690.0,-1440.0,2.2,44.0,,0.01
Belize,397628,1.86,7275,17.0,22810.0,1200.0,2.3,25.0,46.0,0.01
Bahamas,393244,0.97,3762,39.0,10010.0,1000.0,1.8,32.0,86.0,0.01
Martinique,375265,,-289,354.0,1060.0,-960.0,1.9,47.0,92.0,0.0
Iceland,341243,0.65,2212,3.0,100250.0,380.0,1.8,37.0,94.0,0.0
Vanuatu,307145,2.42,7263,25.0,12190.0,120.0,3.8,21.0,24.0,0.0
French Guiana,298682,2.7,7850,4.0,82200.0,1200.0,3.4,25.0,87.0,0.0
Barbados,287375,0.12,350,668.0,430.0,-79.0,1.6,40.0,31.0,0.0
New Caledonia,285498,0.97,2748,16.0,18280.0,502.0,2.0,34.0,72.0,0.0
French Polynesia,280908,0.58,1621,77.0,3660.0,-1000.0,2.0,34.0,64.0,0.0
Mayotte,272815,2.5,6665,728.0,375.0,0.0,3.7,20.0,46.0,0.0
Sao Tome & Principe,219159,1.91,4103,228.0,960.0,-1680.0,4.4,19.0,74.0,0.0
Samoa,198414,0.67,1317,70.0,2830.0,-2803.0,3.9,22.0,18.0,0.0
Saint Lucia,183627,0.46,837,301.0,610.0,0.0,1.4,34.0,19.0,0.0
Channel Islands,173863,0.93,1604,915.0,190.0,1351.0,1.5,43.0,30.0,0.0
Guam,168775,0.89,1481,313.0,540.0,-506.0,2.3,31.0,95.0,0.0
Curaçao,164093,0.41,669,370.0,444.0,515.0,1.8,42.0,89.0,0.0
Kiribati,119449,1.57,1843,147.0,810.0,-800.0,3.6,23.0,57.0,0.0
Micronesia,115023,1.06,1208,164.0,700.0,-600.0,3.1,24.0,21.0,0.0
Grenada,112523,0.46,520,331.0,340.0,-200.0,2.1,32.0,35.0,0.0
St. Vincent & Grenadines,110940,0.32,351,284.0,390.0,-200.0,1.9,33.0,53.0,0.0
Aruba,106766,0.43,452,593.0,180.0,201.0,1.9,41.0,44.0,0.0
Tonga,105695,1.15,1201,147.0,720.0,-800.0,3.6,22.0,24.0,0.0
U.S. Virgin Islands,104425,,-153,298.0,350.0,-451.0,2.0,43.0,96.0,0.0
Seychelles,98347,0.62,608,214.0,460.0,-200.0,2.5,34.0,56.0,0.0
Antigua and Barbuda,97929,0.84,811,223.0,440.0,0.0,2.0,34.0,26.0,0.0
Isle of Man,85033,0.53,449,149.0,570.0,,,,53.0,0.0
Andorra,77265,0.16,123,164.0,470.0,,,,88.0,0.0
Dominica,71986,0.25,178,96.0,750.0,,,,74.0,0.0
Cayman Islands,65722,1.19,774,274.0,240.0,,,,97.0,0.0
Bermuda,62278,,-228,1246.0,50.0,,,,97.0,0.0
Marshall Islands,59190,0.68,399,329.0,180.0,,,,70.0,0.0
Northern Mariana Islands,57559,0.6,343,125.0,460.0,,,,88.0,0.0
Greenland,56770,0.17,98,0.0,410450.0,,,,87.0,0.0
American Samoa,55191,,-121,276.0,200.0,,,,88.0,0.0
Saint Kitts & Nevis,53199,0.71,376,205.0,260.0,,,,33.0,0.0
Faeroe Islands,48863,0.38,185,35.0,1396.0,,,,43.0,0.0
Sint Maarten,42876,1.15,488,1261.0,34.0,,,,96.0,0.0
Monaco,39242,0.71,278,26337.0,1.0,,,,,0.0
Turks and Caicos,38717,1.38,526,41.0,950.0,,,,89.0,0.0
Saint Martin,38666,1.75,664,730.0,53.0,,,,0.0,0.0
Liechtenstein,38128,0.29,109,238.0,160.0,,,,15.0,0.0
San Marino,33931,0.21,71,566.0,60.0,,,,97.0,0.0
Gibraltar,33691,,-10,3369.0,10.0,,,,,0.0
British Virgin Islands,30231,0.67,201,202.0,150.0,,,,52.0,0.0
Caribbean Netherlands,26223,0.94,244,80.0,328.0,,,,75.0,0.0
Palau,18094,0.48,86,39.0,460.0,,,,,0.0
Cook Islands,17564,0.09,16,73.0,240.0,,,,75.0,0.0
Anguilla,15003,0.9,134,167.0,90.0,,,,,0.0
Tuvalu,11792,1.25,146,393.0,30.0,,,,62.0,0.0
Wallis & Futuna,11239,,-193,80.0,140.0,,,,0.0,0.0
Nauru,10824,0.63,68,541.0,20.0,,,,,0.0
Saint Barthelemy,9877,0.3,30,470.0,21.0,,,,0.0,0.0
Saint Helena,6077,0.3,18,16.0,390.0,,,,27.0,0.0
Saint Pierre & Miquelon,5794,,-28,25.0,230.0,,,,100.0,0.0
Montserrat,4992,0.06,3,50.0,100.0,,,,10.0,0.0
Falkland Islands,3480,3.05,103,0.0,12170.0,,,,66.0,0.0
Niue,1626,0.68,11,6.0,260.0,,,,46.0,0.0
Tokelau,1357,1.27,17,136.0,10.0,,,,0.0,0.0
Holy See,801,0.25,2,2003.0,0.0,,,,,0.0
