DrawNumber,DrawDate,Ball1,Ball2,Ball3,Ball4,Ball5,LuckyStar1,LuckyStar2,UKMillionaireMaker,BallSet,DrawMachine,Match_5_and_2_Stars_roll,Match_5_and_2_Stars_UKWinners,Match_5_and_2_Stars_PrizePerWinner,Match_5_and_2_Stars_UKPrizeFund,Match_5_and_2_Stars_TotalWinners,Match_5_and_1_Star_UKWinners,Match_5_and_1_Star_PrizePerWinner,Match_5_and_1_Star_UKPrizeFund,Match_5_and_1_Star_TotalWinners,Match_5_UKWinners,Match_5_PrizePerWinner,Match_5_UKPrizeFund,Match_5_TotalWinners,Match_4_and_2_Stars_UKWinners,Match_4_and_2_Stars_PrizePerWinner,Match_4_and_2_Stars_UKPrizeFund,Match_4_and_2_Stars_TotalWinners,Match_4_and_1_Star_UKWinners,Match_4_and_1_Star_PrizePerWinner,Match_4_and_1_Star_UKPrizeFund,Match_4_and_1_Star_TotalWinners,Match_3_and_2_Stars_UKWinners,Match_3_and_2_Stars_PrizePerWinner,Match_3_and_2_Stars_UKPrizeFund,Match_3_and_2_Stars_TotalWinners,Match_4_UKWinners,Match_4_PrizePerWinner,Match_4_UKPrizeFund,Match_4_TotalWinners,Match_2_and_2_Stars_UKWinners,Match_2_and_2_Stars_PrizePerWinner,Match_2_and_2_Stars_UKPrizeFund,Match_2_and_2_Stars_TotalWinners,Match_3_and_1_Star_UKWinners,Match_3_and_1_Star_PrizePerWinner,Match_3_and_1_Star_UKPrizeFund,Match_3_and_1_Star_TotalWinners,Match_3_UKWinners,Match_3_PrizePerWinner,Match_3_UKPrizeFund,Match_3_TotalWinners,Match_1_and_2_Stars_UKWinners,Match_1_and_2_Stars_PrizePerWinner,Match_1_and_2_Stars_UKPrizeFund,Match_1_and_2_Stars_TotalWinners,Match_2_and_1_Star_UKWinners,Match_2_and_1_Star_PrizePerWinner,Match_2_and_1_Star_UKPrizeFund,Match_2_and_1_Star_TotalWinners,Match_2_UKWinners,Match_2_PrizePerWinner,Match_2_UKPrizeFund,Match_2_TotalWinners,Totals_UKWinners,Totals_UKPrizeFund,Totals_TotalWinners,JackpotWinner_country,TicketPrice
1735,07-05-2024,45,35,42,36,41,11,6,['VTCF14977'],20,13,1,0,22751465.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,5,1154.1,5770.5,21,98,129.0,12642.0,346,235,56.1,13183.5,841,211,41.2,8693.2,804,3463,12.2,42248.6,13572,4271,11.2,47835.2,16490,9744,9.0,87696.0,38152,19539,5.3,103556.7,77930,69095,4.8,331656.0,272183,157490.0,3.3,519717.0,627708.0,264151,1172998.7,1048050,,2.5
1734,03-05-2024,6,49,9,30,10,4,3,['ZSBZ49219'],20,13,1,0,14597900.0,0.0,0,1,145757.5,145757.5,3,1,12774.7,12774.7,8,4,1326.3,5305.2,24,213,71.8,15293.4,816,465,39.5,18367.5,1569,449,27.0,12123.0,1610,6233,10.0,62330.0,21715,9675,6.7,64822.5,35764,19665,6.0,117990.0,75020,31837,5.0,159185.0,109236,137601,3.3,454083.3,508536,275884.0,2.7,744886.8,1027342.0,482028,1812918.9,1781643,,2.5
1733,30-04-2024,24,47,13,22,33,5,1,['ZRBP55477'],19,14,0,0,142605492.0,0.0,1,3,79104.9,237314.7,8,4,11377.3,45509.2,13,18,677.4,12193.2,68,368,61.2,22521.6,1385,663,35.6,23602.8,2517,886,20.0,17720.0,3144,9976,9.3,92776.8,33591,14617,6.7,97933.9,51784,34552,5.5,190036.0,117948,49591,4.7,233077.7,165534,205634,3.6,740282.4,688604,476797.0,2.5,1191992.5,1549560.0,793109,2904960.8,2614157,['France'],2.5
1732,26-04-2024,47,2,39,20,40,8,4,"['HQBB14791', 'HQBD07795', 'HQZW37514', 'MQZZ72135', 'TQZM16260', 'TQZZ85050', 'VQZK16435', 'VQZL24239', 'VQZS23927', 'XQBB97678']",19,14,1,0,130290236.0,0.0,0,1,393914.6,393914.6,2,5,16738.9,83694.5,11,16,1246.7,19947.2,46,364,107.0,38948.0,987,862,46.1,39738.2,2421,815,35.0,28525.0,2238,13730,9.9,135927.0,39302,16725,9.4,157215.0,46215,37215,7.8,290277.0,103414,78138,4.3,335993.4,227046,252937,4.3,1087629.1,710644,557801.0,3.1,1729183.1,1579596.0,958609,4340992.1,2711922,,2.5
1731,23-04-2024,9,49,11,6,32,2,10,['TPZG11349'],19,14,1,0,115318610.0,0.0,0,2,135311.6,270623.2,4,1,15812.2,15812.2,8,8,1158.8,9270.4,34,246,90.7,22312.2,800,560,43.6,24416.0,1759,592,27.9,16516.8,1927,8221,10.4,85498.4,25779,11386,8.0,91088.0,37357,27082,6.1,165200.2,90637,43145,5.0,215725.0,135438,162391,3.9,633324.9,535723,391523.0,2.6,1017959.8,1305450.0,645157,2567747.1,2134916,,2.5
1730,19-04-2024,10,20,46,40,44,1,3,['ZNXG32348'],19,14,1,0,104634780.0,0.0,0,1,665785.1,665785.1,1,1,14145.9,14145.9,11,9,1242.7,11184.3,39,319,97.2,31006.8,918,591,47.3,27954.3,1995,711,32.0,22752.0,2069,9061,11.6,105107.6,28576,13493,8.3,111991.9,44084,30784,7.1,218566.4,96956,49845,5.1,254209.5,160692,192615,4.3,828244.5,604285,441372.0,3.1,1368253.2,1364068.0,738802,3659201.5,2303694,,2.5
1729,16-04-2024,39,31,46,29,22,3,7,['XMXB32530'],19,14,1,0,90926180.0,0.0,0,0,0.0,0.0,2,2,21641.6,43283.2,5,5,766.0,3830.0,44,159,103.3,16424.7,601,482,34.2,16484.4,1918,451,31.7,14296.7,1451,8194,7.2,58996.8,31921,8576,8.6,73753.6,29654,18264,7.7,140632.8,61758,47340,3.0,142020.0,188726,132140,3.9,515346.0,460357,278591.0,3.1,863632.1,940834.0,494204,1888700.3,1717271,,2.5
1728,12-04-2024,45,16,12,2,3,11,2,['ZLWN91063'],19,14,1,0,81652272.0,0.0,0,0,0.0,0.0,2,4,15611.6,62446.4,8,14,1051.3,14718.2,37,268,84.6,22672.8,847,637,40.6,25862.2,1862,570,28.9,16473.0,1841,8397,10.0,83970.0,26529,11878,7.5,89085.0,39506,26484,6.1,161552.4,89196,43978,4.8,211094.4,138497,168419,3.7,623150.3,566236,387882.0,2.5,969705.0,1318782.0,648531,2280729.7,2183343,,2.5
1727,09-04-2024,27,46,19,23,26,2,10,['VKVV72035'],19,14,1,0,71095344.0,0.0,0,0,0.0,0.0,0,2,100313.5,200627.0,5,11,1096.1,12057.1,27,178,94.3,16785.4,578,420,44.6,18732.0,1290,454,29.3,13302.2,1382,6224,10.1,62862.4,19907,8892,7.5,66690.0,29808,20767,6.0,124602.0,69641,31676,4.9,155212.4,102086,125905,3.7,465848.5,427979,296105.0,2.5,740262.5,1007228.0,490634,1876981.5,1659931,,2.5
1726,05-04-2024,26,37,35,18,13,11,8,['VJVQ14654'],19,14,1,0,63133397.0,0.0,0,1,254777.1,254777.1,2,3,9160.8,27482.4,13,12,904.7,10856.4,41,232,86.4,20044.8,790,471,47.4,22325.4,1521,520,28.1,14612.0,1804,6891,11.3,77868.3,22405,10105,8.1,81850.5,34693,23031,6.4,147398.4,81880,35660,5.4,192564.0,116993,143577,4.0,574308.0,500313,327660.0,2.7,884682.0,1187042.0,548163,2308769.3,1947497,,2.5
1725,02-04-2024,36,1,48,23,31,8,5,['JHVH21554'],19,14,1,0,52991752.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,8,1041.0,8328.0,24,103,113.3,11669.9,406,335,38.2,12797.0,1272,239,38.2,9129.8,893,5434,8.1,44015.4,20899,5669,9.0,51021.0,21138,12677,7.7,97612.9,45917,31033,3.5,108615.5,122707,89329,4.0,357316.0,332177,196191.0,3.0,588573.0,711622.0,341018,1289078.5,1257057,,2.5
1724,29-03-2024,49,35,36,17,16,10,1,['VFTF81881'],21,15,1,0,44637566.0,0.0,0,0,0.0,0.0,1,4,18578.8,74315.2,6,6,1446.7,8680.2,24,198,108.7,21522.6,588,396,59.5,23562.0,1135,420,36.8,15456.0,1289,5948,13.7,81487.6,17335,8291,10.4,86226.4,25345,20144,7.8,157123.2,63117,31817,6.1,194083.7,96601,125053,4.8,600254.4,390707,316398.0,2.9,917554.2,1018156.0,508675,2180265.5,1614304,,2.5
1723,26-03-2024,14,26,29,13,2,5,6,['TFTG63441'],21,15,1,0,33474458.0,0.0,0,2,69196.5,138393.0,5,2,16172.3,32344.6,5,13,662.8,8616.4,38,224,55.0,12320.0,843,353,35.0,12355.0,1400,448,20.5,9184.0,1676,5149,9.0,46341.0,19001,8592,5.7,48974.4,33176,18031,5.4,97367.4,65640,25012,4.6,115055.2,93205,111149,3.1,344561.9,427543,236750.0,2.5,591875.0,850599.0,405725,1457387.9,1493131,,2.5
1722,22-03-2024,32,8,44,11,23,9,10,['ZDTB31606'],21,15,1,0,25257322.0,0.0,0,0,0.0,0.0,12,6,3672.4,22034.4,28,11,865.6,9521.6,37,312,48.1,15007.2,1226,367,48.9,17946.3,1275,715,14.8,10582.0,2946,5207,12.6,65608.2,17390,10720,6.3,67536.0,38488,24475,4.8,117480.0,93918,26206,6.1,159856.6,89886,133274,3.5,466459.0,483588,310480.0,2.3,714104.0,1176361.0,511773,1666135.3,1905155,,2.5
1721,19-03-2024,32,18,7,20,16,1,3,['XVQK28198'],21,15,1,0,14531600.0,0.0,0,0,0.0,0.0,3,3,12548.3,37644.9,6,5,1019.6,5098.0,23,177,66.6,11788.2,648,313,36.8,11518.4,1238,397,22.9,9091.3,1401,4421,9.2,40673.2,17254,6760,6.7,45292.0,26685,16004,5.5,88022.0,59872,22216,4.6,102193.6,87492,93047,3.4,316359.8,365158,209663.0,2.5,524157.5,803809.0,353006,1191838.9,1363589,,2.5
1720,15-03-2024,31,40,34,4,1,4,5,['JZRN27867'],21,15,0,0,111228000.0,0.0,1,2,300190.1,600380.2,3,5,19134.3,95671.5,11,16,1394.8,22316.8,47,289,114.6,33119.4,1053,689,46.2,31831.8,2762,674,39.4,26555.6,2273,10802,11.1,119902.2,40123,14415,9.3,134059.5,53453,30631,8.3,254237.3,111082,59623,5.1,304077.3,220823,226875,4.1,930187.5,855579,474558.0,3.2,1518585.6,1770373.0,818579,4070924.7,3057583,['Spain'],2.5
1719,12-03-2024,30,38,19,13,46,4,12,['TZRT06068'],21,15,1,0,62319725.0,0.0,0,1,202467.8,202467.8,2,2,23660.0,47320.0,4,8,1473.9,11791.2,20,152,96.7,14698.4,561,288,55.9,16099.2,1026,330,30.4,10032.0,1325,4630,12.9,59727.0,15548,6856,8.9,61018.4,25020,16720,6.6,110352.0,62934,24235,6.1,147833.5,81999,102492,4.3,440715.6,363360,247949.0,2.7,669462.3,934872.0,403663,1791517.4,1486671,,2.5
1718,08-03-2024,12,11,8,44,16,4,7,['VXRF83791'],21,15,1,0,54258756.0,0.0,0,0,0.0,0.0,1,3,13097.6,39292.8,9,20,764.9,15298.0,48,270,68.9,18603.0,981,823,27.8,22879.4,2566,543,26.9,14606.7,1867,11391,6.6,75180.6,37704,12683,6.3,79902.9,44407,25273,5.8,146583.4,88672,53553,3.4,182080.2,182988,172849,3.2,553116.8,615114,353089.0,2.5,882722.5,1244791.0,630497,2030266.3,2219148,,2.5
1717,05-03-2024,23,36,2,17,15,8,3,['TNNF16473'],21,15,1,0,42534485.0,0.0,0,0,0.0,0.0,2,1,12151.0,12151.0,7,12,779.2,9350.4,34,189,65.4,12360.6,746,501,27.6,13827.6,1869,407,24.0,9768.0,1509,6821,6.9,47064.9,26006,8599,6.4,55033.6,31466,17562,5.9,103615.8,63100,35230,3.5,123305.0,129369,119156,3.2,381299.2,437488,245016.0,2.6,637041.6,879843.0,433494,1404817.7,1571439,,2.5
1716,01-03-2024,34,20,4,19,7,2,4,['XTQC64674'],21,15,1,0,33832786.0,0.0,0,1,117360.2,117360.2,4,6,12190.6,73143.6,9,20,589.2,11784.0,58,269,62.8,16893.2,1001,565,29.3,16554.5,2268,516,24.7,12745.2,1890,7728,7.7,59505.6,30073,11844,5.9,69879.6,43849,22436,5.7,127885.2,84586,37127,4.2,155933.4,138480,152897,3.2,489270.4,573714,312756.0,2.5,781890.0,1169473.0,546165,1932844.9,2045405,,2.5
1715,27-02-2024,20,3,4,9,12,5,6,['HTQJ75000'],20,13,1,0,22668447.0,0.0,0,0,0.0,0.0,8,4,7834.7,31338.8,10,7,659.5,4616.5,37,255,42.6,10863.0,1053,447,27.9,12471.3,1701,534,14.2,7582.8,2348,5037,8.4,42310.8,19655,8873,4.9,43477.7,37856,19375,4.4,85250.0,77533,24056,4.5,108252.0,92139,110378,2.9,320096.2,449963,236137.0,2.3,543115.1,905443.0,405103,1209374.2,1587746,,2.5
1714,23-02-2024,27,49,30,24,28,1,12,['XSPW63863'],20,13,1,0,14529900.0,0.0,0,0,0.0,0.0,0,5,113042.9,565214.5,5,6,1389.6,8337.6,24,140,123.1,17234.0,499,328,55.9,18335.2,1161,379,37.0,14023.0,1231,4878,13.0,63414.0,17444,7176,10.3,73912.8,24559,18420,7.1,130782.0,66563,26341,6.0,158046.0,95080,105368,4.8,505766.4,371425,283610.0,2.7,765747.0,1049508.0,446651,2320812.5,1627499,,2.5
1713,20-02-2024,42,31,37,48,23,7,3,['ZRPN29998'],20,13,0,0,62959762.0,0.0,1,0,0.0,0.0,4,0,0.0,0.0,3,12,672.0,8064.0,42,142,99.9,14185.8,520,480,27.8,13344.0,1974,334,35.4,11823.6,1091,7344,6.5,47736.0,29695,7188,8.2,58941.6,26063,15206,7.5,114045.0,53216,40669,2.8,113873.2,167972,111983,3.8,425535.4,400597,227631.0,3.1,705656.1,793739.0,410989,1513204.7,1474917,['France'],2.5
1712,16-02-2024,26,14,13,24,8,1,2,['HQPC98478'],20,13,1,0,54947313.0,0.0,0,0,0.0,0.0,2,5,8905.4,44527.0,13,13,667.7,8680.1,54,299,59.4,17760.6,1118,534,37.1,19811.4,1891,675,19.7,13297.5,2500,6617,10.2,67493.4,24074,12379,5.9,73036.1,45869,27898,4.9,136700.2,102828,33141,5.2,172333.2,118061,161500,3.3,532950.0,592332,370255.0,2.3,851586.5,1341440.0,613316,1938176.0,2230182,,2.5
1711,13-02-2024,13,18,46,17,20,9,4,['ZPNR01405'],20,13,1,0,42755567.0,0.0,0,1,190536.8,190536.8,2,0,0.0,0.0,6,5,815.9,4079.5,34,156,92.9,14492.4,550,496,33.8,16764.8,1598,345,30.1,10384.5,1261,7418,7.6,56376.8,24766,7640,7.8,59592.0,26919,16773,6.6,110701.8,58929,38108,3.6,137188.8,131538,113865,3.6,409914.0,406778,247476.0,2.6,643437.6,898873.0,432283,1653469.0,1551254,,2.5
1710,09-02-2024,37,35,45,24,23,12,9,['ZNNF46664'],20,13,1,0,34071155.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,4,7,1804.2,12629.4,19,170,105.2,17884.0,600,357,55.2,19706.4,1209,366,35.8,13102.8,1310,5248,12.8,67174.4,18226,7676,9.4,72154.4,27565,18060,7.2,130032.0,67644,29637,5.8,171894.6,101495,118201,4.4,520084.4,421884,280279.0,2.8,784781.2,1039739.0,460001,1809443.6,1679696,,2.5
1709,06-02-2024,45,7,2,28,21,11,5,['VMMT80660'],20,13,1,0,22793244.0,0.0,0,1,177604.9,177604.9,2,2,13836.4,27672.8,6,8,861.9,6895.2,30,170,68.1,11577.0,699,346,37.9,13113.4,1327,409,22.1,9038.9,1599,4589,9.8,44972.2,18003,7399,6.6,48833.4,29688,17039,5.3,90306.7,68863,22779,4.9,111617.1,89461,97639,3.6,351500.4,388042,221159.0,2.5,552897.5,890199.0,371540,1446029.5,1487919,,2.5
1708,02-02-2024,13,42,27,23,20,9,5,['MLMN53073'],20,13,1,0,14535000.0,0.0,0,2,119808.9,239617.8,4,3,16000.7,48002.1,7,18,375.1,6751.8,93,265,55.6,14734.0,1155,627,23.8,14922.6,2846,584,18.4,10745.6,2593,8690,6.5,56485.0,36285,10313,5.8,59815.4,45275,23356,5.1,119115.6,96147,41834,3.5,146419.0,171481,139391,3.2,446051.2,587629,294329.0,2.5,735822.5,1199431.0,519412,1898482.6,2142946,,2.5
1707,30-01-2024,10,27,5,30,19,6,5,['ZKLZ09716'],19,14,0,1,61708231.0,61708231.0,2,3,57185.1,171555.3,11,8,6682.5,53460.0,22,16,551.7,8827.2,83,478,43.6,20840.8,1933,882,29.1,25666.2,3057,989,17.5,17307.5,3570,9821,8.6,84460.6,36427,17423,5.0,87115.0,68776,36082,5.0,180410.0,129934,45508,4.7,213887.6,167646,208144,3.0,624432.0,806112,438787.0,2.4,1053088.8,1601176.0,758142,64249282.0,2818749,"['Spain', 'UK']",2.5
1706,26-01-2024,32,19,41,8,42,12,9,['ZJLH07076'],19,14,1,0,111176000.0,0.0,0,3,102206.2,306618.6,9,2,26873.1,53746.2,8,13,1312.9,17067.7,51,373,95.7,35696.1,1288,754,51.6,38906.4,2523,791,30.2,23888.2,3026,10712,12.4,132828.8,36883,15956,8.8,140412.8,57510,38165,6.7,255705.5,140388,57260,5.7,326382.0,200543,234148,4.2,983421.6,846899,555478.0,2.8,1555338.4,2087605.0,913655,3870012.3,3376733,,2.5
1705,23-01-2024,48,23,14,50,39,12,3,['XHLB93292'],19,14,1,0,14548600.0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,2,4,1328.9,5315.6,18,108,97.7,10551.6,451,254,50.8,12903.2,917,296,28.6,8465.6,1142,3703,12.1,44806.3,13501,5357,8.5,45534.5,21242,11989,7.0,83923.0,48410,19184,5.9,113185.6,68707,77722,4.1,318660.2,315496,180772.0,2.8,506161.6,725468.0,299389,1149507.2,1195355,,2.5
1704,19-01-2024,50,27,28,48,44,7,12,['JCJC64566'],19,14,0,0,14596200.0,0.0,1,1,149242.5,149242.5,3,0,0.0,0.0,5,5,1207.1,6035.5,27,149,116.5,17358.5,515,319,52.3,16683.7,1212,338,36.3,12269.4,1228,5111,12.3,62865.3,17992,7386,9.3,68689.8,26591,16431,7.7,126518.7,59382,27514,5.7,156829.8,97560,111160,4.2,466872.0,414068,257270.0,2.9,746083.0,952524.0,425684,1829448.2,1571108,['Belgium'],2.5
1703,16-01-2024,18,21,33,45,10,12,8,['XFKD58687'],19,14,0,0,75779937.0,0.0,1,1,138132.2,138132.2,3,2,4402.3,8804.6,22,13,1005.5,13071.5,30,225,64.7,14557.5,858,364,48.8,17763.2,1203,579,20.0,11580.0,2054,5032,12.3,61893.6,16758,8664,7.5,64980.0,30461,21340,5.6,119504.0,76506,26503,5.9,156367.7,87790,116958,3.9,456136.2,410612,291095.0,2.5,727737.5,1035293.0,470776,1790528.0,1661591,['France'],2.5
1702,12-01-2024,18,16,17,49,45,9,12,"['HDKB61301', 'JDJL23606', 'MCHZ71207', 'MDJL54293', 'MDJX70412', 'VCHX27490', 'VDJQ24380', 'VDJR71692', 'VDJW25773', 'XCJJ06576']",19,14,1,0,67303737.0,0.0,0,1,195251.2,195251.2,3,5,13690.0,68450.0,10,10,1040.0,10400.0,41,247,116.5,28775.5,674,588,57.9,34045.2,1434,645,34.6,22317.0,1682,8885,12.7,112839.5,22939,12342,9.8,120951.6,33053,28649,7.6,217732.4,78911,47394,5.8,274885.2,125191,193843,4.3,833524.9,531557,454234.0,2.9,1317278.6,1282524.0,746843,3236451.1,2078019,,2.5
1701,09-01-2024,12,9,2,39,40,3,1,['HCJM97398'],19,14,1,0,55675221.0,0.0,0,0,0.0,0.0,1,2,12654.9,25309.8,7,6,1452.2,8713.2,19,144,88.8,12787.2,572,350,42.7,14945.0,1256,375,28.5,10687.5,1323,5065,9.7,49130.5,19412,7211,7.7,55524.7,27088,16278,6.4,104179.2,60687,26391,4.7,124037.7,100262,106751,3.6,384303.6,407111,241079.0,2.6,626805.4,904413.0,403652,1416423.8,1522151,,2.5
1700,05-01-2024,18,4,39,7,50,8,3,['HBHT10647'],19,14,1,0,46379442.0,0.0,0,0,0.0,0.0,2,2,16078.9,32157.8,7,14,594.1,8317.4,59,219,86.2,18877.8,749,563,34.1,19198.3,2001,481,28.0,13468.0,1713,9281,7.2,66823.2,32990,9533,7.4,70544.2,35938,21170,6.3,133371.0,77956,44299,3.6,159476.4,166715,143142,3.5,500997.0,538106,308441.0,2.6,801946.6,1133782.0,537145,1825177.7,1990018,,2.5
1699,02-01-2024,7,18,49,46,15,12,10,['HZHS17203'],19,14,1,0,34818330.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5,3,4010.2,12030.6,6,126,109.7,13822.2,404,243,57.0,13851.0,822,328,28.8,9446.4,1142,3807,12.8,48729.6,12774,5602,9.4,52658.8,19434,14900,6.2,92380.0,54361,20525,6.1,125202.5,67547,83048,4.5,373716.0,286826,225813.0,2.4,541951.2,841787.0,354395,1283788.3,1285108,,2.5
