type,text,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
mobile,"Check out this incredible mobile home! It has been newly remodeled inside and out. The AC unit is only 3-4 years old; the roof was resealed in 2023, and new skirting was installed in 2023. The owner just had the furnace repaired. The living room features an excellent 12' x 4' bump out, making it feel much larger. This mobile home is in a fantastic location, close to freeway access, shopping, restaurants, schools, and great hiking and biking trails. The shed is included. Also, please see the attachment for a list of amenities and application rules. Please note that approval and background checks are required by the Evergreen Village Mobile Home Park. The park application can be found online at . For any inquiries, please contact Diana Gould . It is important not to send an offer until you have obtained approval from the park, a lender qualification, and/or a letter of proof of funds. Offers should be emailed to Showings can be arranged through Aligned.",1970.0,2.0,1.0,1.0,1.0,2.0,13939.0,768.0,1.0,2018-05-31,36000.0,for_sale
mobile,"This home is ideal for family living! Set on a spacious 1-acre plot, it features 3 bedrooms, 2 full bathrooms, and a stunning kitchen complete with a cozy nook. Boasting an open floor plan and large windows throughout, the house is bathed in natural light, offering great views of the yard.",1996.0,3.0,2.0,2.0,1.0,2.0,43560.0,1642.0,1.0,2018-11-29,350000.0,for_sale
single_family,"PRICE REDUCED Super awesome private homestead ranch on 20+ acres in a gated community. One hour away from Ogden and Salt Lake City. 20 minutes from Evanston, Wyoming. 10 minutes to boating and lake recreation at Echo Reservoir. This property is located on the top of the mountain so you'll never see or hear a neighbor. It features a small cabin with a bedroom loft, kitchen, living room, 3/4 bathroom, and primary bedroom suite that is super cozy and move-in ready. The cabin was permitted and grandfathered into this community which makes it a super rare opportunity! The lot also features 2 other tiny homes you can share with guests or make into your perfect man-cave/ she-cave. Although this mountain doesn't offer utilities, the current owner has installed everything you need and more! Solar panels with batteries, 250-gallon water barrel completed with pump and tankless water heater, 250-gallon propane tank, and a working potty. There is also a 40 ft. shipping container for storage or build it out for an extra bunk house (will be included in the sale at the right price, negotiable ). Wildlife is abundant here and you won't miss out on seeing deer, elk, moose, grouse, and even a bear or cougar! Sit back in your chair and stare at the stars with only the sounds of nature. Best 360 views on the mountain. ATV, Snowmobile, and equestrian trails from your front door! Roads not maintained in winter, must have snow machines to access. Hunting is permitted on your own property. Must ask permission from neighbors to hunt on theirs. Don't miss this opportunity! Must call agent for showing. Lot Association Information and maps can be found at EchoCreekRanches.com",1998.0,2.0,1.0,2.0,1.0,2.0,920858.0,535.0,2.0,2018-05-31,410000.0,for_sale
mobile,"This mobile home is located in a serene community near a picturesque river, providing a tranquil setting perfect for relaxation and outdoor activities. The neighborhood offers the convenience of being close to various shopping centers, ensuring that all your retail needs are just a short walk away. Additionally, the home boasts excellent freeway access, making commutes and travel straightforward and efficient.The property is also conveniently situated near an Hil Air Force base.This mobile home has been tastefully remodeled within the last ten years, featuring modern upgrades and stylish finishes. The renovation includes updated kitchen appliances, contemporary cabinetry, and new countertops, providing a fresh and inviting culinary space. The flooring throughout the home has been replaced, contributing to a cohesive and polished look.",1970.0,2.0,1.0,1.0,1.0,2.0,4356.0,750.0,1.0,2018-05-31,44900.0,for_sale
single_family,"Welcome to your luxurious mountain retreat nestled on over 2 acres of towering pines. Step inside, and you 're greeted by the warm embrace of rustic elegance. The main cabin boasts spacious living areas adorned with rich wood accents, and floor-to-ceiling windows that frame the picturesque scenery outside. The kitchen is a culinary haven, granite countertops, and custom cabinetry, providing the perfect setting for creating gourmet meals or enjoying casual breakfasts with loved ones or dine on the expansive covered deck, where panoramic views serve as the backdrop for unforgettable gatherings tucked in the pines.",2010.0,5.0,5.0,4.0,1.0,4.0,91040.0,2400.0,2.0,2018-05-31,1750000.0,for_sale
mobile,"Acreage with Water! 6 Acres with 3 shares of Dry Gulch Water sits just outside of Roosevelt. This property has a 2 bed 1 bath home that is being sold as is . With mature trees, sheds, room for animals and RV's this property has a lot to offer! Fix up existing home or build your dream home, the choice is yours. Square footage and all information is provided as a courtesy only. Buyer to verify all information.",1981.0,2.0,1.0,1.0,1.0,2.0,261360.0,700.0,1.0,2011-11-04,319000.0,for_sale
single_family,"Tucked behind mature trees and landscaping sits this enchanting Tudor style home in the heart of Jeremy Ranch. This house oozes character, and it's apparent when you first walk into the living room! You're greeted with soaring ceilings, wood detailing, and tons of natural light. The large glass slider connects the living room and kitchen to the best backyard in Jeremy Ranch. You'll find a heated pool, hot tub, large patio, BBQ, bar, fire pit, and room to entertain family and friends. Ski enthusiasts will appreciate the basement mudroom with ski boot warmers and wood burning stove. Both of the large primary suites have great views, large bathrooms and en-suite closets! Conveniently located near Kimball Junction, you'll enjoy easy access to a variety of shopping, dining, and entertainment options. Outdoor enthusiasts will appreciate the close proximity to the ski resorts and hiking and mountain biking trails. Only 5 minutes to Kimball Junction, 15 minutes to Park City Ski Resort, and 25 minutes to the SLC International Airport. Square footage figures are provided as a courtesy estimate only and were obtained from county records. Buyer is advised to obtain an independent measurement.",1982.0,5.0,6.0,3.0,1.0,4.0,19602.0,6205.0,4.0,2022-01-03,2100000.0,for_sale
single_family,"Welcome to your dream luxury home! This exquisite property combines modern elegance with spacious comfort, offering everything you need for a truly exceptional living experience. Step into the heart of the home: a state-of-the-art kitchen equipped with high-end appliances and stunning lighting fixtures. The sleek design and open layout make it perfect for both everyday living and entertaining guests. The home is bathed in natural light, thanks to the numerous large windows that create an airy and inviting atmosphere. Enjoy the beauty of the outdoors from the comfort of your living space. Main level master bedroom with a luxurious oasis of a master bathroom, featuring an oversized standalone soaking tub perfect for relaxation. The separate, spacious shower complements this sanctuary, offering a spa-like experience at home. With one additional bedroom on the main level keep a loved one close or use it as a well-appointed office. This home is designed for both relaxation and entertainment. It features a huge, indoor basketball/ sports court. The theater room provides a cinematic experience right at home, perfect for movie nights or watching the big game. Currently used as a cardio studio, the studio apartment has a separate entrance with lots of possibilities. The three-car garage offers ample parking and storage space. The property sits on a sprawling 1.09-acre lot, providing a huge yard for outdoor activities and gardening. The covered deck is the perfect spot to relax and enjoy the breathtaking views to the east, making it an ideal space for morning routine or evening gatherings. This luxury home is more than just a place to live-it's a lifestyle. Experience the perfect blend of modern amenities, ample space, and stunning surroundings. Your dream home awaits! Seller is open to selling the furniture on a separate bill of sale (furniture valued over $200, 000).",2017.0,6.0,6.0,5.0,1.0,3.0,47480.0,6620.0,2.0,2021-07-22,2100000.0,for_sale
single_family,"The Hampton Estate plan is the perfect plan for gathering and entertaining. It provides multiple spaces, such as an upstairs loft, and separate living room, that can be personalized to suit the function that your family needs most. Optional additional rooms create the opportunity for each member of the family to have their own home oasis. With innovative storage solutions, you will be able to put aside the clutter to focus on what matters most to you.",2003.0,3.0,3.0,2.0,1.0,3.0,13939.0,2406.0,2.0,2018-05-31,557990.0,ready_to_build
single_family,"From work to play, the Stonehaven floor plan allows your family to maximize space no matter the need. Imagine setting up your perfect work from home office in the separate living room, or creating a fun-filled play room in your loft. The spacious main floor has the perfect open layout, allowing you to easily flow from family dinner to a family movie night in your great room. This floorplan provides the perfect upgrade to elevate your family's daily routine.",2003.0,3.0,3.0,2.0,1.0,3.0,13939.0,2188.0,2.0,2018-05-31,539990.0,ready_to_build
single_family,"270 degree VIEWS! Remarkable Design and Execution of this Promontory Dream Estate! Welcome to 6730 Painted Valley Pass, a stunning residence with equally breathtaking views in the prestigious gated community of Promontory, Park City. This elegant home spans 5, 015 square feet, set on a generous 2.6-acre flat lot at the high point of Private Estates; offering seclusion, as well as sweeping mountain & golf course views from its prime, elevated position overlooking the Nicklaus Painted Valley Golf Course. Featuring five sumptuous bedrooms & five beautifully appointed bathrooms, this home comes fully outfitted with high-end furnishings & decor. The interior has been carefully curated with custom wallpaper & exquisite stone finishes, creating an inviting & luxurious ambiance throughout. Huge swaths of glass provide immense natural light into the home, while showcasing views from literally every window in the house. The expansive deck is ideal for outdoor living & entertaining, complete with a Green Egg grill, fireplace, & stylish patio furniture. The lower-level patio includes an additional fireplace, comfortable seating area, & a fenced grassy backyard, perfect for small dogs. Not to be overlooked are the home theatre with dreamy overstuffed leather tiered seating, & the glass enclosed gym space complete with a rubberized flooring system. This home is literally in the heart of Promontory, with its prime location just a short walk to the Beach Club, less than 2 mins to the Nicklaus Compound featuring the Lavender Spa & the Peak Fine dining. Also, its less than 5 mins to the Equestrian gate, or to the Village amenity Compound. Additionally, a Social membership is available for separate purchase, providing access to Promontory's world-class amenities and the ability to play golf 8 rounds per season. Do not miss this opportunity to experience refined mountain living at 6730 Painted Valley Pass, where spectacular views, luxurious finishes, & a prime location come together to create an exceptional home.",2022.0,5.0,5.0,4.0,1.0,3.0,113256.0,5015.0,2.0,2019-11-22,5950000.0,for_sale
single_family,"About the Community : Family and friends make a home feel like home. Parkview at Shoreline is designed to help you gather with loved ones, enjoy quiet time with family, and build lasting memories with the people who matter most. Enjoy spacious kitchens, flexible bonus rooms, storage solutions, and flex spaces built for whatever life throws your way. Plans offer spa-like baths and backyards big enough to keep your little ones busy for hours. The fun doesn?t stop at your front door. Invite friends and family to enjoy the community pickleball courts, parks, pool, and more. There?s no better place to build lasting memories with the people you love than Parkview at Shoreline.",2003.0,3.0,3.0,2.0,1.0,3.0,13939.0,1732.0,2.0,2018-05-31,504990.0,ready_to_build
single_family,"This Beautiful Custom home in the heart of Santa Clara with Red Mountain Views and a Pool. This home has 5 bedrooms and 4 1/2 bathrooms with a Gourmet kitchen, walk-in pantry, 2 office areas, 2 family rooms, 2 laundry rooms, plus a theater room and storage area. You can store all your Toys and Cars in the 5 car garage. RV Parking and a Trampoline is on the right side of the property. Come see this one today.",2006.0,5.0,5.0,5.0,1.0,5.0,16988.0,4899.0,3.0,2016-11-16,1133000.0,for_sale
single_family,"Location is everything, and this home boasts an unbeatable one! Situated directly across the street from the local high school, you'll enjoy the convenience of a short, stress-free commute for your children. Imagine the ease of morning routines and the peace of mind knowing your kids are just steps away from a quality education. Additionally, being in the heart of the city means you're never far from the best dining, shopping, and entertainment options. Everything you need is right at your fingertips, making this home an ideal choice for those who crave both comfort and accessibility.",1965.0,5.0,4.0,4.0,1.0,2.0,11326.0,3942.0,2.0,2018-05-31,525000.0,for_sale
single_family,"This 5-bedroom home features a downstairs guest bedroom and full bathroom, perfect for overnight visitors. Upstairs, find the primary suite, 3 additional bedrooms, laundry room, and plenty of storage.",2003.0,5.0,3.0,3.0,1.0,3.0,13939.0,2781.0,2.0,2018-05-31,528995.0,ready_to_build
condos,"With 3 bedrooms and 2.5 bathrooms, The Sierra Vista two-story townhome offers up style and function in a modern appeal. On the main floor, you and your family can relax in the family room and watch TV to cook and dine in the kitchen and dining nearby, thanks to the open concept design. The kitchen provides a spacious walk-in pantry and additional counter space with a kitchen island for easy prep and cooking. Everything from a coat closet at the entry to the mudroom off the garage, provide additional storage space throughout. You're sure to love all of the upstairs living space, with a loft for turning into a study, lounge, or playroom, to the primary bedroom featuring a spacious bathroom and large walk-in closet including a window. New state-funded Homebuyer Assistance Program from Utah Housing offers up to $20,000 for first-time homebuyers available now!*",2003.0,3.0,3.0,2.0,1.0,2.0,13939.0,1606.0,2.0,2018-05-31,409990.0,for_sale
single_family,"Built in 2002, this well-maintained log cabin affords Strawberry Reservoir lake views and quick access a short distance from the marina. Offered mostly furnished, owners enjoy immediate use of the 1-acre landscaped property and recreational amenities of the Strawberry Reservoir Valley. Ample privacy is afforded with no back-door neighbors and located on a quiet road that offers access to the grouse-hunting common areas. An open floorplan with vaulted ceilings and a loft comfortably provide group entertainment spaces, including an 8-place dining table area, enhanced by the ambiance of a woodburning fireplace. A main-level master suite affords privacy while 2 additional bedrooms sleep up to 12 guests comfortably in beds. Recently remodeled kitchen, appliances and bathrooms! The covered deck has 180-degree water and mountainside views and nearly unmatched privacy! A 32' x 40' detached garage offers equipment and toy storage in addition to the (1) car garage and storage area in the foundation of the cabin. Winter parking is available off HWY 40 and the cabin may be accessed a short distance away by snowmachine. Groomed snowmobile trails to the Marina for a hot meal make winter months fun! Enjoy boating, fishing, hunting, ATV, and truly peaceful relaxation only 75 minutes from downtown Salt Lake and 1 hour from Provo! 30 minutes to Heber City and the airport, and only 45 minutes to Park City! Square footage figures are provided as a courtesy estimate only and were obtained from building plans. Buyer is advised to obtain an independent measurement. NO SHORT-TERM RENTALS; 30+ days min.",2002.0,3.0,2.0,2.0,1.0,5.0,46609.0,2542.0,2.0,2018-05-31,754900.0,for_sale
single_family,"New co-ownership opportunity: Own one-eighth of this turnkey home, professionally managed by Pacaso. Built for year-round fun, Park Avenue is a new construction contemporary in popular Old Town. Just a 5-minute walk from the base of Park City Mountain Resort, the spacious home has a covered deck, a rooftop terrace with hot tub, a theater room and plenty of parking. The inviting great room is bright and comfortable, with a marble-clad fireplace and glass doors to both a balcony and large covered deck. The sleek kitchen features high-end appliances (including a double oven), a large island and a pantry. The adjoining dining area easily accommodates 10. The upper level primary suite is a sanctuary, with its own balcony, a stunning black fireplace and a luxurious en suite bathroom offering two vanities and a tiled wet room with multiple shower heads and a soaking tub. The lower levels have four guest rooms with en suite bathrooms and an office, with an elevator connecting the floors. The rooftop terrace and hot tub feature amazing ski-run views. The home, which has a 2-car garage and driveway parking, is close to the shops and restaurants of charming Main Street. Park Avenue comes fully furnished and professionally decorated.",2022.0,5.0,8.0,2.0,3.0,2.0,3485.0,4929.0,4.0,1998-11-20,1100000.0,for_sale
single_family,"This 4-bedroom floorplan utilizes the first floor for open-concept living and entertaining space. Upstairs, you'll find all of the bedrooms, plus a loft perfect for relaxing.",2003.0,4.0,3.0,2.0,1.0,3.0,13939.0,2371.0,2.0,2018-05-31,528995.0,ready_to_build
single_family,"This 3-bedroom floorplan features plenty of extra room to make your own. Downstairs, find flex space to use as a den or home office. Upstairs, the loft is perfect for watching movies or studying.",2003.0,3.0,3.0,2.0,1.0,3.0,13939.0,2126.0,2.0,2018-05-31,528995.0,ready_to_build
single_family,"Mature home close to Cedar High and located in the desirable Cedar Knolls neighborhood. Well taken care of with gorgeous landscaping, views, and so many options. Exterior access to the basement makes this an ideal rental being so close to SUU. 2 large outbuildings included as well. 2 large living rooms with a wood burning stove in the basement. 1 owner homes are hard to come by, but you will find it here. Move in ready!",1976.0,4.0,3.0,3.0,1.0,2.0,11326.0,3048.0,2.0,2018-05-31,469000.0,for_sale
single_family,"This 4-bedroom home boasts a large upstairs loft, and a downstairs flex space to make your own. The open floorplan with a large great room makes entertaining guests a breeze.",2003.0,4.0,3.0,2.0,1.0,3.0,13939.0,2562.0,2.0,2018-05-31,528995.0,ready_to_build
single_family,"This beautiful custom rambler sits on 1.5 acres and features panoramic views of Corner Canyon, Lone Peak and the Salt Lake Valley. This home feels grand with the 10' ceilings and features main floor living with an office on the main, formal dining, a gourmet kitchen with butler's pantry and an amazing family room. The views from every one of these rooms are simply amazing! Enjoy our favorite music throughout the home with built-in 6-zone Sonos sound system. The dining room walks out the the back deck, giving an indoor-outdoor lifestyle. The home features an over-sized 4 car garage, so you have room for cars, toys and anything else. The basement features 4 bedrooms, another kitchen and an extra large family room that walks out to the private backyard.",2020.0,5.0,4.0,3.0,1.0,4.0,65776.0,6560.0,2.0,2020-12-11,2549000.0,for_sale
single_family,"Nestled on 12.34 acres of natural landscape in the serene and picturesque Teasdale, Utah, this stunning log home offers the perfect blend of rustic charm and modern comfort. With three spacious bedrooms and three well-appointed bathrooms, this residence is ideal for those seeking a tranquil retreat or a luxurious primary residence. The home boasts huge vaulted ceilings that create an open, airy ambiance throughout the living areas. The large windows let in abundant natural light and offer breathtaking views of the surrounding landscape. A huge deck spans the back of the home, providing ample space for outdoor entertaining, relaxing, and soaking in the stunning views. Additionally, a private hot tub offers the perfect spot to unwind after a long day. The oversized kitchen is a chef's dream, featuring modern appliances, ample counter space, and custom cabinetry. It's designed to accommodate both everyday meals and large gatherings. The master bedroom is a true retreat with its own private balcony offering privacy and comfort. The basement has a double glass garage door to store all your toys. This remarkable log home combines the best of rustic and contemporary living, making it a unique find in Teasdale. Whether you're enjoying a quiet evening on the deck, entertaining friends in the spacious kitchen, or exploring the vast acreage, this property promises an unparalleled lifestyle. The property is surrounded by a pristine natural landscape, offering peace, privacy, and the opportunity to enjoy the great outdoors right at your doorstep. Close to great fishing, hunting, ATV trails, and hiking. Don't miss the chance to own this exquisite piece of paradise. Schedule a viewing today and experience the magic of this log home for yourself!",2013.0,3.0,3.0,3.0,1.0,4.0,537530.0,3913.0,2.0,2018-05-31,1050000.0,for_sale
single_family,"Beautiful Providence North Bench Home! Features a wraparound deck with plenty of shade to enjoy valley vistas! Recent upgrades: Roof and Painting. Spacious rooms, three family rooms and an extra kitchen downstairs with a walk-out basement. Large completely fenced yard provides ample space for outdoor activities, making this home a perfect blend of comfort and luxury. Well maintained home with a great amount of storage.",1972.0,4.0,4.0,2.0,1.0,2.0,33106.0,4571.0,2.0,2002-06-20,579900.0,for_sale
single_family,"Nestled in the serene hills of Elk Ridge, this stunning home offers breathtaking mountain and lake views from every angle. The open floor plan seamlessly connects the living, dining, and gourmet kitchen areas, all flooded with natural light from large windows. The master suite is a private retreat with panoramic views, a spa-like en-suite bathroom, and a walk-in closet. You wont run out of space with concrete RV parking and a 3rd car garage. The versatile basement, with its own entrance, kitchen, and living area, can be transformed into a mother-in-law apartment or accessory dwelling unit, perfect for extended family or rental income. Located in the prestigious Elk Ridge community, this home combines luxury living with the beauty of nature. Schedule your private tour today!",1994.0,8.0,4.0,3.0,1.0,3.0,12197.0,4538.0,3.0,2012-03-02,780000.0,for_sale
single_family,"This architectural gem is perched on the east bench with unobstructed city views and meticulous grounds. It is truly one of a kind and was painstakenly remodeled by its current owners. Their unexpected move is your gain. Poliform kitchen, top of the line Sub Zero, Miele appliances with wine grotto and Rhol sink are just a few highlights. The Primary suite is a true retreat. Features a walk-in closet and dressing room, bathroom with bidet, heated floors, soaking tub, Taj Mahal quartzite and large shower. All the tile is imported throughout the home and you will find the Taj Mahal quartzite throughout. Heated driveway, solar panels, 3 car heated garage, awnings and electric blinds. Please refer to the upgrades list for details of finishes. Our clients are moving internationally and the furniture is negotiable. Rimadisio entryway and Pianca dining room table and chairs. Square footage figures are provided as a courtesy estimate only. Buyer is advised to obtain an independent measurement.",1984.0,4.0,4.0,2.0,1.0,3.0,18731.0,4928.0,3.0,2005-03-30,2999900.0,for_sale
single_family,"Enjoy the numerous amenities this property offers, including solar panels on the roof, a 4-stall horse barn with a spacious tack room, and ample acreage for riding. The home features a stunning master suite and a 4-car garage with abundant storage space. Additionally, the fully irrigated land is equipped with both secondary and culinary water systems extending to the barn.",1997.0,6.0,4.0,2.0,1.0,4.0,32670.0,2600.0,3.0,1999-04-13,655000.0,for_sale
single_family,"Welcome to a true architectural gem nestled in one of Utah's most beautiful mountain valleys. Designed in 1967 by the visionary Eugene Haycock, this Mid-Century masterpiece is a testament to innovative design and timeless beauty. Among the many features of this home is its striking silhouette. The roof, a hyperbolic parabola (look it up, you'll be amazed) seemingly floats above the structure. This engineering marvel allows for floor-to-ceiling glass walls, creating a seamless connection between the interior and the breathtaking natural surroundings. Step inside and you're greeted by an abundance of natural light and panoramic views of the mountains that surround you. The open floor plan effortlessly flows from one space to the next, with a custom open staircase serving as the centerpiece of the home. With four bedrooms and three baths, including a spacious primary suite, there's plenty of room for family and guests to unwind in comfort. Outside, the nearly 3/4 acre yard is a lush oasis, dotted with trees from the home's former apple orchard. Many of these trees still produce a rare heirloom variety; there's even an apple storage cooler in the oversized 3-car garage/shop. Rarely does a home of this caliber become available. Don't miss your chance to own a piece of architectural history close to all the natural beauty Utah is known for. Welcome to your Mid-Century masterpiece. Square footage figures are provided as a courtesy estimate only and were obtained from county records. Buyer is advised to obtain an independent measurement. Square footage figures are provided as a courtesy estimate only and were obtained from county records. Buyer is advised to obtain an independent measurement.",1967.0,4.0,3.0,2.0,1.0,4.0,31799.0,2888.0,2.0,2018-05-31,850000.0,for_sale
single_family,"Large Perry Rambler boasts large gathering and living spaces! Heated 5 car garage with 12' and 10' doors. Extra LED lighting. Park your RV inside w/220 power. Additional 220 power in attached shop. EV Charger. Large entertainers kitchen with enormous pantry. All granite. Large island. All SS appliances INCLUDED. Double ovens. Office. Vaulted ceilings and 9' ceilings in basement. Pool Table INCLUDED. AquaAir wet/dry central vacuum system. Huge 20 x 40 COVERED patio. Amazing view lot backs up to mountains - no backyard neighbors - amazing views of the entire valley! Prexos Seris 6 Solar Panels w/Sonnen 10kw battery storage INCLUDED. Utopia fiber internet is PAID - only need to select your ISP. Clean, clean, CLEAN. Well-maintained. One year Equity Home Warranty INCLUDED!",2021.0,3.0,3.0,2.0,1.0,5.0,20909.0,3910.0,2.0,2007-08-02,899900.0,for_sale
condos,"With 3 bedrooms and 2.5 bathrooms, The Sierra Vista two-story townhome offers up style and function in a modern appeal. On the main floor, you and your family can relax in the family room and watch TV to cook and dine in the kitchen and dining nearby, thanks to the open concept design. The kitchen provides a spacious walk-in pantry and additional counter space with a kitchen island for easy prep and cooking. Everything from a coat closet at the entry to the mudroom off the garage, provide additional storage space throughout. You're sure to love all of the upstairs living space, with a loft for turning into a study, lounge, or playroom, to the primary bedroom featuring a spacious bathroom and large walk-in closet including a window. New state-funded Homebuyer Assistance Program from Utah Housing offers up to $20,000 for first-time homebuyers available now!*",2003.0,3.0,3.0,2.0,1.0,2.0,13939.0,1606.0,2.0,2018-05-31,414990.0,for_sale
