age,ed,employ,address,income,debtinc,creddebt,othdebt,default
,2.0,4,3,37.0,6.6,1.15995,1.28205,1
24.0,1.0,0,2,16.0,16.0,1.00864,1.55136,1
27.0,1.0,9,6,45.0,17.8,2.85156,5.15844,1
41.0,3.0,16,22,135.0,4.4,1.2771,4.6629,0
31.0,1.0,11,8,25.0,9.1,0.14105,2.13395,0
41.0,1.0,16,17,68.0,5.4,0.447984,3.224016,0
42.0,2.0,5,3,41.0,3.4,0.35547,1.03853,0
28.0,4.0,1,3,26.0,12.4,0.377208,2.846792,0
30.0,4.0,2,8,25.0,10.0,1.77,0.73,0
30.0,1.0,11,1,33.0,8.4,0.681912,2.090088,0
31.0,1.0,8,4,44.0,8.0,1.72128,1.79872,0
45.0,2.0,15,14,51.0,18.1,1.550808,7.680192,0
43.0,1.0,13,23,76.0,6.1,2.151104,2.484896,1
36.0,1.0,4,10,23.0,16.3,1.327146,2.421854,0
28.0,1.0,8,6,30.0,7.2,0.61344,1.54656,0
27.0,2.0,3,5,33.0,13.2,1.6335,2.7225,0
36.0,3.0,13,3,39.0,19.2,2.800512,4.687488,0
33.0,1.0,12,11,32.0,11.3,2.104512,1.511488,0
54.0,1.0,9,2,28.0,14.8,1.558144,2.585856,1
33.0,1.0,9,4,,13.8,1.348674,2.653326,1
31.0,1.0,9,5,26.0,4.5,0.31005,0.85995,0
21.0,1.0,4,0,26.0,8.9,1.420796,0.893204,0
28.0,3.0,5,9,44.0,8.7,0.773256,3.054744,0
31.0,2.0,2,1,26.0,6.8,0.28288,1.48512,1
32.0,1.0,8,6,26.0,4.1,0.326196,0.739804,0
35.0,2.0,1,8,24.0,12.5,0.591,2.409,1
40.0,2.0,13,11,102.0,18.9,6.226794,13.051206,1
22.0,1.0,4,2,24.0,15.6,1.636128,2.107872,1
39.0,1.0,4,9,38.0,6.5,1.17819,1.29181,0
41.0,4.0,14,3,44.0,1.7,0.353056,0.394944,0
34.0,1.0,16,9,79.0,4.0,1.73484,1.42516,0
29.0,1.0,7,9,22.0,9.7,0.550572,1.583428,0
31.0,1.0,4,10,28.0,11.3,0.291088,2.872912,0
32.0,1.0,1,0,20.0,4.8,0.31488,0.64512,1
,1.0,14,7,73.0,8.8,3.751616,2.672384,0
33.0,1.0,6,14,21.0,7.5,0.567,1.008,0
26.0,1.0,6,0,22.0,10.3,0.720588,1.545412,0
21.0,1.0,1,1,18.0,17.3,0.158814,2.955186,0
28.0,2.0,7,2,34.0,7.0,0.35938,2.02062,0
37.0,1.0,13,5,24.0,8.9,0.602352,1.533648,0
33.0,2.0,2,14,35.0,22.9,2.123975,5.891025,1
39.0,1.0,12,10,46.0,5.0,0.5612,1.7388,0
40.0,2.0,8,19,57.0,5.6,0.8778,2.3142,0
45.0,3.0,16,21,80.0,3.0,0.912,1.488,0
27.0,1.0,10,6,34.0,6.5,0.85085,1.35915,0
28.0,4.0,0,7,29.0,24.2,1.424654,5.593346,0
,1.0,13,9,27.0,8.0,0.96552,1.19448,0
40.0,1.0,14,21,43.0,15.0,2.79285,3.65715,1
27.0,1.0,11,8,,16.9,4.63736,4.82664,0
36.0,1.0,1,4,16.0,9.3,0.433008,1.054992,0
55.0,1.0,19,2,78.0,15.6,4.404816,7.763184,0
27.0,2.0,4,3,22.0,13.2,1.086096,1.817904,1
30.0,1.0,1,8,17.0,11.0,0.74613,1.12387,0
36.0,1.0,10,0,28.0,11.2,0.81536,2.32064,1
31.0,1.0,1,6,21.0,2.5,0.2772,0.2478,1
33.0,2.0,13,2,40.0,7.2,0.18144,2.69856,0
30.0,1.0,4,0,33.0,4.2,0.500346,0.885654,0
24.0,1.0,1,0,18.0,5.9,0.23895,0.82305,1
33.0,4.0,9,10,28.0,4.3,0.376852,0.827148,0
,1.0,8,27,47.0,6.9,0.398889,2.844111,0
31.0,2.0,6,6,32.0,23.1,3.341184,4.050816,1
28.0,1.0,3,7,19.0,4.1,0.260965,0.518035,0
,3.0,8,10,88.0,6.1,0.284504,5.083496,1
48.0,4.0,3,23,45.0,9.8,0.97461,3.43539,0
36.0,2.0,0,17,30.0,9.7,0.32883,2.58117,0
29.0,3.0,7,1,63.0,5.5,0.571725,2.893275,0
40.0,3.0,17,11,116.0,6.0,2.56128,4.39872,0
33.0,1.0,7,6,26.0,6.0,0.54288,1.01712,0
26.0,2.0,6,6,30.0,1.0,0.1437,0.1563,0
36.0,1.0,14,11,81.0,7.2,1.784592,4.047408,0
26.0,2.0,6,0,35.0,1.9,0.085785,0.579215,0
40.0,3.0,16,6,116.0,12.1,1.61414,12.42186,0
44.0,1.0,5,3,48.0,9.0,1.96992,2.35008,1
29.0,3.0,1,10,30.0,4.5,0.27945,1.07055,0
35.0,3.0,5,3,37.0,5.4,0.581418,1.416582,1
34.0,,16,3,75.0,10.4,3.9546,3.8454,0
34.0,3.0,12,8,47.0,6.7,1.300537,1.848463,0
46.0,1.0,14,25,35.0,10.2,1.34946,2.22054,0
41.0,2.0,21,22,145.0,12.2,3.23727,14.45273,0
,2.0,7,8,30.0,4.0,0.4476,0.7524,1
27.0,4.0,0,6,70.0,8.0,1.6184,3.9816,1
28.0,1.0,11,6,24.0,2.4,0.107136,0.468864,0
48.0,3.0,0,27,19.0,10.8,0.849528,1.202472,0
48.0,3.0,17,26,113.0,12.0,3.37644,10.18356,0
29.0,3.0,5,6,70.0,19.9,3.17604,10.75396,1
43.0,2.0,9,5,60.0,20.4,4.0392,8.2008,1
23.0,1.0,5,2,17.0,7.9,0.302175,1.040825,0
29.0,2.0,10,8,44.0,18.1,3.70326,4.26074,0
40.0,4.0,5,6,75.0,1.9,0.884925,0.540075,0
22.0,2.0,0,3,20.0,5.6,0.2072,0.9128,0
23.0,1.0,7,3,22.0,14.4,0.849024,2.318976,0
46.0,3.0,9,10,60.0,15.3,1.6065,7.5735,0
55.0,1.0,3,11,40.0,8.0,0.5632,2.6368,1
38.0,2.0,8,16,38.0,0.6,0.029412,0.198588,0
35.0,2.0,5,1,33.0,2.8,0.103488,0.820512,0
30.0,1.0,11,9,27.0,0.9,0.073872,0.169128,0
24.0,1.0,7,0,18.0,6.5,0.5265,0.6435,0
,2.0,4,3,28.0,9.5,0.2261,2.4339,0
32.0,2.0,2,11,15.0,9.1,0.118755,1.246245,1
37.0,2.0,11,4,75.0,3.5,0.632625,1.992375,0
39.0,1.0,6,19,42.0,19.9,2.540832,5.817168,1
30.0,,4,4,21.0,18.3,0.491904,3.351096,0
30.0,1.0,10,11,39.0,9.5,2.056275,1.648725,0
32.0,2.0,7,10,32.0,4.3,0.43344,0.94256,0
54.0,3.0,21,20,118.0,14.4,9.60048,7.39152,0
27.0,3.0,3,4,35.0,13.3,1.60132,3.05368,0
31.0,1.0,12,4,31.0,23.7,2.05716,5.28984,0
39.0,1.0,15,16,39.0,1.8,0.139698,0.562302,0
31.0,1.0,5,3,25.0,14.1,1.17735,2.34765,0
35.0,1.0,15,11,40.0,18.5,1.2136,6.1864,0
35.0,2.0,10,16,98.0,13.3,4.874716,8.159284,0
46.0,2.0,22,17,144.0,11.1,3.324672,12.659328,0
33.0,1.0,13,3,52.0,21.3,2.71362,8.36238,1
,2.0,13,3,105.0,1.9,1.418445,0.576555,0
35.0,2.0,1,1,21.0,7.9,0.369957,1.289043,0
38.0,1.0,5,13,21.0,9.0,0.44982,1.44018,0
41.0,1.0,19,1,,7.8,2.253888,5.234112,0
38.0,1.0,18,19,44.0,4.5,0.60588,1.37412,0
34.0,3.0,2,14,39.0,13.2,1.142856,4.005144,0
51.0,3.0,16,25,82.0,4.4,2.604976,1.003024,0
34.0,2.0,10,2,33.0,9.5,0.573705,2.561295,0
47.0,1.0,15,1,30.0,24.5,2.21235,5.13765,0
34.0,2.0,8,6,78.0,5.4,2.156544,2.055456,0
27.0,2.0,8,7,18.0,11.9,0.400554,1.741446,0
52.0,1.0,9,11,24.0,19.2,0.801792,3.806208,1
39.0,1.0,9,6,35.0,5.0,0.23275,1.51725,0
33.0,1.0,7,0,22.0,6.4,0.630784,0.777216,0
34.0,1.0,0,1,21.0,7.2,0.187488,1.324512,0
31.0,3.0,9,7,59.0,14.6,3.109654,5.504346,1
28.0,1.0,2,9,16.0,15.2,0.870656,1.561344,0
39.0,1.0,19,16,45.0,3.7,0.91575,0.74925,0
51.0,2.0,22,23,120.0,7.6,4.14048,4.97952,0
22.0,1.0,4,1,16.0,1.2,0.08448,0.10752,0
27.0,3.0,6,4,26.0,10.4,0.930176,1.773824,0
32.0,1.0,16,10,38.0,21.0,0.69426,7.28574,0
28.0,2.0,6,7,38.0,7.2,0.774288,1.961712,0
27.0,2.0,1,0,20.0,10.3,0.37698,1.68302,1
26.0,2.0,2,6,24.0,13.6,1.576512,1.687488,1
32.0,1.0,14,0,,2.4,0.273024,0.590976,0
30.0,1.0,0,11,17.0,3.7,0.44659,0.18241,1
39.0,1.0,13,1,38.0,8.9,1.897302,1.484698,0
31.0,1.0,11,6,,4.8,0.345408,0.998592,1
34.0,1.0,15,2,39.0,24.7,4.373382,5.259618,1
31.0,1.0,8,3,41.0,12.6,0.134316,5.031684,0
29.0,2.0,1,7,25.0,10.4,0.5694,2.0306,0
29.0,1.0,9,0,25.0,13.9,1.0703,2.4047,0
35.0,2.0,9,16,30.0,7.6,0.6498,1.6302,0
29.0,1.0,11,7,32.0,6.0,0.92736,0.99264,0
38.0,2.0,2,16,22.0,22.7,1.208548,3.785452,1
35.0,1.0,16,15,36.0,3.4,0.178704,1.045296,0
29.0,1.0,11,5,36.0,6.1,0.709308,1.486692,0
23.0,2.0,3,4,34.0,4.4,0.2618,1.2342,0
33.0,,9,8,32.0,5.5,0.49632,1.26368,0
51.0,2.0,19,25,159.0,2.8,1.06848,3.38352,0
24.0,1.0,4,2,21.0,2.6,0.099372,0.446628,0
31.0,1.0,10,12,49.0,9.8,3.236548,1.565452,1
45.0,1.0,10,14,52.0,5.4,0.932256,1.875744,0
29.0,1.0,3,1,17.0,9.0,0.46971,1.06029,0
34.0,1.0,0,10,20.0,17.1,2.04858,1.37142,0
25.0,2.0,4,5,27.0,5.0,0.54945,0.80055,1
37.0,1.0,20,2,56.0,1.9,0.54264,0.52136,0
47.0,1.0,29,18,129.0,25.3,20.56131,12.07569,1
43.0,2.0,6,24,54.0,9.6,0.62208,4.56192,0
47.0,1.0,22,19,81.0,5.5,1.50579,2.94921,0
24.0,1.0,6,2,21.0,5.2,0.108108,0.983892,0
27.0,3.0,5,1,75.0,6.3,2.206575,2.518425,0
25.0,1.0,9,4,18.0,1.2,0.06588,0.15012,0
36.0,3.0,11,12,44.0,14.7,0.446292,6.021708,0
,1.0,16,20,57.0,19.4,1.559178,9.498822,0
26.0,1.0,10,1,25.0,7.1,1.3064,0.4686,0
41.0,1.0,4,19,25.0,10.1,1.0605,1.4645,0
39.0,,19,15,60.0,27.1,9.5934,6.6666,1
37.0,1.0,18,8,54.0,12.1,4.593402,1.940598,0
29.0,1.0,2,0,14.0,14.4,0.586656,1.429344,1
42.0,1.0,6,9,31.0,11.6,1.02486,2.57114,0
31.0,4.0,1,6,29.0,11.1,1.065489,2.153511,0
36.0,1.0,4,15,17.0,17.3,0.520557,2.420443,0
39.0,1.0,16,4,52.0,20.0,4.16,6.24,0
23.0,4.0,0,2,23.0,6.7,0.468464,1.072536,0
39.0,1.0,4,15,33.0,7.0,0.39732,1.91268,0
27.0,3.0,4,1,40.0,3.1,0.28396,0.95604,1
24.0,1.0,8,4,24.0,5.0,0.3816,0.8184,0
27.0,3.0,3,4,45.0,11.0,0.29205,4.65795,1
41.0,1.0,16,22,49.0,1.6,0.4312,0.3528,0
38.0,1.0,0,8,23.0,8.1,0.897966,0.965034,1
40.0,2.0,5,12,35.0,16.4,1.58424,4.15576,1
54.0,1.0,25,12,120.0,26.5,14.5962,17.2038,1
40.0,1.0,12,6,89.0,17.4,2.771994,12.714006,0
40.0,1.0,2,4,32.0,3.7,0.853664,0.330336,0
29.0,1.0,1,8,31.0,8.0,0.15624,2.32376,0
30.0,1.0,8,6,23.0,12.0,0.76176,1.99824,0
29.0,1.0,1,1,18.0,1.1,0.029898,0.168102,0
29.0,3.0,3,3,,2.4,0.2592,0.9408,1
28.0,4.0,2,4,41.0,2.5,0.4592,0.5658,1
28.0,4.0,0,5,38.0,10.4,0.636272,3.315728,0
39.0,2.0,16,9,89.0,14.3,5.001711,7.725289,0
32.0,1.0,11,2,53.0,3.3,0.089199,1.659801,0
36.0,2.0,7,16,43.0,15.4,2.6488,3.9732,0
39.0,1.0,20,12,39.0,8.2,0.773916,2.424084,0
28.0,3.0,6,8,47.0,19.8,5.574294,3.731706,1
28.0,1.0,4,2,28.0,14.2,0.43736,3.53864,1
46.0,1.0,6,19,31.0,12.2,1.98555,1.79645,0
30.0,,4,8,15.0,6.5,0.350025,0.624975,0
39.0,2.0,15,19,32.0,4.9,0.421792,1.146208,0
40.0,3.0,5,3,220.0,16.0,8.1664,27.0336,1
44.0,2.0,18,4,74.0,13.4,4.521696,5.394304,0
30.0,1.0,0,8,19.0,16.6,0.624492,2.529508,1
24.0,2.0,3,0,19.0,4.3,0.358663,0.458337,0
32.0,1.0,10,13,32.0,11.3,1.167968,2.448032,0
29.0,2.0,3,8,15.0,2.6,0.14664,0.24336,0
40.0,2.0,2,1,36.0,3.8,0.277704,1.090296,0
41.0,2.0,8,21,43.0,0.7,0.085785,0.215215,0
22.0,1.0,1,3,,18.6,0.80631,2.35569,0
,1.0,10,8,34.0,1.2,0.036312,0.371688,0
37.0,2.0,6,13,62.0,8.5,1.18575,4.08425,0
41.0,3.0,18,6,71.0,15.7,6.565583,4.581417,1
41.0,3.0,7,6,56.0,14.5,0.37352,7.74648,1
39.0,1.0,2,15,22.0,23.1,1.915914,3.166086,1
24.0,2.0,0,2,15.0,16.1,0.321195,2.093805,1
32.0,3.0,9,10,51.0,23.0,2.68617,9.04383,0
21.0,3.0,0,1,26.0,7.7,1.529528,0.472472,0
29.0,1.0,13,7,27.0,2.3,0.068931,0.552069,0
35.0,2.0,14,3,82.0,0.8,0.468384,0.187616,0
29.0,1.0,6,7,21.0,18.1,1.109892,2.691108,0
41.0,,2,22,30.0,6.7,0.11256,1.89744,0
37.0,1.0,0,18,18.0,12.9,1.583604,0.738396,1
32.0,2.0,3,13,47.0,1.9,0.42864,0.46436,0
36.0,5.0,5,12,20.0,8.1,0.729,0.891,0
39.0,2.0,18,9,44.0,2.1,0.367752,0.556248,0
36.0,1.0,18,9,67.0,11.2,5.245296,2.258704,0
46.0,3.0,22,4,99.0,2.3,0.826551,1.450449,0
34.0,1.0,13,11,51.0,9.6,1.875168,3.020832,0
27.0,1.0,7,4,,9.1,0.641186,1.724814,0
43.0,1.0,8,11,45.0,3.3,0.67716,0.80784,0
33.0,1.0,14,8,72.0,41.3,15.01668,14.71932,1
39.0,2.0,20,17,101.0,1.4,0.340774,1.073226,0
29.0,1.0,1,4,17.0,2.5,0.13175,0.29325,0
34.0,4.0,7,15,40.0,6.4,0.94976,1.61024,0
26.0,1.0,1,0,21.0,4.9,0.608139,0.420861,0
31.0,1.0,15,2,60.0,4.8,0.80352,2.07648,0
26.0,1.0,10,6,24.0,2.7,0.31104,0.33696,0
28.0,1.0,12,7,45.0,7.7,1.853775,1.611225,0
48.0,1.0,13,20,50.0,30.8,6.1138,9.2862,1
39.0,2.0,2,12,46.0,16.0,4.00384,3.35616,1
37.0,1.0,3,3,25.0,3.7,0.27565,0.64935,0
52.0,5.0,9,0,70.0,9.4,1.32916,5.25084,1
48.0,1.0,3,11,27.0,21.3,1.403244,4.347756,0
26.0,1.0,7,3,22.0,5.1,0.208692,0.913308,0
46.0,5.0,15,0,126.0,3.1,0.476532,3.429468,0
31.0,,7,10,23.0,4.9,0.2254,0.9016,0
34.0,1.0,13,8,56.0,6.1,0.864248,2.551752,0
40.0,1.0,22,4,95.0,3.6,0.6327,2.7873,0
24.0,3.0,2,5,,6.4,0.270336,0.753664,1
33.0,1.0,2,14,44.0,3.1,0.52514,0.83886,0
53.0,4.0,5,29,78.0,17.3,6.935916,6.558084,1
47.0,3.0,9,1,,20.1,2.539836,7.912164,1
35.0,1.0,5,5,32.0,13.0,0.17472,3.98528,0
34.0,1.0,14,8,28.0,17.0,1.13764,3.62236,0
49.0,1.0,11,5,,10.1,2.457936,1.481064,0
26.0,2.0,0,7,28.0,9.3,1.270752,1.333248,0
23.0,1.0,2,2,16.0,9.6,0.804864,0.731136,1
23.0,2.0,0,4,21.0,8.7,0.454923,1.372077,0
38.0,2.0,4,13,56.0,1.6,0.441728,0.454272,0
28.0,2.0,5,2,37.0,8.3,1.123986,1.947014,0
30.0,3.0,0,8,65.0,29.7,3.89961,15.40539,1
34.0,1.0,18,10,34.0,15.4,2.099636,3.136364,0
50.0,2.0,16,14,71.0,11.1,1.662891,6.218109,0
29.0,1.0,12,2,40.0,6.7,1.63212,1.04788,0
42.0,3.0,0,9,64.0,6.6,0.278784,3.945216,0
31.0,1.0,13,12,27.0,5.0,0.2376,1.1124,0
39.0,1.0,10,4,31.0,4.8,0.184512,1.303488,0
45.0,2.0,21,26,132.0,3.0,2.55816,1.40184,0
45.0,1.0,22,24,91.0,11.7,1.256346,9.390654,0
36.0,1.0,14,17,53.0,5.7,1.888125,1.132875,0
25.0,4.0,0,6,,12.1,1.5972,1.3068,1
29.0,2.0,1,7,29.0,21.2,2.330092,3.817908,1
30.0,2.0,8,4,56.0,6.4,0.333312,3.250688,0
31.0,1.0,1,1,,4.5,0.21708,0.86292,0
43.0,1.0,4,2,29.0,4.6,0.05336,1.28064,0
32.0,2.0,11,4,57.0,23.8,5.439966,8.126034,1
47.0,1.0,19,7,50.0,30.1,3.17555,11.87445,0
46.0,1.0,1,15,21.0,14.8,1.376844,1.731156,1
43.0,2.0,16,10,83.0,4.1,0.258628,3.144372,0
48.0,1.0,3,7,24.0,7.0,0.7644,0.9156,0
30.0,3.0,8,7,61.0,2.8,0.549976,1.158024,0
23.0,4.0,0,4,32.0,18.4,0.818432,5.069568,1
36.0,4.0,8,0,32.0,1.6,0.024576,0.487424,0
20.0,,0,1,17.0,2.3,0.043792,0.347208,0
43.0,1.0,16,7,89.0,0.4,0.159488,0.196512,0
23.0,1.0,2,1,25.0,4.5,0.12375,1.00125,1
41.0,1.0,21,2,76.0,20.5,6.94868,8.63132,0
34.0,1.0,12,5,,25.1,7.817144,9.250856,1
50.0,1.0,11,5,36.0,4.8,0.834624,0.893376,0
40.0,1.0,9,4,64.0,6.6,0.789888,3.434112,0
29.0,2.0,0,8,22.0,12.9,1.038708,1.799292,1
,2.0,9,16,56.0,18.7,4.76476,5.70724,0
24.0,2.0,1,2,42.0,5.7,0.8379,1.5561,0
27.0,1.0,0,5,16.0,1.1,0.130416,0.045584,0
40.0,3.0,18,14,157.0,6.6,3.326202,7.035798,0
32.0,2.0,8,2,45.0,3.7,0.98235,0.68265,0
39.0,2.0,16,12,53.0,3.7,0.694194,1.266806,0
40.0,1.0,22,1,100.0,14.6,5.402,9.198,0
