State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Meghalaya,60,74,85,100,117,135,156,190,225,259,311,368,410,483,457,580,617,685,815,928,1080,1157,1205,1314,1596,1674,1908,2254,2682.77,3182.38,4012.72,4834.81,4999.53,5551.59,9902.78,7621.48
Mizoram,–,–,–,–,–,132,46,246,231,240,305,321,374,419,464,565,621,662,691,894,1022,1128,1131,1288,1394,1588,1717,1908,2313.8,2702.69,3400.44,4875.66,4508.91,4916.98,6268.51,6091.29
Nagaland,92,101,128,165,163,204,263,328,344,393,422,489,527,680,722,845,865,1004,1049,1180,1420,1451,1506,1813,1685,2061,2222,2572,2889.53,3252.42,4187.82,4875.66,5601.39,5750.35,7605.56,8661.62
Odisha,541,574,825,783,897,1001,1248,1408,1659,1846,2191,2635,3049,3482,4036,4698,5117,5537,6819,8459,8829,9878,10015,10861,12372,13604,15772,17723,24568.99,25291.59,29367.94,34660.23,38237.55,45617.75,60272.15,65838.99
Punjab,550,620,684,820,941,1163,1202,1634,1868,2021,2520,4197,3423,4044,6043,5635,6926,7835,8384,10195,11713,12710,14825,15702,17198,18208,18544,23061,24568.99,27407.94,32897.18,33045.32,39457.94,41640.67,48982.74,52623.2
Rajasthan,688,823,955,1099,1303,1508,1867,2539,2571,2698,3480,4080,4997,5898,6747,8332,8426,8986,11576,13430,15035,15949,17016,18848,19906,21499,24954,29128,34295.6,40132.2,44873.35,53653.31,63461.79,75509.59,100887.94,110804.85
Sikkim,30,32,36,49,59,78,81,99,113,115,128,155,180,189,526,881,1119,1258,1496,1510,763,1664,1883,1181,1723,1768,1888,2349,2293.61,2738.05,2907.53,3230.14,3012.35,3457.96,4895.44,4258.51
Tamil Nadu,1152,1360,1576,1911,2210,2450,2776,3375,3763,4731,5641,8680,8543,8758,9635,10911,13065,14951,17697,20728,21752,21557,25688,25271,29155,32009,38265,42975,53590.26,59375.35,72916.3,83838.04,97067.44,109824.67,136725.38,147297.35
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,79809.76,93600.21
Tripura,87,91,109,140,146,190,232,294,381,420,497,548,550,643,706,787,907,1060,1176,1461,1734,1813,1961,2062,2183,2392,2483,2794,3129.45,4213.79,4359.34,4809.08,5212.88,5948.96,8303.07,9125.55
Uttar Pradesh,1716,1906,2364,2761,3292,3702,4349,5080,6257,7654,9539,10399,12691,13280,15396,17556,19208,22195,26075,28748,31033,31780,32939,50221,44610,46617,55699,65223,75968.89,89373.6,107675.61,123885.17,140723.64,158146.87,191590.23,215756.18
Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,914,2833,3676,4362,5036,5611,6477,7255,8395.36,10657.48,11621.08,12975.33,13960.22,16216.41,24352.48,25739.33
West Bengal,1115,1312,1622,1739,2151,2260,2698,3028,3475,3971,5128,5324,5664,6906,7631,8626,10362,11322,14243,19498,22104,23395,23161,25757,28146,31117,34161,38314,51613.33,58499.87,64538.19,73326.37,82110.88,91797.27,106827.98,113100.22
Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,508,1431,1877,2032,2322,2840,3523,3697,5044,4598,5087,5827,6515,7755,9771,11762.55,13900.88,14381.73,17964.86,20659.36,22366.52,26037.78,30402.09
Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1794,1927,2201,2570.47,3083.48,3540.17,3222.23,3051.19,4482.74,5055.22,5598.33
