Age,Salary,Savings,Investment_Return,Years_to_Retirement,Expected_Retirement_Expenses
38,109026,47851.21484419677,0.06477507558703519,8,129207.58323642345
41,145893,43937.589945298845,0.02842073481576099,11,160471.00991817514
60,141255,41381.729711498265,0.03338877865109024,33,110434.64276924798
64,140616,9194.1061028853,0.0977620205197273,38,165916.82735249258
28,97526,48178.998821040645,0.038278939740381664,27,95270.39124243635
26,100835,10621.64266513821,0.09819616943922944,20,116805.8004617699
30,75765,11668.48511103629,0.06255301652194108,12,76194.05836849462
28,49956,3659.955240556975,0.03086312376511497,31,39182.65774683883
53,117895,39848.66739885708,0.027944176220295436,27,96911.42476429036
42,76240,11521.047979578705,0.0367091256564592,32,70924.7809717969
50,67148,8796.703384938299,0.09405098640202687,10,72117.54994863777
58,124270,11165.661103139993,0.053132017946258145,3,98271.41499303805
34,34757,3353.6692402417357,0.051634741439433154,27,32944.02968479567
60,49097,15372.3598208334,0.04505650088561392,35,39639.69018577235
38,40395,14529.820533756503,0.03176494804532707,31,44008.803060141094
55,46241,10580.890812512065,0.05902809577539252,15,40693.78427035428
39,133892,35609.07102183664,0.030403822600891098,16,86498.74363979191
32,57696,20694.717522873412,0.08683841891058622,13,40365.93976763923
38,145654,8421.846181854133,0.04963175890202452,35,92732.48355448195
47,100480,19634.675790089714,0.04998428542254371,11,90389.97600931163
64,76163,37159.469703826806,0.05792051427865247,21,50557.18054675982
45,49816,15495.291875529247,0.055530217053260125,11,33301.19802667718
40,79840,13125.780706557138,0.09958863784474573,30,92983.9758488784
42,132547,37746.53862117056,0.0636304896974642,35,148928.8871110318
48,82853,16918.09125307699,0.027056136303189655,22,72185.83848336726
50,54917,15899.03412311824,0.0685501873261544,38,65432.68248307845
49,126731,13507.456389745787,0.0321267434295904,31,76052.78334095779
53,51566,5657.903727480187,0.02247501157850736,14,49935.878785316294
39,105452,12084.173122800126,0.09765937229417986,24,102273.35049613105
25,92823,43897.75164571135,0.08188311132276511,32,81170.54206500638
49,50806,19296.348100362597,0.09840871939310136,36,42584.003227739806
31,105520,12986.541886145646,0.058230275841779394,32,92143.21707354822
33,31759,4279.7503480902815,0.06258060249191809,15,26962.637093672744
48,71949,27259.552449368104,0.033466956473530415,35,74704.32195742437
25,122374,14718.377454168873,0.03975259413340684,3,83362.7915996524
32,32482,5052.6589685458575,0.08708393719222626,16,23341.030297944653
48,54442,26323.037722583675,0.04849485176940753,5,38561.864034084196
35,63719,10506.494402126928,0.08614519790371353,21,48266.01792800511
41,88066,30623.591555503437,0.07672109794296254,10,80594.04474505135
32,123501,60562.92418136381,0.03417367402174924,19,82341.23490301041
59,32079,7007.129696884834,0.06059570928957937,25,35957.40169486736
59,32717,1893.7318028653406,0.07419098572149735,4,25467.46633189157
57,89676,14336.168587162576,0.03880297718430601,29,62551.053938546305
29,57952,24565.54774668553,0.08645508084160615,19,58263.36368030243
63,116444,51127.53008227673,0.06358621260361494,2,72527.35271219228
52,72460,28682.110919027262,0.03321936403540826,10,70429.75332646916
31,120397,12147.987299312974,0.06663875409316819,25,122674.79787489511
33,102847,41959.48483903699,0.09997710433247313,20,74970.31230211793
32,123607,57280.10290383924,0.032041719333073086,19,77276.43193568838
36,119106,38146.590078530404,0.08534055440956226,23,97451.00647167597
58,48449,22935.461562650307,0.03658472025500464,24,31935.475116594946
57,63536,26817.11589198303,0.08259106635680699,11,42561.921994107084
47,94077,32939.85573177911,0.07876623384971305,34,70798.28032238311
48,68258,21141.779449361726,0.044039150848034586,28,53055.629759503994
61,78302,16197.406881571347,0.046065849405155984,5,71879.84258559556
59,58865,7162.654958897976,0.08340171135703353,5,59279.12300408092
64,36645,11808.091423647691,0.056915640950985016,21,35020.25467691275
46,149771,28928.298473622723,0.0784654422969447,12,103194.64564571294
51,68000,29913.02322634595,0.031838731789266786,4,47821.11012406716
59,56737,28198.381016712425,0.08820462255212429,20,63957.43855530036
25,41485,16120.75957944816,0.07687077733458553,38,38788.94747426085
59,68565,6219.994846810486,0.09255542470678672,25,76927.37250757802
61,55522,9988.88073577344,0.030589790322797798,14,45690.60324090124
38,149614,14826.647801150397,0.06744116002884781,11,144922.10562709803
27,95155,32612.496130529318,0.06792964680322601,32,86990.5154128059
25,85168,33584.79899861918,0.0482768592437426,11,67408.26562861749
29,82487,38484.61289868577,0.05667731396554063,18,72749.3455757611
50,42342,10465.992071299373,0.023038525063188278,27,38171.08122396357
38,70806,32260.561910141725,0.07966880309016096,18,51013.07378317283
63,78770,35056.66896895842,0.06394579835225392,23,62150.020219269085
51,108623,20935.787653993553,0.024619284149533904,11,116752.98079759152
33,133177,58731.76037342748,0.07446047143683884,21,153083.35821946937
39,129785,28429.730444711447,0.057342566178495036,5,105888.525858466
39,105629,19392.552071137554,0.022756900754,23,82832.50511847383
50,82603,28257.131318176962,0.09756861814784763,25,59236.12283107873
37,142726,28227.142609006736,0.09592897144715525,10,143738.59832209372
56,111974,37353.847473433416,0.06103219329177581,22,88891.65959663187
63,135947,44104.51200795896,0.027493793656472816,19,162137.15195515042
56,56399,17119.776428586578,0.08036969772788735,1,44860.37829096294
28,115382,25521.2138412049,0.05935448800845833,7,96514.92320992392
54,111244,33019.9863659286,0.04419579826315039,4,107016.78559404696
61,139575,44443.2570769906,0.05931345420228454,1,150882.05113330582
47,145520,43009.76020623758,0.06179553163243716,15,128306.61370865797
63,140904,35224.415356704885,0.06501693592178713,12,120274.75547099962
39,106534,6029.843114915001,0.05529789709242612,22,127561.9685785136
53,85106,26738.41316302637,0.06846042425112453,22,51599.443093713664
60,142599,17938.95039463501,0.0934987768485102,17,162140.64907493928
37,60678,20579.501089699905,0.048981446967887296,29,41836.54022182283
56,106218,41606.11612048994,0.07805731705759593,14,113818.446593015
31,93230,25656.93227661656,0.09155620454593857,20,90503.85559468222
46,144684,42546.305026767805,0.05647834206079495,33,116486.29959300355
52,104055,49755.49568672012,0.05547646691055233,15,116991.63509804374
26,86373,37246.22392672501,0.06816935882838236,12,52492.70160144133
30,61480,28367.267450313368,0.06731254075379905,20,45250.16477373978
52,115230,47958.13023137968,0.08452714738610216,30,108331.83414710042
52,98836,9786.073955643598,0.05811867070226341,38,80148.61848856317
44,102258,11968.924143510078,0.0996898359711553,3,98804.38914975693
54,69986,20084.63188404943,0.02475772550938246,28,43004.025597539374
35,54160,8705.209724224813,0.02025342788645614,26,36280.44940493373
52,115595,30576.376046822257,0.0712158649247699,30,78172.01393283029
49,131358,29879.26809275888,0.04387479298895014,13,93733.1526961411
63,109111,32431.761636223335,0.03923059109595871,13,95537.46770231282
57,94929,36651.52418567588,0.04495192640034244,2,99796.695191383
25,103506,38501.220823597876,0.040483805208396346,37,118340.8217752013
51,64911,18470.77294818999,0.022463203972835827,38,71481.51978796841
37,117127,49202.3632846035,0.0977226433912471,2,84112.73145448229
27,61821,15077.39641243774,0.03765963907622254,36,53456.02097366995
63,105039,47637.43753073247,0.0787223810071445,26,75590.99689017524
30,90535,7430.76166224992,0.08100771157553402,11,68687.37355317846
32,143453,68799.63037976563,0.09434059184057834,8,129412.99508329475
51,114458,39443.587321511164,0.022443956567470398,22,73352.17365108297
33,42175,9322.089086491986,0.08976386707576062,20,30825.901410357776
61,149235,20701.783235596507,0.06217809446718402,8,173295.69594160057
57,84771,22517.928694423535,0.07060352879726624,29,74570.48654697166
48,136660,18797.753200926454,0.0715576221696827,26,118515.9135840816
39,116925,14597.995455915105,0.08558382439877821,30,71176.95874157597
56,143374,46999.18589029749,0.04667258577272884,17,107306.81480084595
56,96358,27499.429051063227,0.07864409518879947,20,107899.32392782261
48,47327,16637.485763514414,0.06228624877777576,16,33071.021774518806
36,77057,36087.5380434278,0.08347152114442782,7,65427.1694794362
63,36150,10466.043020492836,0.09924368262161068,16,22000.837348255256
26,34425,10720.613670107316,0.0360520813923009,27,30535.019373905332
27,46032,4158.155839791133,0.09957189132479984,23,28199.786150892734
61,32198,12007.796665608725,0.027184972342621922,24,35152.67303376757
41,90500,20811.139547099265,0.02018540383238511,9,99089.55957454971
26,83394,40823.5610488622,0.0235329548942265,35,89452.18323077269
26,50079,21054.62918715678,0.04734259237894094,20,38561.753523598985
52,66220,18880.41252633981,0.07063250645427474,37,72997.10915438928
47,71874,7579.1272706866175,0.02552236327102797,17,66540.86866972267
61,43859,19154.85277487201,0.020453265162365383,31,36152.309908078714
56,80460,32980.67412201755,0.09496728227670359,8,78464.42913468154
57,61419,8172.615331965763,0.08575413087519437,15,37306.18482478926
25,148865,27223.721136151657,0.08473465369112249,31,102088.12262642158
43,38705,15754.222566975419,0.09075394204015817,30,40461.28283692801
26,72880,9718.752132968846,0.07600274182176835,20,54404.69882593994
50,53236,24647.662181087348,0.028352330379846517,39,51042.96802206799
56,117955,28431.55959756659,0.05192801504589785,12,98027.86650959427
30,115514,10300.09842595786,0.07785195891717037,17,128553.62083933073
56,133145,55533.03391271987,0.042426756863321674,30,155972.60155015386
28,45358,9891.643491464833,0.07499250913089901,29,51260.83736964905
35,129713,37217.855487071225,0.02195987586141219,19,98889.5588230143
41,124914,12558.473195002365,0.04449098727036746,11,89500.59637441339
62,132870,6798.002123603765,0.06393042690217382,34,117544.89858923222
48,106918,36041.346004853505,0.07056718636049938,7,64621.291643461635
29,149179,42042.94253084709,0.06616325315695287,34,91817.53165076196
58,146243,46372.537433924386,0.07582050208587436,20,136294.72980623183
30,44596,18158.810338206276,0.020487099859187126,38,40683.576976893055
46,63572,21676.31400765313,0.02807529599820172,24,76079.73972416973
35,108757,13991.375894709678,0.08951554018233161,10,78425.22749319373
40,31279,6642.021631367204,0.0745398915272129,32,23611.339680126173
57,93197,42651.69998180721,0.029034531414880903,15,62267.188345729766
33,141496,56099.6428880652,0.08736595499188635,37,162794.79941637974
30,92516,27799.825323432997,0.03937849742596536,20,98685.59105539082
40,37083,6120.18755419256,0.05826079073561788,3,40546.68076209256
53,139397,25917.69749841922,0.03161572103077282,37,159143.73825053318
27,47771,18123.415980985006,0.07680880451373653,8,43707.59835952801
44,59975,25970.87933259022,0.07334835368114143,23,52221.18699435429
60,75648,26638.770030293363,0.0368889976932909,11,60384.87251991393
43,78285,32432.574368864607,0.08907206134856015,8,74646.99965053312
50,49063,19379.652482601883,0.05210448193757697,29,42810.75658901944
27,97642,11459.92767766397,0.04340120728565934,30,85040.26020440494
43,120093,28915.41198773873,0.03218636715716284,10,139566.88676343817
44,144390,17159.698950736274,0.041293441001243,39,171884.58620805814
56,116143,18101.584936545616,0.02176215369790536,28,125189.4518579433
31,67599,29822.436615053928,0.06666059939648925,36,71253.05408556126
57,81920,21528.689421101626,0.08737845970751584,13,82602.79476776639
64,58529,17026.738454237096,0.06391843595533135,32,40949.517019336934
63,65954,8593.851335784619,0.03754191695391006,36,41911.35918601975
42,57856,11022.858404137614,0.022693534257109817,37,58691.197012315766
64,32573,5003.563799890454,0.03717024586070423,26,33787.052170538074
25,108344,15469.765213862978,0.05328971424568739,22,68059.94504852212
35,65367,22034.062429508256,0.08076891429598372,4,75618.57525432548
52,132337,21914.706985650933,0.03502742820302193,31,86638.96728131417
49,136732,45724.13364554473,0.07758331626837489,18,105494.25107016241
47,129608,9889.683531421655,0.0893546774681507,38,130053.05931432868
55,90774,10329.942959113116,0.056315747848668565,24,63716.40893068316
54,53752,9328.289479856632,0.08571455933140747,23,34038.42890132851
59,85029,27096.286033525696,0.06437258784280765,22,67911.63289628309
31,47685,16886.620397396186,0.0709672669664724,2,50526.21272818153
40,81693,20359.744725203956,0.06210227682705621,31,69292.59139340572
50,146739,36773.6608563666,0.05705381734010734,11,145533.35615270946
26,85961,32324.136878384474,0.03877227534206795,28,81471.3823300967
25,136937,7821.771779396604,0.044255524756883685,32,83987.71936388213
36,106908,21754.76355142049,0.04319760951548872,5,127554.49976104943
29,104532,43738.088742654436,0.06506311447630518,38,65317.53658828094
61,111994,36000.32958234638,0.029596295441911193,10,132229.25988012264
56,86133,17377.52308153018,0.09334333525618682,24,80096.67076503643
33,127425,58295.173498173914,0.07765241162264906,35,150093.32341425965
59,91268,36295.47898998261,0.0521156504730555,23,61044.79890678116
43,122201,20676.769846499228,0.03268993156211024,17,109277.64687179335
40,68243,23228.581472020374,0.09055937357773088,1,47886.28064472926
27,87384,27795.786734428708,0.08590224720809322,31,55103.03319223746
44,61653,14213.147308910431,0.07773772421737435,31,59835.31351856201
48,56657,12188.633760777877,0.04172376379289939,34,41057.63116885593
57,69952,14312.334049179519,0.05219573099469352,9,66637.54909395025
48,52180,17100.434949913182,0.02821986019619387,22,34825.90720085884
35,127432,31741.33236152211,0.03512316197820254,13,101842.6200165673
32,108411,46002.95038681496,0.08264133098533863,25,115889.14035066633
60,31622,11109.478267324665,0.07720309750805471,18,27265.465934216194
62,78756,6416.190092663487,0.06747886103807478,12,76916.83073739277
64,70809,23938.802292471875,0.09165813807409383,17,69992.90959575081
44,46725,8037.463786712012,0.06666132142504363,15,51689.672658183765
59,91396,28951.0901551203,0.05735743999708885,15,72655.58623055363
49,81226,28921.27830611402,0.04722965970446102,15,82231.36161979653
59,136296,20972.292824220855,0.0952358804588938,39,160416.2328222985
49,111182,28416.60603479012,0.02661723692194828,13,115423.14864034588
53,112565,15269.013182452767,0.09447098976486468,17,100624.36212703974
42,59402,4369.165254761576,0.08613717279448148,32,58120.72658262575
42,34263,7548.63196405335,0.030394393962856106,9,35764.05307563442
26,126523,26990.509148046698,0.06519874861402028,20,122393.98002173149
59,76828,38257.74881292199,0.08932383853992695,26,46865.50163927841
40,77924,19547.90227662628,0.0657447330885723,27,55860.91802026763
60,104182,20847.474261400752,0.09257598572484979,21,113170.919883565
57,123065,38299.5205157144,0.0954387053452834,18,93971.25114690656
28,89052,8009.811291038249,0.05379076177474447,13,92519.44192269485
57,41664,20113.278550269602,0.05018509291250589,16,34300.80998869808
38,65737,22070.015832657984,0.09490569231753256,9,60026.46604807122
45,131332,51177.06225581213,0.07401120489197345,12,84155.44164712915
44,119563,15150.434174849646,0.029281814507853544,38,84738.52305347184
32,59373,13909.017854915088,0.023383339937814496,19,69722.7931890165
31,147369,35399.522378437374,0.06517032407978104,7,167128.65287905096
27,66397,27874.31710506521,0.09441367723507398,35,65823.66632301854
41,116145,5871.885376795474,0.08753989619246548,18,101718.25305801988
57,131371,24354.06816386396,0.07406781971714692,16,132087.86208536307
36,68709,33774.34652017025,0.031129267911287003,39,66727.85661201327
46,146074,38519.559630257325,0.04033851069989565,4,137474.82131111287
46,91120,20241.107595125315,0.0900408981242093,25,57907.32887292356
54,49250,5118.210257216087,0.03462457893255204,32,48249.31714504753
62,51172,24991.078569268764,0.042275152660034766,13,54311.5059124775
62,41555,2452.2378492239363,0.030368052095635357,17,49718.43789527814
32,117410,44819.048598145186,0.0740886585131529,37,71226.43971605874
51,108617,42998.20224852104,0.09551858442905678,6,112755.74998694744
51,83276,13294.64050912055,0.04151744252763088,19,78535.39624433083
58,87492,30814.796106866335,0.0580325286280059,13,75280.85579380504
45,83002,7621.087178800156,0.07074717917689634,26,56154.34777786375
54,119599,19814.118208104646,0.09995729985725046,14,101115.10481494953
57,102355,41408.318605244654,0.02838464519980577,31,83176.36593872753
52,121248,53241.062135257205,0.059885663960456734,4,94779.3110273367
57,54762,17732.969818533973,0.0508096095922,39,56871.857959422436
29,41046,11413.960622626588,0.08926561321778842,8,41884.78784798034
43,126999,15454.103091565446,0.05807741848093248,25,121082.37752069088
28,146021,11447.909853662764,0.02887820196681185,13,169851.46482114692
59,58769,6049.802089463155,0.07075393162292669,32,47597.755382354786
41,83302,12687.79301567235,0.08166244946111038,38,62166.71340908002
52,53150,10829.499899119604,0.020230500133249167,38,52806.75665470796
54,98247,21752.79816879508,0.08871653483365037,28,70667.9310269502
53,34853,7174.308670284644,0.03488184000045325,30,27499.236724118335
30,124613,19635.880949994036,0.06416554917227023,3,91560.83031903098
59,119399,33357.2044020577,0.05326380005499601,28,76593.5200992128
61,51792,21824.048152919186,0.07757230532884243,3,56789.888896076875
48,89129,15674.813506191014,0.04969292918285935,34,67089.56643003883
53,136019,64483.09297806999,0.08958105413453686,16,120215.8367863286
55,104478,46283.910484612876,0.07843970887670322,22,65402.0958714384
59,143811,17659.112849441208,0.07181705368503372,32,146630.2247887553
57,144130,58203.179141330016,0.08369924764502835,38,115064.25435744342
45,97298,30022.69140613933,0.08032184279427058,8,101855.63648659587
56,61987,18903.488138713874,0.02287509399372427,8,52530.37710553297
47,45850,10360.689808797784,0.051578748307586256,6,32895.236732218735
57,42112,11602.649795698757,0.09446458378531919,14,38233.69743903666
27,54058,12364.710657620732,0.030057941519378097,32,36667.68929092843
42,75420,22088.985348093698,0.0789677240345641,35,65187.27806257276
49,68890,22911.2656109781,0.09796734490682638,10,54449.50460369839
55,96017,33935.932860989924,0.02417589032359773,3,110148.3740376577
27,77304,22388.51674932625,0.07457551045012883,12,49208.42034233912
64,62921,23572.719054276007,0.057452331304082435,31,63953.561827768426
48,135921,15437.244181009211,0.06633402042997777,29,96456.43273930697
56,31524,4583.341219440976,0.026827306918745988,5,24948.946153949717
46,130424,54573.41237712217,0.023440556149355158,25,110770.20369648412
47,45048,8790.55815571139,0.07334933284407373,31,51571.3582476983
26,65111,3926.3379271090744,0.08586475438565744,21,48543.308089399696
51,67904,8094.565402176093,0.08256122679463739,20,44462.53975679597
26,84912,12789.996987877852,0.063504458229299,39,67183.542992426
50,64008,30774.74553376053,0.027989345690894254,22,42424.85971322305
41,30060,9254.531409147598,0.0750435555068811,4,20355.366220784523
64,104666,49164.638057209464,0.039351110684331676,13,98837.18801259248
57,113559,35069.6887135708,0.0928854962213907,20,72284.97757250721
33,85337,22674.851436119738,0.08706122876365639,13,52785.929175289646
63,140616,26882.609861227054,0.07675063736699127,17,144644.43197542528
53,43350,13996.281198534074,0.09590767646649044,36,35416.44093681557
50,54354,6122.386243527548,0.022513745720901833,33,36701.191039354766
59,75186,34150.81441933323,0.07889603400486096,1,56552.47787391481
49,58145,24606.939713622975,0.04641942234691243,15,57287.471982003146
48,64020,12348.763481880918,0.09248527085490922,13,48995.91061701437
37,116123,55594.91828394029,0.04133401573295821,17,104128.96596741427
31,136667,57583.32097617255,0.07798851994520137,24,91979.23949064847
60,105186,36798.07024205002,0.09021176157206252,8,100227.13041909994
44,115469,12100.326752075962,0.023332545470614596,27,91179.70444541871
25,50581,13414.349803907546,0.05181180636736289,23,49376.214232138205
32,118929,33032.339425666156,0.0809847225617551,8,129042.35697452108
40,53051,8204.2369506888,0.056393511160606966,8,51299.67251703509
38,81474,7005.495243013396,0.04138021038348763,26,63341.84214892003
36,121748,48641.44685320043,0.0375844279058552,13,91730.57050566148
47,144618,15172.709325656593,0.030521461353310235,39,115181.37852606826
39,99626,31624.364641960314,0.08857036478850258,37,69615.88995102003
52,36960,17423.022660033042,0.06602843226012448,28,26193.666964450043
58,65772,29219.035827401305,0.026110795599316478,25,70666.4010925067
26,51520,9015.41682900287,0.050606425885650834,16,42804.85340499814
56,79481,34427.345122545456,0.04941869206440879,2,68480.59976815844
47,66408,3330.3364799022575,0.03453913525675704,18,63514.58214561647
46,124006,7187.327533505709,0.05484061003777525,17,118275.9427918577
49,87134,27982.990320227887,0.04656794923145092,30,55802.88979391488
46,50491,10813.112097271898,0.0473442964393746,39,55485.79550578505
46,31341,7017.481150245974,0.0791221246230367,13,22139.154902754894
30,74623,22685.27937937861,0.037861070840415706,32,77148.46481816066
39,120327,16400.823390300815,0.07134879670842843,29,127980.10919309875
61,30338,4407.805222820178,0.0656519699104748,30,31215.97323915736
57,101431,27190.680607809707,0.06544740098702938,18,96094.3690005801
32,42254,16454.303168217517,0.07304058769134207,13,25722.77313830324
29,81860,26913.43866860131,0.06387056289565232,21,66816.20268290948
63,41344,7599.4312014367415,0.09034040918771077,30,39810.288820539936
28,31750,7735.942423658713,0.07404640735602079,21,26430.94718732436
30,84756,10746.98802404865,0.06375706010971105,17,94764.66118393824
56,97957,8187.5807253578805,0.08638104962301159,19,76923.80669185336
54,135423,54468.92066656272,0.06849172519467837,15,105104.6173194775
59,88053,14918.320893561646,0.04329153982281432,9,66884.93692193268
64,100855,13110.633071031936,0.0365675934541257,10,80650.56872342461
40,45896,16578.926025284265,0.032186222853014305,31,42887.19494529835
37,85761,28140.17833734451,0.09195641700368813,23,87837.20319126699
54,92552,30998.934820059156,0.07681083454384527,30,92324.39155353601
43,107454,16440.738391134608,0.09499027505314567,33,116547.90637697394
41,148681,22999.537093567087,0.06826334445719544,9,168239.7472587316
43,120600,18012.958718466634,0.057872070519593005,1,131411.4795039649
52,142153,18222.40372903197,0.024777319117671146,35,86907.68755552477
50,57935,19991.9579364368,0.07373138252368239,11,60342.243983420674
61,67641,29194.33912236964,0.0665767007814585,34,49042.41333547054
50,59711,22447.924194338404,0.09921671148700972,16,40588.95981488181
47,100342,40783.21672946019,0.039132702222579446,9,98645.54498658891
33,136896,31781.678586621383,0.062458988422946865,32,108400.53868711909
36,42182,14524.70134017173,0.07207658680944581,15,26754.789711175225
25,117833,24674.973514148103,0.07156729397938749,12,80430.19469601726
25,86276,24716.09654423487,0.06490348343587223,33,51813.71182192365
58,49541,13214.352369482627,0.08215424082617805,14,56572.56103337048
56,124457,16129.529540425909,0.036398496762145315,8,76512.52824895742
49,112310,25178.267007982613,0.07805017602195327,8,81500.3864841679
64,74813,36188.54615304751,0.06957876571464713,27,63572.92044696264
25,67198,10876.743271067904,0.09168600894356588,12,54695.32797674588
40,38820,4278.417469066389,0.08777555512268655,1,44527.919125052365
63,54070,12888.194395042781,0.045211763130604266,11,33749.053977520016
29,99768,40471.08685408287,0.04209898599801225,39,90522.38217331446
46,41122,12828.694777255409,0.09853226590819583,31,41462.805874756385
53,110559,39407.50316608488,0.06218121447322053,17,128139.95776332979
27,103543,14015.85814904777,0.09251367711315495,33,100666.86033518786
36,113441,37268.39588334502,0.03311048190243858,32,122771.87863704622
50,71786,14039.559707101775,0.07142551318401394,29,46677.767032899705
40,124934,53151.48552498682,0.0847888149888469,21,103890.58011563645
61,129804,43248.67599693792,0.09579161996691575,21,107006.30030635251
46,36737,5124.272384483971,0.04698721128136188,23,41577.942124760215
53,66062,5224.018196737009,0.0779984935939242,6,45637.12938959668
38,84237,5827.9321428203,0.06310504072316953,22,58218.86129947243
52,81571,17711.825722305337,0.024850314085317456,38,65023.09010660068
29,55510,9416.328468056425,0.07519997898471548,37,35120.04617359989
54,49426,16841.442699016065,0.07520772465902748,8,35066.502670373986
29,67265,18477.71068442654,0.09444854438772296,35,79313.89580206733
36,47850,8120.560103650861,0.05978499569351779,11,41003.16091358654
40,148249,17368.408104501046,0.03842007365684118,24,145167.12937765068
50,96150,10311.115732079224,0.023565105875894332,21,99579.35855159209
50,117312,51511.367965249505,0.05325137493487246,2,96216.58594729722
45,119613,19086.058605665123,0.044153336006200146,19,82333.96323087909
63,104910,36012.43383255286,0.08088706448191005,39,75949.44864709621
60,82375,34169.863993040904,0.048341421187283726,28,64908.19560499667
57,65435,21353.834768817946,0.09592569570518752,17,64233.68225144873
54,126443,55230.85296331064,0.09698481623902275,6,106081.67248108037
61,87132,19742.12238489857,0.06967268721741665,19,52635.466954460375
47,108945,52326.28195211235,0.09429282296119064,38,99580.55746630541
34,112050,12316.003973170093,0.08086834756115965,28,129183.34533793571
29,125402,12034.489893151567,0.0637487712780101,2,136342.8939454262
60,32983,11425.68937626205,0.03442463483382225,38,36120.567994953846
58,127241,60347.09976905418,0.0566878354811072,37,137042.98633093302
55,50662,20973.944270038843,0.06486995706900942,4,40237.710652245165
34,53510,4515.57976683856,0.08911692645880082,22,56673.313226518505
43,108187,19010.12969035482,0.0585066701228532,26,74205.11869051172
56,70998,33272.75108357211,0.09181397381423653,36,70616.71861457889
25,86846,14232.00069475762,0.07394791832187751,13,85538.19824539502
29,124071,49817.81804235009,0.03095992504429371,32,76346.08232571748
28,36640,15436.779646472467,0.09959850954600744,17,39306.73541686304
40,74547,20347.860580517616,0.06217861286031301,36,85128.86189431603
48,84620,18942.780138114005,0.05134866371272631,19,64349.20851858585
40,45317,11445.08000678481,0.07272910115756212,35,49279.266268766274
26,145608,22151.943847718376,0.028711465118483125,28,94564.18125052472
52,37564,16912.28616805876,0.07092309174026835,1,36060.715576631206
56,57345,14495.602896825587,0.059858880039941845,18,51116.65169555647
51,143824,64304.680953871146,0.05253392559988665,33,133404.54375278018
44,124223,12119.452519478691,0.09624160169431194,12,143567.39327620738
48,109273,54059.96165959881,0.06180317733856426,8,122690.53860744325
36,104859,26159.477704312667,0.03752939835759507,24,112309.2523287022
59,110765,7922.341369428891,0.056717078350183886,16,84648.72579884685
