datetime,usd_brl
1994-11-18,0.836
1994-11-21,0.835
1994-11-22,0.836
1994-11-23,0.843
1994-11-24,0.854
1994-11-25,0.859
1994-11-28,0.857
1994-11-29,0.853
1994-11-30,0.845
1994-12-01,0.848
1994-12-02,0.857
1994-12-05,0.858
1994-12-06,0.846
1994-12-07,0.847
1994-12-08,0.847
1994-12-09,0.848
1994-12-12,0.844
1994-12-13,0.843
1994-12-14,0.847
1994-12-15,0.851
1994-12-16,0.849
1994-12-19,0.848
1994-12-20,0.85
1994-12-21,0.853
1994-12-22,0.86
1994-12-23,0.855
1994-12-26,0.85
1994-12-27,0.852
1994-12-28,0.856
1994-12-29,0.848
1994-12-30,0.846
1995-01-02,0.845
1995-01-03,0.846
1995-01-04,0.846
1995-01-05,0.844
1995-01-06,0.841
1995-01-09,0.846
1995-01-10,0.848
1995-01-11,0.851
1995-01-12,0.846
1995-01-13,0.847
1995-01-16,0.85
1995-01-17,0.846
1995-01-18,0.846
1995-01-19,0.848
1995-01-20,0.848
1995-01-23,0.852
1995-01-24,0.854
1995-01-25,0.853
1995-01-26,0.846
1995-01-27,0.845
1995-01-30,0.847
1995-01-31,0.842
1995-02-01,0.843
1995-02-02,0.84
1995-02-03,0.84
1995-02-06,0.838
1995-02-07,0.837
1995-02-08,0.836
1995-02-09,0.834
1995-02-10,0.835
1995-02-13,0.834
1995-02-14,0.835
1995-02-15,0.837
1995-02-16,0.845
1995-02-17,0.85
1995-02-20,0.842
1995-02-21,0.843
1995-02-22,0.848
1995-02-23,0.845
1995-02-24,0.8515
1995-03-01,0.85
1995-03-02,0.853
1995-03-03,0.858
1995-03-06,0.868
1995-03-07,0.886
1995-03-08,0.886
1995-03-09,0.888
1995-03-10,0.88
1995-03-13,0.8805
1995-03-14,0.881
1995-03-15,0.884
1995-03-16,0.895
1995-03-17,0.89
1995-03-20,0.903
1995-03-21,0.901
1995-03-22,0.902
1995-03-23,0.914
1995-03-24,0.909
1995-03-27,0.91
1995-03-28,0.911
1995-03-29,0.907
1995-03-30,0.903
1995-03-31,0.896
1995-04-03,0.902
1995-04-04,0.901
1995-04-05,0.9
1995-04-06,0.894
1995-04-07,0.9
1995-04-10,0.897
1995-04-11,0.901
1995-04-12,0.908
1995-04-17,0.905
1995-04-18,0.905
1995-04-19,0.914
1995-04-20,0.918
1995-04-24,0.913
1995-04-25,0.921
1995-04-26,0.917
1995-04-27,0.919
1995-04-28,0.913
1995-05-02,0.914
1995-05-03,0.906
1995-05-04,0.905
1995-05-05,0.902
1995-05-08,0.899
1995-05-09,0.897
1995-05-10,0.894
1995-05-11,0.896
1995-05-12,0.897
1995-05-15,0.891
1995-05-16,0.891
1995-05-17,0.891
1995-05-18,0.89
1995-05-19,0.891
1995-05-22,0.89
1995-05-23,0.89
1995-05-24,0.89
1995-05-25,0.893
1995-05-26,0.897
1995-05-29,0.906
1995-05-30,0.906
1995-05-31,0.906
1995-06-01,0.908
1995-06-02,0.905
1995-06-05,0.905
1995-06-06,0.906
1995-06-07,0.911
1995-06-08,0.912
1995-06-09,0.913
1995-06-12,0.918
1995-06-13,0.915
1995-06-14,0.907
1995-06-16,0.909
1995-06-19,0.912
1995-06-20,0.914
1995-06-21,0.919
1995-06-22,0.92
1995-06-23,0.92
1995-06-26,0.919
1995-06-27,0.92
1995-06-28,0.92
1995-06-29,0.92
1995-06-30,0.922
1995-07-03,0.92
1995-07-04,0.92
1995-07-05,0.922
1995-07-06,0.925
1995-07-07,0.925
1995-07-10,0.925
1995-07-11,0.925
1995-07-12,0.925
1995-07-13,0.926
1995-07-14,0.926
1995-07-17,0.928
1995-07-18,0.929
1995-07-19,0.929
1995-07-20,0.929
1995-07-21,0.934
1995-07-24,0.934
1995-07-25,0.936
1995-07-26,0.936
1995-07-27,0.937
1995-07-28,0.937
1995-07-31,0.936
1995-08-01,0.936
1995-08-02,0.936
1995-08-03,0.936
1995-08-04,0.936
1995-08-07,0.936
1995-08-08,0.936
1995-08-09,0.936
1995-08-10,0.936
1995-08-11,0.937
1995-08-14,0.941
1995-08-15,0.942
1995-08-16,0.942
1995-08-17,0.942
1995-08-18,0.943
1995-08-21,0.942
1995-08-22,0.944
1995-08-23,0.947
1995-08-24,0.947
1995-08-25,0.948
1995-08-28,0.949
1995-08-29,0.951
1995-08-30,0.951
1995-08-31,0.951
1995-09-01,0.951
1995-09-04,0.949
1995-09-05,0.949
1995-09-06,0.949
1995-09-08,0.951
1995-09-11,0.952
1995-09-12,0.952
1995-09-13,0.953
1995-09-14,0.953
1995-09-15,0.953
1995-09-18,0.953
1995-09-19,0.953
1995-09-20,0.954
1995-09-21,0.954
1995-09-22,0.954
1995-09-25,0.954
1995-09-26,0.955
1995-09-27,0.956
1995-09-28,0.956
1995-09-29,0.954
1995-10-02,0.9555
1995-10-03,0.9585
1995-10-04,0.9585
1995-10-05,0.9585
1995-10-06,0.959
1995-10-09,0.9585
1995-10-10,0.9585
1995-10-11,0.9585
1995-10-13,0.9585
1995-10-16,0.9585
1995-10-17,0.9585
1995-10-18,0.959
1995-10-19,0.9593
1995-10-20,0.9613
1995-10-23,0.9615
1995-10-24,0.9617
1995-10-25,0.9617
1995-10-26,0.962
1995-10-27,0.9622
1995-10-30,0.9617
1995-10-31,0.9619
1995-11-01,0.963
1995-11-03,0.9627
1995-11-06,0.9623
1995-11-07,0.9618
1995-11-08,0.9618
1995-11-09,0.9617
1995-11-10,0.9617
1995-11-13,0.962
1995-11-14,0.9628
1995-11-16,0.9628
1995-11-17,0.9624
1995-11-20,0.9626
1995-11-21,0.9639
1995-11-22,0.9648
1995-11-23,0.9647
1995-11-24,0.9655
1995-11-27,0.9649
1995-11-28,0.9648
1995-11-29,0.9647
1995-11-30,0.9666
1995-12-01,0.9666
1995-12-04,0.9666
1995-12-05,0.9667
1995-12-06,0.9667
1995-12-07,0.9666
1995-12-08,0.9667
1995-12-11,0.9667
1995-12-12,0.9668
1995-12-13,0.9671
1995-12-14,0.9673
1995-12-15,0.9677
1995-12-18,0.9681
1995-12-19,0.9676
1995-12-20,0.9687
1995-12-21,0.9694
1995-12-22,0.9702
1995-12-26,0.9702
1995-12-27,0.9709
1995-12-28,0.9726
1995-12-29,0.9725
1996-01-02,0.9726
1996-01-03,0.9727
1996-01-04,0.9728
1996-01-05,0.9727
1996-01-08,0.9726
1996-01-09,0.9726
1996-01-10,0.9726
1996-01-11,0.973
1996-01-12,0.9734
1996-01-15,0.9727
1996-01-16,0.9726
1996-01-17,0.9727
1996-01-18,0.9729
1996-01-19,0.9732
1996-01-22,0.9746
1996-01-23,0.9766
1996-01-24,0.9769
1996-01-25,0.9768
1996-01-26,0.9784
1996-01-29,0.9788
1996-01-30,0.9787
1996-01-31,0.9786
1996-02-01,0.9786
1996-02-02,0.9786
1996-02-05,0.9787
1996-02-06,0.9786
1996-02-07,0.9788
1996-02-08,0.9787
1996-02-09,0.9788
1996-02-12,0.9787
1996-02-13,0.9806
1996-02-14,0.9813
1996-02-15,0.9834
1996-02-16,0.9832
1996-02-21,0.9823
1996-02-22,0.9824
1996-02-23,0.9822
1996-02-26,0.9836
1996-02-27,0.984
1996-02-28,0.9838
1996-02-29,0.9842
1996-03-01,0.984
1996-03-04,0.9837
1996-03-05,0.9837
1996-03-06,0.9837
1996-03-07,0.9845
1996-03-08,0.9843
1996-03-11,0.9843
1996-03-12,0.9842
1996-03-13,0.9854
1996-03-14,0.9869
1996-03-15,0.9868
1996-03-18,0.9866
1996-03-19,0.9868
1996-03-20,0.9883
1996-03-21,0.9874
1996-03-22,0.9875
1996-03-25,0.9879
1996-03-26,0.9881
1996-03-27,0.9883
1996-03-28,0.9881
1996-03-29,0.988
1996-04-01,0.9881
1996-04-02,0.9875
1996-04-03,0.9874
1996-04-08,0.9875
1996-04-09,0.9886
1996-04-10,0.9896
1996-04-11,0.9908
1996-04-12,0.9905
1996-04-15,0.9899
1996-04-16,0.9903
1996-04-17,0.99
1996-04-18,0.9896
1996-04-19,0.9915
1996-04-22,0.9916
1996-04-23,0.9915
1996-04-24,0.9916
1996-04-25,0.9917
1996-04-26,0.9922
1996-04-29,0.9926
1996-04-30,0.9925
1996-05-02,0.9925
1996-05-03,0.9926
1996-05-06,0.9926
1996-05-07,0.9927
1996-05-08,0.9928
1996-05-09,0.9939
1996-05-10,0.9946
1996-05-13,0.9951
1996-05-14,0.996
1996-05-15,0.9958
1996-05-16,0.9965
1996-05-17,0.9958
1996-05-20,0.9956
1996-05-21,0.9956
1996-05-22,0.9958
1996-05-23,0.9962
1996-05-24,0.9968
1996-05-27,0.9966
1996-05-28,0.9965
1996-05-29,0.9967
1996-05-30,0.9971
1996-05-31,0.9984
1996-06-03,0.9986
1996-06-04,0.9985
1996-06-05,0.9987
1996-06-07,0.9989
1996-06-10,0.9998
1996-06-11,0.9996
1996-06-12,1.0007
1996-06-13,1.0005
1996-06-14,1.0015
1996-06-17,1.0016
1996-06-18,1.0016
1996-06-19,1.002
1996-06-20,1.0025
1996-06-21,1.003
1996-06-24,1.003
1996-06-25,1.0029
1996-06-26,1.0039
1996-06-27,1.0036
1996-06-28,1.0044
1996-07-01,1.0045
1996-07-02,1.0052
1996-07-03,1.0051
1996-07-04,1.0049
1996-07-05,1.0048
1996-07-08,1.0049
1996-07-09,1.0055
1996-07-10,1.0057
1996-07-11,1.0056
1996-07-12,1.0056
1996-07-15,1.0062
1996-07-16,1.0065
1996-07-17,1.0066
1996-07-18,1.0071
1996-07-19,1.0075
1996-07-22,1.0077
1996-07-23,1.0078
1996-07-24,1.0086
1996-07-25,1.0087
1996-07-26,1.0092
1996-07-29,1.0099
1996-07-30,1.0107
1996-07-31,1.0112
1996-08-01,1.0108
1996-08-02,1.0104
1996-08-05,1.0101
1996-08-06,1.0107
1996-08-07,1.0116
1996-08-08,1.0115
1996-08-09,1.0119
1996-08-12,1.0122
1996-08-13,1.0126
1996-08-14,1.0129
1996-08-15,1.013
1996-08-16,1.0135
1996-08-19,1.0136
1996-08-20,1.0144
1996-08-21,1.0147
1996-08-22,1.0148
1996-08-23,1.0153
1996-08-26,1.0155
1996-08-27,1.0159
1996-08-28,1.0161
1996-08-29,1.0167
1996-08-30,1.0169
1996-09-02,1.0165
1996-09-03,1.0167
1996-09-04,1.0172
1996-09-05,1.0174
1996-09-06,1.0179
1996-09-09,1.019
1996-09-10,1.0202
1996-09-11,1.0188
1996-09-12,1.0197
1996-09-13,1.02
1996-09-16,1.0192
1996-09-17,1.0195
1996-09-18,1.0196
1996-09-19,1.0196
1996-09-20,1.0199
1996-09-23,1.0202
1996-09-24,1.0202
1996-09-25,1.0205
1996-09-26,1.0205
1996-09-27,1.021
1996-09-30,1.0215
1996-10-01,1.0215
1996-10-02,1.0215
1996-10-04,1.022
1996-10-07,1.0225
1996-10-08,1.0225
1996-10-09,1.0233
1996-10-10,1.0247
1996-10-11,1.0254
1996-10-14,1.0247
1996-10-15,1.0251
1996-10-16,1.0253
1996-10-17,1.025
1996-10-18,1.0252
1996-10-21,1.0254
1996-10-22,1.0263
1996-10-23,1.027
1996-10-24,1.0264
1996-10-25,1.0272
1996-10-28,1.0279
1996-10-29,1.0285
1996-10-30,1.0275
1996-10-31,1.0276
1996-11-01,1.028
1996-11-04,1.028
1996-11-05,1.028
1996-11-06,1.028
1996-11-07,1.0288
1996-11-08,1.0295
1996-11-11,1.0297
1996-11-12,1.0311
1996-11-13,1.0309
1996-11-14,1.0305
1996-11-18,1.0304
1996-11-19,1.0303
1996-11-20,1.0308
1996-11-21,1.0311
1996-11-22,1.0311
1996-11-25,1.0311
1996-11-26,1.032
1996-11-27,1.0324
1996-11-28,1.0328
1996-11-29,1.0332
1996-12-02,1.0331
1996-12-03,1.0331
1996-12-04,1.0338
1996-12-05,1.0346
1996-12-06,1.0351
1996-12-09,1.035
1996-12-10,1.0359
1996-12-11,1.0369
1996-12-12,1.0376
1996-12-13,1.0381
1996-12-16,1.0389
1996-12-17,1.0407
1996-12-18,1.0383
1996-12-19,1.0384
1996-12-20,1.0387
1996-12-23,1.0388
1996-12-24,1.039
1996-12-26,1.0389
1996-12-27,1.04
1996-12-30,1.0394
1996-12-31,1.0394
1997-01-02,1.0395
1997-01-03,1.0398
1997-01-06,1.0405
1997-01-07,1.0405
1997-01-08,1.041
1997-01-09,1.0415
1997-01-10,1.0414
1997-01-13,1.042
1997-01-14,1.0422
1997-01-15,1.0426
1997-01-16,1.0436
1997-01-17,1.0439
1997-01-20,1.0432
1997-01-21,1.0435
1997-01-22,1.0436
1997-01-23,1.0438
1997-01-24,1.0441
1997-01-27,1.0441
1997-01-28,1.0449
1997-01-29,1.0456
1997-01-30,1.0457
1997-01-31,1.0461
1997-02-03,1.0457
1997-02-04,1.0463
1997-02-05,1.047
1997-02-06,1.0472
1997-02-07,1.048
1997-02-12,1.0476
1997-02-13,1.0487
1997-02-14,1.0495
1997-02-17,1.0491
1997-02-18,1.0495
1997-02-19,1.0504
1997-02-20,1.0505
1997-02-21,1.0508
1997-02-24,1.0507
1997-02-25,1.0511
1997-02-26,1.0517
1997-02-27,1.0515
1997-02-28,1.0515
1997-03-03,1.0515
1997-03-04,1.0517
1997-03-05,1.0526
1997-03-06,1.053
1997-03-07,1.0532
1997-03-10,1.0532
1997-03-11,1.0539
1997-03-12,1.0544
1997-03-13,1.0557
1997-03-14,1.0554
1997-03-17,1.0582
1997-03-18,1.0589
1997-03-19,1.0605
1997-03-20,1.0602
1997-03-21,1.0611
1997-03-24,1.0615
1997-03-25,1.0612
1997-03-26,1.0609
1997-03-31,1.0593
1997-04-01,1.0594
1997-04-02,1.0598
1997-04-03,1.0584
1997-04-04,1.0585
1997-04-07,1.059
1997-04-08,1.0588
1997-04-09,1.059
1997-04-10,1.0589
1997-04-11,1.0595
1997-04-14,1.06
1997-04-15,1.0606
1997-04-16,1.0611
1997-04-17,1.0613
1997-04-18,1.0618
1997-04-22,1.0629
1997-04-23,1.0633
1997-04-24,1.0631
1997-04-25,1.0632
1997-04-28,1.0632
1997-04-29,1.0633
1997-04-30,1.0638
1997-05-02,1.0643
1997-05-05,1.0647
1997-05-06,1.065
1997-05-07,1.0653
1997-05-08,1.0651
1997-05-09,1.066
1997-05-12,1.0673
1997-05-13,1.068
1997-05-14,1.0683
1997-05-15,1.0678
1997-05-16,1.0677
1997-05-19,1.068
1997-05-20,1.0685
1997-05-21,1.0689
1997-05-22,1.0698
1997-05-23,1.0709
1997-05-26,1.0721
1997-05-27,1.0728
1997-05-28,1.0732
1997-05-30,1.0717
1997-06-02,1.0709
1997-06-03,1.0715
1997-06-04,1.0726
1997-06-05,1.0728
1997-06-06,1.0728
1997-06-09,1.073
1997-06-10,1.0729
1997-06-11,1.0734
1997-06-12,1.0738
1997-06-13,1.0745
1997-06-16,1.0741
1997-06-17,1.0741
1997-06-18,1.075
1997-06-19,1.0757
1997-06-20,1.0777
1997-06-23,1.0769
1997-06-24,1.077
1997-06-25,1.0769
1997-06-26,1.0768
1997-06-27,1.0772
1997-06-30,1.0769
1997-07-01,1.0771
1997-07-02,1.0773
1997-07-03,1.0778
1997-07-04,1.0779
1997-07-07,1.0781
1997-07-08,1.079
1997-07-09,1.0796
1997-07-10,1.0797
1997-07-11,1.0803
1997-07-14,1.0806
1997-07-15,1.0808
1997-07-16,1.0811
1997-07-17,1.0812
1997-07-18,1.0816
1997-07-21,1.0815
1997-07-22,1.0817
1997-07-23,1.0823
1997-07-24,1.0822
1997-07-25,1.0824
1997-07-28,1.0827
1997-07-29,1.0833
1997-07-30,1.0834
1997-07-31,1.0834
1997-08-01,1.0835
1997-08-04,1.0835
1997-08-05,1.0843
1997-08-06,1.0845
1997-08-07,1.0851
1997-08-08,1.0858
1997-08-11,1.0858
1997-08-12,1.0859
1997-08-13,1.0863
1997-08-14,1.0864
1997-08-15,1.0873
1997-08-18,1.0885
1997-08-19,1.0894
1997-08-20,1.089
1997-08-21,1.0888
1997-08-22,1.0912
1997-08-25,1.092
1997-08-26,1.0925
1997-08-27,1.0922
1997-08-28,1.0916
1997-08-29,1.0916
1997-09-01,1.0914
1997-09-02,1.0922
1997-09-03,1.0925
1997-09-04,1.0925
1997-09-05,1.0929
1997-09-08,1.0916
1997-09-09,1.0915
1997-09-10,1.0918
1997-09-11,1.0922
1997-09-12,1.0925
1997-09-15,1.0927
1997-09-16,1.0932
1997-09-17,1.0938
1997-09-18,1.0942
1997-09-19,1.0943
1997-09-22,1.0949
1997-09-23,1.0952
1997-09-24,1.0954
1997-09-25,1.0955
1997-09-26,1.0961
1997-09-29,1.0962
1997-09-30,1.0964
1997-10-01,1.0967
1997-10-02,1.097
1997-10-03,1.0971
1997-10-06,1.0974
1997-10-07,1.0977
1997-10-08,1.0979
1997-10-09,1.0982
1997-10-10,1.0985
1997-10-13,1.0985
1997-10-14,1.0988
1997-10-15,1.0994
1997-10-16,1.0996
1997-10-17,1.1
1997-10-20,1.1003
1997-10-21,1.1004
1997-10-22,1.1008
1997-10-23,1.1009
1997-10-24,1.1012
1997-10-27,1.1027
1997-10-28,1.1064
1997-10-29,1.1024
1997-10-30,1.1063
1997-10-31,1.1031
1997-11-03,1.103
1997-11-04,1.1041
1997-11-05,1.1041
1997-11-06,1.1069
1997-11-07,1.1082
1997-11-10,1.1053
1997-11-11,1.105
1997-11-12,1.1064
1997-11-13,1.107
1997-11-14,1.1082
1997-11-17,1.1067
1997-11-18,1.1066
1997-11-19,1.1081
1997-11-20,1.1081
1997-11-21,1.1094
1997-11-24,1.1097
1997-11-25,1.1104
1997-11-26,1.1104
1997-11-27,1.1089
1997-11-28,1.1098
1997-12-01,1.1096
1997-12-02,1.1096
1997-12-03,1.1104
1997-12-04,1.1106
1997-12-05,1.1105
1997-12-08,1.1119
1997-12-09,1.1122
1997-12-10,1.1129
1997-12-11,1.1151
1997-12-12,1.1162
1997-12-15,1.1143
1997-12-16,1.1134
1997-12-17,1.1141
1997-12-18,1.1144
1997-12-19,1.1148
1997-12-22,1.1151
1997-12-23,1.115
1997-12-24,1.115
1997-12-26,1.1151
1997-12-29,1.1157
1997-12-30,1.1164
1997-12-31,1.1164
1998-01-02,1.1165
1998-01-05,1.1165
1998-01-06,1.1169
1998-01-07,1.1175
1998-01-08,1.118
1998-01-09,1.1184
1998-01-12,1.1192
1998-01-13,1.1187
1998-01-14,1.119
1998-01-15,1.1206
1998-01-16,1.1205
1998-01-19,1.1201
1998-01-20,1.1205
1998-01-21,1.1207
1998-01-22,1.1206
1998-01-23,1.1215
1998-01-26,1.1216
1998-01-27,1.1224
1998-01-28,1.1227
1998-01-29,1.123
1998-01-30,1.1237
1998-02-02,1.1236
1998-02-03,1.1244
1998-02-04,1.1245
1998-02-05,1.1245
1998-02-06,1.1254
1998-02-09,1.1255
1998-02-10,1.1264
1998-02-11,1.1265
1998-02-12,1.1268
1998-02-13,1.1276
1998-02-16,1.1274
1998-02-17,1.1284
1998-02-18,1.1286
1998-02-19,1.1292
1998-02-20,1.1295
1998-02-25,1.1297
1998-02-26,1.1298
1998-02-27,1.1304
1998-03-02,1.1305
1998-03-03,1.1306
1998-03-04,1.1314
1998-03-05,1.1314
1998-03-06,1.1315
1998-03-09,1.1323
1998-03-10,1.1324
1998-03-11,1.1325
1998-03-12,1.1328
1998-03-13,1.1334
1998-03-16,1.1335
1998-03-17,1.1335
1998-03-18,1.1344
1998-03-19,1.1344
1998-03-20,1.1346
1998-03-23,1.1349
1998-03-24,1.1352
1998-03-25,1.1358
1998-03-26,1.136
1998-03-27,1.1364
1998-03-30,1.1365
1998-03-31,1.1374
1998-04-01,1.1375
1998-04-02,1.1375
1998-04-03,1.1384
1998-04-06,1.1388
1998-04-07,1.1388
1998-04-08,1.1394
1998-04-13,1.1397
1998-04-14,1.1404
1998-04-15,1.1407
1998-04-16,1.1409
1998-04-17,1.1414
1998-04-20,1.1418
1998-04-22,1.1425
1998-04-23,1.1428
1998-04-24,1.1435
1998-04-27,1.1441
1998-04-28,1.1449
1998-04-29,1.1453
1998-04-30,1.1443
1998-05-04,1.1442
1998-05-05,1.1449
1998-05-06,1.1452
1998-05-07,1.1451
1998-05-08,1.1455
1998-05-11,1.1459
1998-05-12,1.1463
1998-05-13,1.1474
1998-05-14,1.1473
1998-05-15,1.1472
1998-05-18,1.1475
1998-05-19,1.1488
1998-05-20,1.1489
1998-05-21,1.1497
1998-05-22,1.1515
1998-05-25,1.1516
1998-05-26,1.1531
1998-05-27,1.152
1998-05-28,1.15
1998-05-29,1.1505
1998-06-01,1.152
1998-06-02,1.1517
1998-06-03,1.1518
1998-06-04,1.1517
1998-06-05,1.1524
1998-06-08,1.1529
1998-06-09,1.1536
1998-06-10,1.1546
1998-06-12,1.1553
1998-06-15,1.1551
1998-06-16,1.1549
1998-06-17,1.1553
1998-06-18,1.1557
1998-06-19,1.1562
1998-06-22,1.1554
1998-06-23,1.1555
1998-06-24,1.1559
1998-06-25,1.1561
1998-06-26,1.1564
1998-06-29,1.1566
1998-06-30,1.1569
1998-07-01,1.1572
1998-07-02,1.1572
1998-07-03,1.1575
1998-07-06,1.1583
1998-07-07,1.1589
1998-07-08,1.1597
1998-07-09,1.1612
1998-07-10,1.1612
1998-07-13,1.1619
1998-07-14,1.1634
1998-07-15,1.1615
1998-07-16,1.1621
1998-07-17,1.1617
1998-07-20,1.1607
1998-07-21,1.161
1998-07-22,1.162
1998-07-23,1.1647
1998-07-24,1.1655
1998-07-27,1.1661
1998-07-28,1.1635
1998-07-29,1.1632
1998-07-30,1.1624
1998-07-31,1.1634
1998-08-03,1.1643
1998-08-04,1.1659
1998-08-05,1.1671
1998-08-06,1.1681
1998-08-07,1.1683
1998-08-10,1.1692
1998-08-11,1.1689
1998-08-12,1.17
1998-08-13,1.1716
1998-08-14,1.1716
1998-08-17,1.173
1998-08-18,1.1739
1998-08-19,1.1742
1998-08-20,1.1738
1998-08-21,1.1753
1998-08-24,1.175
1998-08-25,1.1747
1998-08-26,1.1728
1998-08-27,1.1753
1998-08-28,1.1763
1998-08-31,1.1769
1998-09-01,1.1772
1998-09-02,1.1774
1998-09-03,1.178
1998-09-04,1.1784
1998-09-08,1.1769
1998-09-09,1.1792
1998-09-10,1.1794
1998-09-11,1.1793
1998-09-14,1.1803
1998-09-15,1.1798
1998-09-16,1.1796
1998-09-17,1.1801
1998-09-18,1.1808
1998-09-21,1.1816
1998-09-22,1.183
1998-09-23,1.1838
1998-09-24,1.1835
1998-09-25,1.1848
1998-09-28,1.1849
1998-09-29,1.185
1998-09-30,1.1856
1998-10-01,1.1807
1998-10-02,1.1837
1998-10-05,1.186
1998-10-06,1.1849
1998-10-07,1.1831
1998-10-08,1.1846
1998-10-09,1.1867
1998-10-13,1.1877
1998-10-14,1.1888
1998-10-15,1.1886
1998-10-16,1.1886
1998-10-19,1.1899
1998-10-20,1.1896
1998-10-21,1.1899
1998-10-22,1.1905
1998-10-23,1.1911
1998-10-26,1.1913
1998-10-27,1.1922
1998-10-28,1.1924
1998-10-29,1.1922
1998-10-30,1.1932
1998-11-03,1.1929
1998-11-04,1.1916
1998-11-05,1.1905
1998-11-06,1.1884
1998-11-09,1.1899
1998-11-10,1.1911
1998-11-11,1.1908
1998-11-12,1.1913
1998-11-13,1.1915
1998-11-16,1.1909
1998-11-17,1.1909
1998-11-18,1.1913
1998-11-19,1.1932
1998-11-20,1.195
1998-11-23,1.1974
1998-11-24,1.1978
1998-11-25,1.1982
1998-11-26,1.1992
1998-11-27,1.2003
1998-11-30,1.2012
1998-12-01,1.2016
1998-12-02,1.2013
1998-12-03,1.2023
1998-12-04,1.2026
1998-12-07,1.2029
1998-12-08,1.2035
1998-12-09,1.2037
1998-12-10,1.2034
1998-12-11,1.204
1998-12-14,1.2048
1998-12-15,1.2052
1998-12-16,1.2053
1998-12-17,1.2065
1998-12-18,1.2068
1998-12-21,1.2069
1998-12-22,1.2074
1998-12-23,1.2078
1998-12-24,1.2079
1998-12-28,1.2084
1998-12-29,1.2084
1998-12-30,1.2083
1998-12-31,1.2087
1999-01-04,1.2078
1999-01-05,1.2085
1999-01-06,1.2096
1999-01-07,1.2101
1999-01-08,1.2104
1999-01-11,1.2109
1999-01-12,1.2114
1999-01-13,1.3193
1999-01-14,1.3194
1999-01-15,1.4659
1999-01-18,1.5384
1999-01-19,1.558
1999-01-20,1.5735
1999-01-21,1.6602
1999-01-22,1.7049
1999-01-25,1.7606
1999-01-26,1.877
1999-01-27,1.8886
1999-01-28,1.9206
1999-01-29,1.9832
1999-02-01,1.9638
1999-02-02,1.798
1999-02-03,1.7709
1999-02-04,1.814
1999-02-05,1.8317
1999-02-08,1.8609
1999-02-09,1.9333
1999-02-10,1.8953
1999-02-11,1.8868
1999-02-12,1.8984
1999-02-17,1.9179
1999-02-18,1.9029
1999-02-19,1.9208
1999-02-22,1.9356
1999-02-23,2.0128
1999-02-24,2.0033
1999-02-25,2.0351
1999-02-26,2.0648
1999-03-01,2.0284
1999-03-02,2.1308
1999-03-03,2.1647
1999-03-04,2.1022
1999-03-05,1.9934
1999-03-08,1.9708
1999-03-09,1.9056
1999-03-10,1.8631
1999-03-11,1.8784
1999-03-12,1.9051
1999-03-15,1.8825
1999-03-16,1.8521
1999-03-17,1.8777
1999-03-18,1.8596
1999-03-19,1.8507
1999-03-22,1.8615
1999-03-23,1.8516
1999-03-24,1.8428
1999-03-25,1.81
1999-03-26,1.775
1999-03-29,1.7655
1999-03-30,1.7334
1999-03-31,1.722
1999-04-05,1.7251
1999-04-06,1.7314
1999-04-07,1.7295
1999-04-08,1.7206
1999-04-09,1.709
1999-04-12,1.7054
1999-04-13,1.672
1999-04-14,1.6575
1999-04-15,1.6688
1999-04-16,1.67
